displayName,team,xp,fg
Chandler Catanzaro,ARI,2.8,2.1
Stephen Gostkowski,NE,3.0,2.0
Andrew Franks,MIA,2.6,2.0
Cairo Santos,KC,2.2,2.0
Josh Brown,NYG,2.1,2.0
Chris Boswell,PIT,1.6,2.0
Mason Crosby,GB,2.7,1.9
Adam Vinatieri,IND,2.1,1.9
Brandon McManus,DEN,2.1,1.9
Robbie Gould,CHI,2.1,1.9
Justin Tucker,BAL,2.0,1.9
Dan Carpenter,BUF,2.0,1.9
Dustin Hopkins,WAS,2.0,1.9
Connor Barth,TB,2.0,1.9
Blair Walsh,MIN,1.9,1.9
Steven Hauschka,SEA,1.9,1.9
Matt Bryant,ATL,2.1,1.8
Sebastian Janikowski,OAK,2.0,1.8
Josh Lambo,SD,2.0,1.8
Ryan Succop,TEN,2.0,1.8
Caleb Sturgis,PHI,1.9,1.8
Jason Myers,JAC,1.9,1.8
Dan Bailey,DAL,1.9,1.8
Phil Dawson,SF,1.3,1.8
Kai Forbath,NO,2.7,1.7
Matt Prater,DET,2.0,1.7
Nick Novak,HOU,1.9,1.7
Graham Gano,CAR,2.8,1.4
Zach Hocker,STL,1.3,1.4
Mike Nugent,CIN,2.8,1.2
Randy Bullock,NYJ,2.0,1.2
Greg Zuerlein,STL,1.8,1.1
Travis Coons,CLE,1.4,1.0
Shayne Graham,ATL,0.1,0.0
Jay Feely,CHI,0.0,0.0
Jordan Gay,BUF,0.0,0.0
Patrick Murray,TB,0.0,0.0
Billy Cundiff,CLE,0.0,0.0
Garrett Hartley,PIT,0.0,0.0
Josh Scobee,PIT,0.0,0.0
Shaun Suisham,PIT,0.0,0.0
