"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",1,1,34.6,16,NA,0,0,0,0,0,0,8,226,2,0,0,0
"RUSSELLWILSON","QB","Russell Wilson","SEA",1,2,34.24,0,NA,201,2,0,11,122,1,0,0,0,0,0,0
"PEYTONMANNING","QB","Peyton Manning","DEN",2,3,32.96,0,NA,479,4,2,2,-2,0,0,0,0,0,0,0
"BRANDENOLIVER","RB","Branden Oliver","SD",1,4,30.2,4,NA,0,0,0,19,114,1,4,68,1,0,0,0
"ARIANFOSTER","RB","Arian Foster","HOU",2,5,29.2,5,NA,0,0,0,23,157,2,2,15,0,0,0,0
"ANDREELLINGTON","RB","Andre Ellington","ARI",3,6,26.4,7,NA,0,0,0,16,32,1,4,112,1,0,0,0
"AUSTINDAVIS","QB","Austin Davis","STL",3,7,26,0,NA,375,3,0,3,30,0,0,0,0,0,0,2
"EDDIELACY","RB","Eddie Lacy","GB",4,8,25.2,3,NA,0,0,0,13,105,2,3,27,0,0,0,0
"JAYCUTLER","QB","Jay Cutler","CHI",4,9,23.76,0,NA,289,2,2,3,22,1,0,0,0,0,0,1
"PIERRETHOMAS","RB","Pierre Thomas","NO",5,10,23.2,10,NA,0,0,0,4,35,1,8,77,1,0,0,0
"BRIANHOYER","QB","Brian Hoyer","CLE",5,11,22.84,0,NA,291,3,1,1,2,0,0,0,0,0,0,0
"PHILIPRIVERS","QB","Philip Rivers","SD",6,12,22.82,0,NA,288,3,1,2,3,0,0,0,0,0,0,0
"ANDREWLUCK","QB","Andrew Luck","IND",7,13,22.68,0,NA,312,1,2,6,22,1,0,0,0,0,0,0
"DESEANJACKSON","WR","DeSean Jackson","WAS",2,14,21.7,11,NA,0,0,0,0,0,0,5,157,1,0,0,0
"KENDALLWRIGHT","WR","Kendall Wright","TEN",3,15,21,8,NA,0,0,0,2,43,0,6,47,2,0,0,0
"TOMBRADY","QB","Tom Brady","NE",8,16,20.98,0,NA,292,2,0,4,13,0,0,0,0,0,0,0
"BRIANQUICK","WR","Brian Quick","STL",4,17,20.7,9,NA,0,0,0,0,0,0,5,87,2,0,0,0
"MATTFORTE","RB","Matt Forte","CHI",6,18,20.6,12,NA,0,0,0,17,61,0,12,105,1,0,0,1
"TONYROMO","QB","Tony Romo","DAL",9,19,19.96,0,NA,324,2,1,0,0,0,0,0,0,0,0,0
"DREWBREES","QB","Drew Brees","NO",10,20,19.74,0,NA,371,2,3,1,-1,0,0,0,0,0,0,0
"KIRKCOUSINS","QB","Kirk Cousins","WAS",11,21,19.72,0,NA,283,2,0,2,4,0,0,0,0,0,0,0
"GOLDENTATE","WR","Golden Tate","DET",5,22,19.4,9,NA,0,0,0,0,0,0,7,134,1,0,0,0
"GREGOLSEN","TE","Greg Olsen","CAR",1,23,19.2,9,NA,0,0,0,0,0,0,6,72,2,0,0,0
"JULIUSTHOMAS","TE","Julius Thomas","DEN",2,24,18.6,7,NA,0,0,0,0,0,0,6,66,2,0,0,0
"AARONRODGERS","QB","Aaron Rodgers","GB",12,25,18.24,0,NA,156,3,0,0,0,0,0,0,0,0,0,0
"ANTONIOGATES","TE","Antonio Gates","SD",3,26,18,6,NA,0,0,0,0,0,0,4,60,2,0,0,0
"ANDYDALTON","QB","Andy Dalton","CIN",13,27,17.76,0,NA,204,2,0,2,16,0,0,0,0,0,0,0
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",7,28,17.7,6,NA,0,0,0,17,72,0,5,45,1,0,0,0
"STEVANRIDLEY","RB","Stevan Ridley","NE",8,29,17.3,0,NA,0,0,0,27,113,1,0,0,0,0,0,0
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",9,30,17.2,8,NA,0,0,0,31,136,0,6,56,0,0,0,1
"MIKEGLENNON","QB","Mike Glennon","TB",14,31,16.96,0,NA,249,2,1,1,0,0,0,0,0,0,0,0
"TRAVISBENJAMIN","WR","Travis Benjamin","CLE",6,32,16.8,4,NA,0,0,0,0,0,0,4,48,2,0,0,0
"JAKELOCKER","QB","Jake Locker","TEN",15,33,16.56,0,NA,79,1,0,4,34,1,0,0,0,0,0,0
"CAMNEWTON","QB","Cam Newton","CAR",16,34,16.1,0,NA,255,2,1,6,9,0,0,0,0,0,0,1
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",4,35,16,11,NA,0,0,0,0,0,0,6,100,1,0,0,0
"JUSTINHUNTER","WR","Justin Hunter","TEN",7,36,15.9,5,NA,0,0,0,0,0,0,3,99,1,0,0,0
"JUSTINFORSETT","RB","Justin Forsett","BAL",10,37,15.7,8,NA,0,0,0,6,42,1,7,55,0,0,0,0
"KHIRYROBINSON","RB","Khiry Robinson","NO",10,37,15.7,2,NA,0,0,0,21,89,1,1,8,0,0,0,0
"ELIMANNING","QB","Eli Manning","NYG",17,37,15.7,0,NA,200,2,0,2,-3,0,0,0,0,0,0,0
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",8,37,15.7,7,NA,0,0,0,0,0,0,6,97,1,0,0,0
"CHARLIEWHITEHURST","QB","Charlie Whitehurst","TEN",18,41,15.66,0,NA,194,2,0,2,-1,0,0,0,0,0,0,0
"MATTRYAN","QB","Matt Ryan","ATL",19,42,15.64,0,NA,316,1,1,0,0,0,0,0,0,0,0,0
"KYLEORTON","QB","Kyle Orton","BUF",20,43,15.32,0,NA,308,1,1,1,0,0,0,0,0,0,0,0
"NICKFOLES","QB","Nick Foles","PHI",21,44,14.58,0,NA,207,2,1,2,13,0,0,0,0,0,0,1
"TIMWRIGHT","TE","Tim Wright","NE",5,45,14.5,5,NA,0,0,0,0,0,0,5,85,1,0,0,0
"DEZBRYANT","WR","Dez Bryant","DAL",9,45,14.5,14,NA,0,0,0,0,0,0,9,85,1,0,0,0
"ANTONESMITH","RB","Antone Smith","ATL",12,45,14.5,3,NA,0,0,0,1,2,0,3,83,1,0,0,0
"VINCENTJACKSON","WR","Vincent Jackson","TB",10,48,14.4,12,NA,0,0,0,0,0,0,8,144,0,0,0,0
"CHRISTIANPONDER","QB","Christian Ponder","MIN",22,49,14.38,0,NA,222,0,2,3,15,1,0,0,0,0,0,0
"ANDREWILLIAMS","RB","Andre Williams","NYG",13,50,14.3,2,NA,0,0,0,20,65,1,2,18,0,0,0,0
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",23,51,13.84,0,NA,201,1,0,10,18,0,0,0,0,0,0,0
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",11,52,13.6,11,NA,0,0,0,0,0,0,5,76,1,0,0,0
"STEVENJACKSON","RB","Steven Jackson","ATL",14,53,13.4,6,NA,0,0,0,13,37,1,5,37,0,0,0,0
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",12,54,13.1,6,NA,0,0,0,0,0,0,2,71,1,0,0,0
"BENNYCUNNINGHAM","RB","Benny Cunningham","STL",15,54,13.1,4,NA,0,0,0,7,47,1,3,24,0,0,0,0
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",24,56,13.04,0,NA,231,1,1,3,8,0,0,0,0,0,0,0
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",13,57,13,9,NA,0,0,0,0,0,0,5,70,1,0,0,0
"KENNYBRITT","WR","Kenny Britt","STL",14,58,12.8,6,NA,0,0,0,0,0,0,3,68,1,0,0,0
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",25,59,12.72,0,NA,273,1,0,3,-2,0,0,0,0,0,0,1
"FREDJACKSON","RB","Fred Jackson","BUF",16,60,12.7,9,NA,0,0,0,10,49,0,7,58,0,0,1,0
"JORDYNELSON","WR","Jordy Nelson","GB",15,61,12.6,3,NA,0,0,0,0,0,0,1,66,1,0,0,0
"BENTATE","RB","Ben Tate","CLE",17,62,12.2,2,NA,0,0,0,22,124,0,1,-2,0,0,0,0
"AJGREEN","WR","A.J. Green","CIN",16,63,12.1,7,NA,0,0,0,0,0,0,5,81,1,0,0,1
"DWAYNEALLEN","TE","Dwayne Allen","IND",6,64,11.9,5,NA,0,0,0,0,0,0,4,59,1,0,0,0
"LEVEONBELL","RB","Le'Veon Bell","PIT",18,65,11.8,6,NA,0,0,0,15,82,0,5,36,0,0,0,0
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",17,66,10.9,9,NA,0,0,0,2,8,0,7,101,0,0,0,0
"FRANKGORE","RB","Frank Gore","SF",19,67,10.8,1,NA,0,0,0,18,107,0,1,1,0,0,0,0
"SHANEVEREEN","RB","Shane Vereen","NE",19,67,10.8,3,NA,0,0,0,9,90,0,3,18,0,0,0,0
"JULIOJONES","WR","Julio Jones","ATL",18,69,10.5,16,NA,0,0,0,0,0,0,11,105,0,0,0,0
"ODELLBECKHAM","WR","Odell Beckham Jr.","NYG",19,70,10.4,5,NA,0,0,0,0,0,0,4,44,1,0,0,0
"BOBBYRAINEY","RB","Bobby Rainey","TB",21,71,10.2,4,NA,0,0,0,6,21,1,3,21,0,0,0,0
"ALEXSMITH","QB","Alex Smith","KC",26,72,9.92,0,NA,158,1,1,1,6,0,0,0,0,0,0,0
"TAYLORGABRIEL","WR","Taylor Gabriel","CLE",20,73,9.5,6,NA,0,0,0,0,0,0,4,95,0,0,0,0
"LOUISMURPHY","WR","Louis Murphy Jr.","TB",20,73,9.5,7,NA,0,0,0,0,0,0,3,35,1,0,0,0
"RANDALLCOBB","WR","Randall Cobb","GB",22,75,9.4,4,NA,0,0,0,0,0,0,3,34,1,0,0,0
"RUEBENRANDLE","WR","Rueben Randle","NYG",23,76,9.3,10,NA,0,0,0,0,0,0,4,33,1,0,0,0
"RILEYCOOPER","WR","Riley Cooper","PHI",23,76,9.3,5,NA,0,0,0,0,0,0,4,33,1,0,0,0
"TYHILTON","WR","T.Y. Hilton","IND",25,78,9,12,NA,0,0,0,0,0,0,9,90,0,0,0,0
"ANDREROBERTS","WR","Andre Roberts","WAS",26,79,8.9,9,NA,0,0,0,0,0,0,5,29,1,0,0,0
"SAMMYWATKINS","WR","Sammy Watkins","BUF",27,80,8.7,12,NA,0,0,0,0,0,0,7,87,0,0,0,0
"PHILLYBROWN","WR","Philly Brown","CAR",28,81,8.6,1,NA,0,0,0,2,22,0,1,4,0,1,0,0
"JIMDRAY","TE","Jim Dray","CLE",7,82,8.5,4,NA,0,0,0,0,0,0,3,25,1,0,0,0
"JAMAALCHARLES","RB","Jamaal Charles","KC",22,83,8.4,4,NA,0,0,0,15,80,0,1,4,0,0,0,0
"JOEFLACCO","QB","Joe Flacco","BAL",27,83,8.4,0,NA,235,0,1,0,0,0,0,0,0,0,0,0
"ANTONIOBROWN","WR","Antonio Brown","PIT",29,83,8.4,12,NA,0,0,0,0,0,0,5,84,0,0,0,0
"CHRISOGBONNAYA","RB","Chris Ogbonnaya","CAR",22,83,8.4,0,NA,0,0,0,8,24,1,0,0,0,0,0,0
