displayName,team,receptions,recYds,recTD,rushAtt,rushYds,rushTD,fumblesLost
Jake Stoneburner,MIA,0.1,0.9,0.0,0.0,0.0,0.0,0.0
Phillip Supernaw,TEN,0.1,0.9,0.0,0.0,0.0,0.0,0.0
Matthew Mulligan,BUF,0.1,0.9,0.0,0.0,0.0,0.0,0.0
Geoff Swaim,DAL,0.1,0.8,0.0,0.0,0.0,0.0,0.0
Cory Harkey,STL,0.1,0.8,0.0,0.0,0.0,0.0,0.0
Jesse James,PIT,0.2,0.6,0.0,0.0,0.0,0.0,0.0
Blake Bell,SF,0.1,0.5,0.0,0.0,0.0,0.0,0.0
David Johnson,SD,0.0,0.3,0.0,0.0,0.0,0.0,0.0
Jerome Cunningham,NYG,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Anthony McCoy,WAS,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Richie Brockel,CAR,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Trey Burton,PHI,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Brian Parker,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kennard Backman,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabe Holmes,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Pitta,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martellus Bennett,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Miller,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virgil Green,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rory Anderson,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick OLeary,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Eifert,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Williams,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Miller,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Smith,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jace Amaro,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Fells,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Bostick,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D.J. Tialavea,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Owen Daniels,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Bibbs,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
