displayName,defSack,defInt,defFF,defFR,defTD,defRetTD,defSafety,defPA,defYdsAllowed
St. Louis Rams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oakland Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dallas Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tampa Bay Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denver Broncos,3.3,1.5,0.8,0.8,0.3,0.1,0.0,16.3,250.6
New York Jets,3.4,1.5,0.5,0.4,0.3,0.1,0.0,17.1,295.5
Cincinnati Bengals,3.0,1.3,0.6,0.6,0.3,0.1,0.0,18.2,283.6
Baltimore Ravens,2.6,1.0,0.5,0.5,0.1,0.1,0.0,19.2,283.2
Green Bay Packers,3.2,1.0,0.6,0.5,0.3,0.0,0.0,19.2,309.8
Seattle Seahawks,3.0,1.1,0.7,0.7,0.2,0.1,0.1,19.6,316.9
New England Patriots,2.6,1.1,0.6,0.6,0.2,0.1,0.0,19.7,315.7
Minnesota Vikings,3.2,0.9,0.7,0.7,0.3,0.1,0.0,19.9,316.3
Arizona Cardinals,3.0,1.2,0.7,0.7,0.3,0.1,0.0,20.2,363.9
Tennessee Titans,2.8,1.3,0.3,0.3,0.2,0.0,0.0,20.2,297.2
Houston Texans,2.8,1.2,0.5,0.5,0.2,0.1,0.0,20.8,311.3
Carolina Panthers,3.1,1.1,0.6,0.6,0.2,0.0,0.0,20.9,314.6
Detroit Lions,2.2,0.9,0.5,0.5,0.1,0.1,0.0,21.8,317.2
Washington Redskins,2.2,1.0,0.5,0.5,0.2,0.0,0.0,22.7,367.7
Kansas City Chiefs,2.2,0.7,0.4,0.4,0.2,0.1,0.0,23.0,307.1
Buffalo Bills,3.0,1.1,0.6,0.6,0.2,0.1,0.0,23.1,367.1
Jacksonville Jaguars,2.6,1.1,0.5,0.5,0.2,0.0,0.1,23.2,338.3
New York Giants,1.6,1.1,0.6,0.5,0.2,0.0,0.0,23.3,369.3
Chicago Bears,1.6,1.1,0.4,0.4,0.1,0.0,0.0,23.5,308.1
Miami Dolphins,2.4,0.9,0.5,0.5,0.2,0.1,0.0,23.8,337.4
Atlanta Falcons,2.0,0.9,0.6,0.6,0.1,0.0,0.0,23.9,374.2
Philadelphia Eagles,2.3,1.0,0.6,0.5,0.2,0.1,0.0,24.1,434.9
Cleveland Browns,1.9,0.9,0.4,0.4,0.1,0.1,0.0,24.7,400.0
San Francisco 49ers,2.0,1.2,0.3,0.3,0.1,0.0,0.0,25.9,406.0
Pittsburgh Steelers,1.7,0.8,0.5,0.5,0.1,0.1,0.0,27.3,376.0
Indianapolis Colts,1.3,0.5,0.4,0.4,0.1,0.0,0.1,29.3,469.9
New Orleans Saints,1.5,0.7,0.5,0.5,0.1,0.1,0.0,30.5,464.2
San Diego Chargers,2.1,0.5,0.3,0.3,0.1,0.0,0.0,31.7,441.5
