displayName,team,rushAtt,rushYds,rushTD,receptions,recYds,recTD,fumblesLost
Doug Martin,TB,18.7,91.5,0.5,1.4,10.5,0.0,0.2
Adrian Peterson,MIN,20.4,78.5,0.6,2.0,14.1,0.0,0.2
David Johnson,ARI,16.6,78.3,0.6,3.1,26.9,0.1,0.1
Latavius Murray,OAK,18.0,76.9,0.5,1.6,10.0,0.0,0.1
DeAngelo Williams,PIT,17.7,76.5,0.6,3.1,23.7,0.0,0.2
Darren McFadden,DAL,17.3,72.4,0.3,2.3,16.5,0.0,0.2
Frank Gore,IND,16.0,66.7,0.4,2.1,15.4,0.0,0.2
Karlos Williams,BUF,12.2,63.0,0.4,1.2,10.2,0.0,0.1
Todd Gurley,STL,15.4,62.2,0.4,1.5,11.1,0.0,0.1
Charcandrick West,KC,13.5,61.6,0.5,2.1,17.7,0.1,0.1
Lamar Miller,MIA,13.1,61.6,0.4,2.3,18.9,0.0,0.1
Denard Robinson,JAC,12.2,61.1,0.4,3.1,22.5,0.0,0.1
Chris Ivory,NYJ,14.7,60.0,0.3,1.3,8.9,0.0,0.2
Tim Hightower,NO,16.1,59.8,0.7,2.3,16.7,0.1,0.1
Ryan Mathews,PHI,10.9,56.3,0.3,1.4,10.5,0.0,0.3
Rashad Jennings,NYG,11.6,56.3,0.2,1.9,13.9,0.0,0.2
Christine Michael,SEA,10.8,56.0,0.3,0.9,6.4,0.0,0.1
Alfred Blue,HOU,13.8,55.8,0.3,0.5,3.7,0.0,0.1
Devonta Freeman,ATL,15.0,54.8,0.4,5.0,40.5,0.1,0.1
Matt Forte,CHI,13.8,54.0,0.4,3.8,30.2,0.1,0.2
Alfred Morris,WAS,10.8,51.9,0.2,0.3,1.8,0.0,0.1
Cameron Artis-Payne,CAR,11.0,49.8,0.3,1.7,13.0,0.0,0.1
Antonio Andrews,TEN,12.4,49.7,0.2,2.0,15.1,0.0,0.1
Ameer Abdullah,DET,11.7,48.7,0.2,1.8,15.8,0.0,0.1
Jeremy Hill,CIN,13.8,47.8,0.4,1.1,7.2,0.0,0.2
Eddie Lacy,GB,12.0,47.0,0.3,1.4,11.5,0.0,0.2
Ronnie Hillman,DEN,11.3,45.9,0.2,1.8,12.5,0.0,0.1
Donald Brown,SD,11.7,42.1,0.2,2.0,15.7,0.0,0.1
Shaun Draughn,SF,10.8,41.2,0.2,2.9,20.1,0.0,0.1
Mike Gillislee,BUF,8.8,38.9,0.3,1.3,8.8,0.0,0.1
C.J. Anderson,DEN,9.4,38.4,0.2,1.9,14.9,0.0,0.1
Bryce Brown,SEA,8.5,38.4,0.2,1.0,7.9,0.0,0.1
Spencer Ware,KC,8.2,38.0,0.5,0.6,3.6,0.0,0.1
Javorius Allen,BAL,11.6,38.0,0.2,3.9,30.0,0.1,0.2
Isaiah Crowell,CLE,10.5,36.8,0.2,1.2,9.0,0.0,0.1
Matt Jones,WAS,9.6,36.6,0.2,2.0,16.4,0.0,0.3
Jeremy Langford,CHI,9.9,36.4,0.2,2.6,23.6,0.0,0.1
T.J. Yeldon,JAC,7.6,33.2,0.2,1.7,15.2,0.1,0.0
Jay Ajayi,MIA,6.2,31.8,0.3,1.1,7.1,0.0,0.1
Giovani Bernard,CIN,8.9,31.3,0.1,3.6,28.1,0.1,0.1
Joique Bell,DET,7.8,31.2,0.3,1.8,15.3,0.1,0.1
James Starks,GB,7.8,30.3,0.2,3.4,27.1,0.1,0.2
Charles Sims,TB,7.0,29.9,0.1,3.0,26.7,0.1,0.2
Danny Woodhead,SD,7.9,27.0,0.2,4.3,39.5,0.2,0.1
Darren Sproles,PHI,8.0,27.0,0.2,3.2,24.7,0.1,0.1
DeMarco Murray,PHI,7.1,27.0,0.2,0.8,5.9,0.0,0.1
Jerick McKinnon,MIN,2.9,25.5,0.1,1.7,13.8,0.0,0.1
Brandon Bolden,NE,6.6,24.9,0.2,1.4,10.1,0.1,0.1
Andre Ellington,ARI,6.0,24.7,0.2,1.7,14.0,0.0,0.1
Duke Johnson,CLE,6.7,23.7,0.1,3.1,25.2,0.1,0.1
DuJuan Harris,SEA,1.5,23.6,0.1,1.0,5.8,0.0,0.2
Robert Turbin,DAL,5.6,23.1,0.1,0.7,4.7,0.0,0.1
Bilal Powell,NYJ,5.4,22.7,0.1,3.9,32.0,0.2,0.1
Jonathan Stewart,CAR,5.7,22.5,0.2,0.9,6.4,0.0,0.0
Terrance West,BAL,6.2,20.1,0.2,1.1,6.3,0.0,0.2
Tevin Coleman,ATL,4.5,18.1,0.1,0.6,3.4,0.0,0.2
Mike Tolbert,CAR,4.5,17.7,0.2,1.6,11.4,0.1,0.0
Joey Iosefa,NE,5.4,17.3,0.1,0.6,3.5,0.0,0.1
David Cobb,TEN,4.8,16.9,0.2,0.4,1.9,0.0,0.1
Andre Williams,NYG,4.2,16.9,0.2,0.2,1.6,0.0,0.1
Jonathan Grimes,HOU,4.2,16.3,0.1,1.3,10.0,0.0,0.1
Chris Polk,HOU,5.1,15.4,0.1,0.5,3.5,0.0,0.1
Joe Banyard,JAC,3.2,14.9,0.1,1.2,8.7,0.1,0.1
Shane Vereen,NYG,3.4,14.8,0.1,3.9,31.0,0.1,0.1
Dan Herron,IND,3.9,14.6,0.1,1.7,12.2,0.0,0.1
Orleans Darkwa,NYG,3.6,13.9,0.1,0.8,6.0,0.0,0.1
Fozzy Whittaker,CAR,2.8,13.5,0.1,1.7,12.4,0.0,0.1
Travaris Cadet,SF,5.5,13.3,0.1,2.0,10.1,0.1,0.1
Steven Jackson,NE,5.1,12.7,0.1,0.9,6.3,0.0,0.1
