displayName,team,xp,fg
Chandler Catanzaro,ARI,2.8,2.1
Chris Boswell,PIT,1.6,2.1
Cairo Santos,KC,2.9,2.0
Steven Hauschka,SEA,2.8,2.0
Caleb Sturgis,PHI,2.3,2.0
Dan Carpenter,BUF,2.2,2.0
Connor Barth,TB,2.1,2.0
Jason Myers,JAC,2.7,1.9
Adam Vinatieri,IND,2.7,1.9
Stephen Gostkowski,NE,2.6,1.9
Blair Walsh,MIN,2.1,1.9
Randy Bullock,NYJ,2.0,1.9
Justin Tucker,BAL,1.8,1.9
Mason Crosby,GB,2.6,1.8
Matt Prater,DET,2.2,1.8
Josh Lambo,SD,2.0,1.8
Nick Novak,HOU,2.0,1.8
Shayne Graham,ATL,2.0,1.8
Robbie Gould,CHI,2.0,1.8
Josh Brown,NYG,1.9,1.8
Dustin Hopkins,WAS,1.9,1.8
Brandon McManus,DEN,1.4,1.8
Dan Bailey,DAL,1.3,1.8
Ryan Succop,TEN,1.8,1.7
Phil Dawson,SF,1.7,1.7
Greg Zuerlein,STL,1.2,1.7
Andrew Franks,MIA,2.5,1.4
Graham Gano,CAR,2.8,1.3
Sebastian Janikowski,OAK,2.8,1.3
Kai Forbath,NO,2.9,1.2
Mike Nugent,CIN,2.0,1.2
Travis Coons,CLE,1.4,1.1
Matt Bryant,ATL,0.0,0.0
Jordan Gay,BUF,0.0,0.0
Patrick Murray,TB,0.0,0.0
Billy Cundiff,CLE,0.0,0.0
Jay Feely,CHI,0.0,0.0
Zach Hocker,STL,0.0,0.0
Shaun Suisham,PIT,0.0,0.0
Josh Scobee,PIT,0.0,0.0
Garrett Hartley,PIT,0.0,0.0
