displayName,defSack,defInt,defFF,defFR,defTD,defRetTD,defSafety,defPA,defYdsAllowed
Seattle Seahawks,2.5,1.2,0.9,0.9,0.4,0.1,0.0,15.5,241.2
Cincinnati Bengals,3.0,1.3,0.6,0.6,0.2,0.0,0.0,17.1,271.4
Kansas City Chiefs,3.2,1.3,0.9,0.9,0.3,0.0,0.0,17.4,271.3
Houston Texans,3.3,1.2,0.6,0.6,0.3,0.0,0.0,18.5,273.6
Carolina Panthers,3.1,1.3,0.8,0.8,0.3,0.0,0.0,18.6,259.6
Denver Broncos,3.3,1.2,0.7,0.7,0.3,0.1,0.0,19.7,293.6
Pittsburgh Steelers,2.8,1.5,0.7,0.7,0.3,0.1,0.0,20.4,331.7
New England Patriots,2.4,0.9,0.5,0.5,0.2,0.0,0.0,20.4,338.5
Buffalo Bills,2.8,1.3,0.6,0.6,0.3,0.0,0.0,20.4,309.7
Detroit Lions,3.2,1.1,0.6,0.6,0.3,0.0,0.1,20.4,310.9
Oakland Raiders,3.3,0.9,0.7,0.7,0.3,0.0,0.0,21.1,283.3
Miami Dolphins,3.0,1.0,0.5,0.5,0.2,0.1,0.0,21.3,359.1
Tampa Bay Buccaneers,2.7,1.1,0.5,0.5,0.3,0.0,0.0,21.4,359.6
Minnesota Vikings,3.0,1.1,0.6,0.6,0.3,0.1,0.0,21.5,347.7
Tennessee Titans,2.7,1.1,0.6,0.6,0.3,0.0,0.0,21.6,324.3
Arizona Cardinals,2.7,1.0,0.8,0.8,0.3,0.1,0.1,21.7,367.4
Washington Redskins,2.6,1.0,0.7,0.7,0.3,0.1,0.0,23.0,360.7
San Diego Chargers,1.8,0.8,0.5,0.5,0.1,0.0,0.0,23.2,330.7
San Francisco 49ers,2.0,1.1,0.4,0.4,0.1,0.0,0.0,23.3,383.3
Dallas Cowboys,2.6,1.0,0.3,0.3,0.1,0.0,0.0,23.4,373.8
New York Jets,2.8,0.8,0.5,0.5,0.1,0.0,0.0,23.5,357.0
Chicago Bears,2.4,1.0,0.5,0.5,0.2,0.0,0.0,23.9,359.8
New York Giants,1.9,1.0,0.5,0.5,0.2,0.1,0.0,24.4,373.9
St. Louis Rams,2.1,0.6,0.5,0.5,0.1,0.1,0.1,24.7,435.3
Philadelphia Eagles,2.2,0.8,0.6,0.6,0.2,0.1,0.1,24.9,365.0
Indianapolis Colts,2.4,1.0,0.6,0.6,0.2,0.0,0.1,24.9,355.4
Green Bay Packers,2.2,0.9,0.5,0.5,0.1,0.0,0.0,25.4,415.4
Jacksonville Jaguars,2.0,0.6,0.5,0.5,0.2,0.0,0.0,27.5,411.2
Cleveland Browns,2.1,0.5,0.4,0.4,0.1,0.1,0.0,27.7,366.9
Baltimore Ravens,2.5,0.8,0.3,0.3,0.1,0.1,0.0,27.8,384.2
New Orleans Saints,2.0,0.6,0.6,0.6,0.2,0.1,0.0,27.8,380.7
Atlanta Falcons,1.7,0.8,0.4,0.4,0.1,0.0,0.0,28.7,417.5
