"name","pos","name_espn","team_espn","positionRank_espn","overallRank_espn","pts_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushAtt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","returnTds_espn","twoPts_espn","fumbles_espn"
"PEYTONMANNING","QB","Peyton Manning","DEN",1,1,27,40,27,337,4,1,2,3,0,0,0,0,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","PHI",2,2,26,0,0,0,0,0,24,114,2,3,32,0,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",3,3,24,38,28,315,3,0,2,4,0,0,0,0,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",3,3,24,0,0,0,0,0,17,84,2,6,47,0,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",5,5,22,0,0,0,0,0,18,84,2,3,22,0,NA,NA,NA
"JIMMYGRAHAM","TE","Jimmy Graham","NO",5,5,22,0,0,0,0,0,0,0,0,8,104,2,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",7,7,20,30,19,237,2,0,6,33,0,0,0,0,NA,NA,NA
"NICKFOLES","QB","Nick Foles","PHI",7,7,20,31,20,269,2,0,6,26,0,0,0,0,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",9,9,18,39,23,252,2,1,4,20,0,0,0,0,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",9,9,18,25,16,214,2,0,5,26,0,0,0,0,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",11,11,17,0,0,0,0,0,19,95,1,3,28,0,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",11,11,17,0,0,0,0,0,18,80,1,4,30,0,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",13,13,16,36,21,253,2,1,4,7,0,0,0,0,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",13,13,16,0,0,0,0,0,0,0,0,7,107,1,NA,NA,NA
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",13,13,16,0,0,0,0,0,16,62,1,5,48,0,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",13,13,16,36,21,236,2,1,2,13,0,0,0,0,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",13,13,16,42,24,268,2,1,2,5,0,0,0,0,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",13,13,16,38,25,268,2,1,2,3,0,0,0,0,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",19,19,15,33,21,203,2,1,3,12,0,0,0,0,NA,NA,NA
"AJGREEN","WR","A.J. Green","CIN",19,19,15,0,0,0,0,0,0,0,0,6,92,1,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",19,19,15,39,25,237,2,1,2,5,0,0,0,0,NA,NA,NA
"BRIANHOYER","QB","Brian Hoyer","CLE",19,19,15,39,25,237,2,1,1,3,0,0,0,0,NA,NA,NA
"CJSPILLER","RB","C.J. Spiller","BUF",19,19,15,0,0,0,0,0,17,84,1,2,19,0,NA,NA,NA
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",19,19,15,0,0,0,0,0,0,0,0,7,97,1,NA,NA,NA
"JULIOJONES","WR","Julio Jones","ATL",19,19,15,0,0,0,0,0,0,0,0,7,90,1,NA,NA,NA
"MONTEEBALL","RB","Montee Ball","DEN",19,19,15,0,0,0,0,0,15,65,1,4,32,0,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",19,19,15,38,23,232,2,1,1,2,0,0,0,0,NA,NA,NA
"ALFREDMORRIS","RB","Alfred Morris","WAS",28,28,14,0,0,0,0,0,17,81,1,1,4,0,NA,NA,NA
"ANDREJOHNSON","WR","Andre Johnson","HOU",28,28,14,0,0,0,0,0,0,0,0,7,82,1,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",28,28,14,0,0,0,0,0,0,0,0,8,88,1,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",28,28,14,0,0,0,0,0,14,66,1,3,28,0,NA,NA,NA
"BENTATE","RB","Ben Tate","MIN",28,28,14,0,0,0,0,0,13,54,0,4,32,1,NA,NA,NA
"EDDIELACY","RB","Eddie Lacy","GB",28,28,14,0,0,0,0,0,18,77,0,2,14,1,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",28,28,14,0,0,0,0,0,0,0,0,6,85,1,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",28,28,14,0,0,0,0,0,13,73,1,2,17,0,NA,NA,NA
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",28,28,14,0,0,0,0,0,0,0,0,7,81,1,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",28,28,14,0,0,0,0,0,17,60,0,4,22,1,NA,NA,NA
"VICTORCRUZ","WR","Victor Cruz","NYG",28,28,14,0,0,0,0,0,0,0,0,7,88,1,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",39,39,13,33,21,199,1,0,4,20,0,0,0,0,NA,NA,NA
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",39,39,13,0,0,0,0,0,1,6,0,5,72,1,NA,NA,NA
"BISHOPSANKEY","RB","Bishop Sankey","TEN",39,39,13,0,0,0,0,0,14,61,1,2,13,0,NA,NA,NA
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",39,39,13,0,0,0,0,0,0,0,0,6,70,1,NA,NA,NA
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",39,39,13,0,0,0,0,0,1,6,0,6,73,1,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",39,39,13,0,0,0,0,0,13,58,1,4,29,0,NA,NA,NA
"DEZBRYANT","WR","Dez Bryant","DAL",39,39,13,0,0,0,0,0,0,0,0,7,76,1,NA,NA,NA
"ERICDECKER","WR","Eric Decker","NYJ",39,39,13,0,0,0,0,0,0,0,0,5,72,1,NA,NA,NA
"FRANKGORE","RB","Frank Gore","SF",39,39,13,0,0,0,0,0,16,73,1,1,9,0,NA,NA,NA
"MARQISELEE","WR","Marqise Lee","JAC",39,39,13,0,0,0,0,0,0,0,0,6,72,1,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",39,39,13,0,0,0,0,0,0,0,0,6,77,1,NA,NA,NA
"PERCYHARVIN","WR","Percy Harvin","NYJ",39,39,13,0,0,0,0,0,1,4,0,5,77,1,NA,NA,NA
"REGGIEBUSH","RB","Reggie Bush","DET",39,39,13,0,0,0,0,0,12,51,1,4,28,0,NA,NA,NA
"REGGIEWAYNE","WR","Reggie Wayne","IND",39,39,13,0,0,0,0,0,0,0,0,7,71,1,NA,NA,NA
"SHAUNHILL","QB","Shaun Hill","STL",39,39,13,37,23,247,2,2,1,2,0,0,0,0,NA,NA,NA
"ZACSTACY","RB","Zac Stacy","STL",39,39,13,0,0,0,0,0,17,65,1,3,18,0,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","ARI",55,55,12,35,24,273,1,1,1,2,0,0,0,0,NA,NA,NA
"EJMANUEL","QB","EJ Manuel","BUF",55,55,12,29,17,191,1,1,7,36,0,0,0,0,NA,NA,NA
"JAKELOCKER","QB","Jake Locker","TEN",55,55,12,35,20,231,1,1,3,18,0,0,0,0,NA,NA,NA
"JORDANCAMERON","TE","Jordan Cameron","CLE",55,55,12,0,0,0,0,0,0,0,0,6,62,1,NA,NA,NA
"JORDYNELSON","WR","Jordy Nelson","GB",55,55,12,0,0,0,0,0,0,0,0,5,63,1,NA,NA,NA
"JULIUSTHOMAS","TE","Julius Thomas","DEN",55,55,12,0,0,0,0,0,0,0,0,5,68,1,NA,NA,NA
"KEENANALLEN","WR","Keenan Allen","SD",55,55,12,0,0,0,0,0,0,0,0,6,61,1,NA,NA,NA
"MICHAELCRABTREE","WR","Michael Crabtree","SF",55,55,12,0,0,0,0,0,0,0,0,5,68,1,NA,NA,NA
"MIKEWALLACE","WR","Mike Wallace","MIA",55,55,12,0,0,0,0,0,0,0,0,5,65,1,NA,NA,NA
"PIERREGARCON","WR","Pierre Garcon","WAS",55,55,12,0,0,0,0,0,0,0,0,6,61,1,NA,NA,NA
"RASHADJENNINGS","RB","Rashad Jennings","NYG",55,55,12,0,0,0,0,0,11,42,1,3,20,0,NA,NA,NA
"ROBERTGRIFFIN","QB","Robert Griffin","WAS",55,55,12,33,18,194,1,1,6,34,0,0,0,0,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",55,55,12,36,23,246,1,1,2,10,0,0,0,0,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",55,55,12,39,22,226,1,1,3,13,0,0,0,0,NA,NA,NA
"STEVANRIDLEY","RB","Stevan Ridley","NE",55,55,12,0,0,0,0,0,15,66,1,0,0,0,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",55,55,12,40,24,254,1,1,3,3,0,0,0,0,NA,NA,NA
"TORREYSMITH","WR","Torrey Smith","BAL",55,55,12,0,0,0,0,0,0,0,0,6,60,1,NA,NA,NA
"TRENTRICHARDSON","RB","Trent Richardson","IND",55,55,12,0,0,0,0,0,16,57,1,2,15,0,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",55,55,12,0,0,0,0,0,0,0,0,5,68,1,NA,NA,NA
"DONNIEAVERY","WR","Donnie Avery","KC",74,74,11,0,0,0,0,0,0,0,0,5,51,1,NA,NA,NA
"GENOSMITH","QB","Geno Smith","NYJ",74,74,11,29,18,203,1,1,4,19,0,0,0,0,NA,NA,NA
"JAREDCOOK","TE","Jared Cook","STL",74,74,11,0,0,0,0,0,0,0,0,5,54,1,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",74,74,11,0,0,0,0,0,0,0,0,3,55,1,NA,NA,NA
"MARKINGRAM","RB","Mark Ingram","NO",74,74,11,0,0,0,0,0,12,50,1,1,6,0,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",74,74,11,37,25,234,1,1,1,4,0,0,0,0,NA,NA,NA
"MIKEWILLIAMS","WR","Mike Williams","BUF",74,74,11,0,0,0,0,0,0,0,0,4,55,1,NA,NA,NA
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",74,74,11,0,0,0,0,0,0,0,0,4,59,1,NA,NA,NA
"TAVONAUSTIN","WR","Tavon Austin","STL",74,74,11,0,0,0,0,0,1,7,0,5,51,1,NA,NA,NA
"VERNONDAVIS","TE","Vernon Davis","SF",74,74,11,0,0,0,0,0,0,0,0,4,55,1,NA,NA,NA
"VINCENTJACKSON","WR","Vincent Jackson","TB",74,74,11,0,0,0,0,0,0,0,0,6,53,1,NA,NA,NA
"CHADHENNE","QB","Chad Henne","JAC",85,85,10,43,26,269,1,2,1,2,0,0,0,0,NA,NA,NA
"DEREKCARR","QB","Derek Carr","OAK",85,85,10,29,18,203,1,1,2,2,0,0,0,0,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",85,85,10,0,0,0,0,0,0,0,0,5,40,1,NA,NA,NA
"JAMESJONES","WR","James Jones","OAK",85,85,10,0,0,0,0,0,0,0,0,3,41,1,NA,NA,NA
"JASONWITTEN","TE","Jason Witten","DAL",85,85,10,0,0,0,0,0,0,0,0,5,46,1,NA,NA,NA
"JONATHANDWYER","RB","Jonathan Dwyer","ARI",85,85,10,0,0,0,0,0,10,40,1,1,8,0,NA,NA,NA
"MATTCASSEL","QB","Matt Cassel","MIN",85,85,10,31,21,221,1,1,2,8,0,0,0,0,NA,NA,NA
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",85,85,10,0,0,0,0,0,10,36,1,2,15,0,NA,NA,NA
"STEVENJACKSON","RB","Steven Jackson","ATL",85,85,10,0,0,0,0,0,11,39,1,2,11,0,NA,NA,NA
"ZACHERTZ","TE","Zach Ertz","PHI",85,85,10,0,0,0,0,0,0,0,0,3,40,1,NA,NA,NA
"CHRISIVORY","RB","Chris Ivory","NYJ",95,95,9,0,0,0,0,0,8,38,1,0,0,0,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",95,95,9,36,20,236,1,2,1,1,0,0,0,0,NA,NA,NA
"ERICEBRON","TE","Eric Ebron","DET",95,95,9,0,0,0,0,0,0,0,0,3,31,1,NA,NA,NA
"JERMAINEGRESHAM","TE","Jermaine Gresham","CIN",95,95,9,0,0,0,0,0,0,0,0,3,33,1,NA,NA,NA
"ZACHMILLER","TE","Zach Miller","SEA",95,95,9,0,0,0,0,0,0,0,0,2,32,1,NA,NA,NA
"DEREKANDERSON","QB","Derek Anderson","CAR",100,100,8,32,20,155,1,1,1,2,0,0,0,0,NA,NA,NA
"JOSHMCCOWN","QB","Josh McCown","TB",100,100,8,32,20,155,1,1,1,1,0,0,0,0,NA,NA,NA
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","NE",100,100,8,0,0,0,0,0,7,20,1,0,0,0,NA,NA,NA
"MICHAELFLOYD","WR","Michael Floyd","ARI",100,100,8,0,0,0,0,0,0,0,0,6,87,0,NA,NA,NA
"MIKETOLBERT","RB","Mike Tolbert","CAR",100,100,8,0,0,0,0,0,6,22,1,1,6,0,NA,NA,NA
"RUEBENRANDLE","WR","Rueben Randle","NYG",100,100,8,0,0,0,0,0,0,0,0,5,80,0,NA,NA,NA
"CHRISJOHNSON","RB","Chris Johnson","NYJ",106,106,7,0,0,0,0,0,15,58,0,3,24,0,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","PHI",106,106,7,0,0,0,0,0,6,39,0,4,44,0,NA,NA,NA
"DOUGMARTIN","RB","Doug Martin","TB",106,106,7,0,0,0,0,0,14,56,0,5,22,0,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",106,106,7,42,24,198,1,2,3,3,0,0,0,0,NA,NA,NA
"KNOWSHONMORENO","RB","Knowshon Moreno","MIA",106,106,7,0,0,0,0,0,13,57,0,3,23,0,NA,NA,NA
"SHANEVEREEN","RB","Shane Vereen","NE",106,106,7,0,0,0,0,0,9,43,0,4,31,0,NA,NA,NA
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",112,112,6,0,0,0,0,0,0,0,0,6,60,0,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","SF",112,112,6,0,0,0,0,0,0,0,0,5,60,0,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",112,112,6,0,0,0,0,0,1,8,0,5,66,0,NA,NA,NA
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",112,112,6,0,0,0,0,0,0,0,0,5,68,0,NA,NA,NA
"JOIQUEBELL","RB","Joique Bell","DET",112,112,6,0,0,0,0,0,13,45,0,3,26,0,NA,NA,NA
"JULIANEDELMAN","WR","Julian Edelman","NE",112,112,6,0,0,0,0,0,0,0,0,6,61,0,NA,NA,NA
"KENDALLWRIGHT","WR","Kendall Wright","TEN",112,112,6,0,0,0,0,0,0,0,0,6,68,0,NA,NA,NA
"RODDYWHITE","WR","Roddy White","ATL",112,112,6,0,0,0,0,0,0,0,0,6,65,0,NA,NA,NA
"TOBYGERHART","RB","Toby Gerhart","JAC",112,112,6,0,0,0,0,0,14,45,0,3,20,0,NA,NA,NA
"BENJAMINCUNNINGHAM","RB","Benjamin Cunningham","STL",121,121,5,0,0,0,0,0,8,33,0,3,21,0,NA,NA,NA
"CHRISGIVENS","WR","Chris Givens","STL",121,121,5,0,0,0,0,0,0,0,0,4,59,0,NA,NA,NA
"CJANDERSON","RB","C.J. Anderson","DEN",121,121,5,0,0,0,0,0,9,40,0,2,16,0,NA,NA,NA
"DANNYWOODHEAD","RB","Danny Woodhead","SD",121,121,5,0,0,0,0,0,6,23,0,4,35,0,NA,NA,NA
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",121,121,5,0,0,0,0,0,15,59,0,1,8,0,NA,NA,NA
"DENNISPITTA","TE","Dennis Pitta","BAL",121,121,5,0,0,0,0,0,0,0,0,6,52,0,NA,NA,NA
"GOLDENTATE","WR","Golden Tate","DET",121,121,5,0,0,0,0,0,0,0,0,5,59,0,NA,NA,NA
"GREGJENNINGS","WR","Greg Jennings","MIN",121,121,5,0,0,0,0,0,0,0,0,5,57,0,NA,NA,NA
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",121,121,5,0,0,0,0,0,0,0,0,4,51,0,NA,NA,NA
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",121,121,5,0,0,0,0,0,0,0,0,6,53,0,NA,NA,NA
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",121,121,5,0,0,0,0,0,0,0,0,5,53,0,NA,NA,NA
"LAMARMILLER","RB","Lamar Miller","MIA",121,121,5,0,0,0,0,0,9,41,0,2,13,0,NA,NA,NA
"MALCOMFLOYD","WR","Malcom Floyd","SD",121,121,5,0,0,0,0,0,0,0,0,4,53,0,NA,NA,NA
"MARCEDESLEWIS","TE","Marcedes Lewis","JAC",121,121,5,0,0,0,0,0,0,0,0,5,51,0,NA,NA,NA
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",121,121,5,0,0,0,0,0,0,0,0,4,50,0,NA,NA,NA
