"name","pos","name_espn","team_espn","positionRank_espn","overallRank_espn","pts_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushAtt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","returnTds_espn","twoPts_espn","fumbles_espn"
"ANDREWLUCK","QB","Andrew Luck","IND",1,1,25,46,28,346,3,1,6,21,0,0,0,0,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",2,2,23,0,0,0,0,0,21,101,2,2,13,0,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",2,2,23,0,0,0,0,0,25,121,1,6,59,0,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",4,4,22,41,30,323,3,1,2,5,0,0,0,0,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","DEN",5,5,21,38,25,283,3,1,2,-2,0,0,0,0,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",6,6,20,0,0,0,0,0,27,114,1,4,32,0,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",7,7,19,40,27,348,2,1,2,2,0,0,0,0,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",7,7,19,0,0,0,0,0,17,72,1,7,68,0,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",9,9,18,0,0,0,0,0,21,106,1,3,25,0,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",9,9,18,38,25,280,2,1,3,13,0,0,0,0,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",11,11,17,0,0,0,0,0,0,0,0,9,117,1,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",11,11,17,33,22,245,2,0,3,5,0,0,0,0,NA,NA,NA
"JUSTINFORSETT","RB","Justin Forsett","BAL",11,11,17,0,0,0,0,0,20,106,1,3,19,0,NA,NA,NA
"MARKSANCHEZ","QB","Mark Sanchez","PHI",11,11,17,38,24,282,2,1,2,3,0,0,0,0,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",11,11,17,37,24,286,2,1,2,9,0,0,0,0,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",16,16,16,32,21,242,2,1,3,13,0,0,0,0,NA,NA,NA
"AJGREEN","WR","A.J. Green","CIN",16,16,16,0,0,0,0,0,0,0,0,7,104,1,NA,NA,NA
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",16,16,16,0,0,0,0,0,1,10,0,7,95,1,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",16,16,16,0,0,0,0,0,23,98,1,2,15,0,NA,NA,NA
"JOSHMCCOWN","QB","Josh McCown","TB",16,16,16,36,22,230,2,1,2,12,0,0,0,0,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",16,16,16,41,27,250,2,1,2,6,0,0,0,0,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",16,16,16,37,23,222,2,1,4,24,0,0,0,0,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",16,16,16,0,0,0,0,0,0,0,0,7,106,1,NA,NA,NA
"CJANDERSON","RB","C.J. Anderson","DEN",24,24,15,0,0,0,0,0,18,84,1,2,19,0,NA,NA,NA
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",24,24,15,0,0,0,0,0,0,0,0,7,93,1,NA,NA,NA
"DEREKANDERSON","QB","Derek Anderson","CAR",24,24,15,34,23,235,2,1,1,3,0,0,0,0,NA,NA,NA
"DEZBRYANT","WR","Dez Bryant","DAL",24,24,15,0,0,0,0,0,0,0,0,6,91,1,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",24,24,15,33,22,246,2,1,1,3,0,0,0,0,NA,NA,NA
"JAKELOCKER","QB","Jake Locker","TEN",24,24,15,30,19,221,2,1,3,13,0,0,0,0,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","PHI",24,24,15,0,0,0,0,0,19,80,1,2,11,0,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",24,24,15,0,0,0,0,0,16,70,1,3,23,0,NA,NA,NA
"ODELLBECKHAM","WR","Odell Beckham Jr.","NYG",24,24,15,0,0,0,0,0,1,7,0,7,93,1,NA,NA,NA
"RODDYWHITE","WR","Roddy White","ATL",24,24,15,0,0,0,0,0,0,0,0,8,99,1,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",24,24,15,38,25,236,2,1,2,2,0,0,0,0,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",24,24,15,32,20,248,2,1,1,3,0,0,0,0,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",36,36,14,0,0,0,0,0,0,0,0,5,82,1,NA,NA,NA
"COLTMCCOY","QB","Colt McCoy","WAS",36,36,14,32,21,251,1,1,4,22,0,0,0,0,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",36,36,14,0,0,0,0,0,1,3,0,6,82,1,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",36,36,14,0,0,0,0,0,15,63,1,4,25,0,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",36,36,14,0,0,0,0,0,0,0,0,7,80,1,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",36,36,14,0,0,0,0,0,0,0,0,6,87,1,NA,NA,NA
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",36,36,14,37,20,248,1,1,5,30,0,0,0,0,NA,NA,NA
"JORDYNELSON","WR","Jordy Nelson","GB",36,36,14,0,0,0,0,0,0,0,0,6,86,1,NA,NA,NA
"JOSHGORDON","WR","Josh Gordon","CLE",36,36,14,0,0,0,0,0,0,0,0,7,83,1,NA,NA,NA
"MARKINGRAM","RB","Mark Ingram","NO",36,36,14,0,0,0,0,0,14,71,1,2,10,0,NA,NA,NA
