"name","pos","name_espn","team_espn","positionRank_espn","overallRank_espn","pts_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushAtt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","returnTds_espn","twoPts_espn","fumbles_espn"
"RUSSELLWILSON","QB","Russell Wilson","SEA",1,1,19,27,17.2,211.3,1.8,0.6,6.6,41.5,0.2,0,0,0,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",2,2,18.8,32.7,20.9,262.8,2.1,0.5,3.5,18.2,0.1,0,0,0,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",3,3,18.2,35.5,23.8,260.4,2.1,0.4,2.6,3.1,0.1,0,0,0,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",4,4,17.7,36.5,21.6,260.3,2.1,1,3.6,17.2,0.1,0,0,0,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",5,5,17.6,30.6,18.7,223.2,1.4,0.8,7.8,42.7,0.3,0,0,0,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",6,6,17.2,36.7,24.7,303.8,1.8,0.8,2.1,6.3,0,0,0,0,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","DEN",7,7,17,38.5,24.8,299,1.9,0.9,1.4,-0.4,0,0,0,0,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","ARI",8,8,16.6,34.6,21.9,266.1,2,0.9,1.5,2.6,0.1,0,0,0,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",9,9,16.1,33,21,251.7,1,0.6,6.2,37.7,0.1,0,0,0,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",10,10,15.7,36.9,23.7,290.9,1.7,1,1,2,0,0,0,0,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",10,10,15.7,40.1,24.7,281.1,1.7,1,2.3,7.2,0.1,0,0,0,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",12,12,15.5,37.5,24.6,290.7,1.5,0.8,2,6.4,0.1,0,0,0,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",12,12,15.5,35.1,22.5,278.4,1.6,0.9,2,4.3,0,0,0,0,NA,NA,NA
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",14,14,15.3,33.5,21,236.9,1.6,0.9,4.2,25,0.1,0,0,0,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",15,15,15.2,0,0,0,0,0,18.5,91,0.6,2.8,23.2,0.1,NA,NA,NA
