"name","pos","name_espn","team_espn","positionRank_espn","overallRank_espn","pts_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushAtt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","returnTds_espn","twoPts_espn","fumbles_espn"
"ANDREWLUCK","QB","Andrew Luck","IND",1,1,19.9,36.8,22.7,273.6,2.6,0.8,3.8,18,0.1,0,0,0,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","ARI",2,2,19.1,34.5,21.5,275.9,2.3,0.7,2,3.3,0.1,0,0,0,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",3,3,18.9,37,24.2,303.9,2.3,0.9,1.9,4.2,0,0,0,0,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",4,4,18.4,31.1,19.8,240.7,1.5,0.6,6.9,42.5,0.2,0,0,0,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",5,5,18,39.9,27.2,297.8,2.1,0.9,2.2,2.6,0.1,0,0,0,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",6,6,17.5,35.4,21.4,252.1,1.2,1.1,8.6,43.4,0.2,0,0,0,NA,NA,NA
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",7,7,17.1,0,0,0,0,0,18.4,81.7,0.9,3.7,33.1,0.2,NA,NA,NA
"TODDGURLEY","RB","Todd Gurley","STL",7,7,17.1,0,0,0,0,0,21.6,115.1,0.8,1.5,12.4,0.1,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",9,9,17,41.3,26.1,303.3,1.7,0.9,2.1,6.9,0.1,0,0,0,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",10,10,16.9,36,23.8,267.4,1.9,0.9,2.9,14.1,0.1,0,0,0,NA,NA,NA
"BLAKEBORTLES","QB","Blake Bortles","JAX",11,11,16.6,39.6,24.6,300.7,1.4,0.9,3.2,19.2,0,0,0,0,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",12,12,16.2,37.6,24.4,291.3,1.7,0.6,1,2,0,0,0,0,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",13,13,16,42,27.8,324,1.5,0.9,1.5,2.4,0.1,0,0,0,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",14,14,15.3,0,0,0,0,0,21.8,83.6,0.7,3.3,26,0.2,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",15,15,15.1,0,0,0,0,0,19.6,91.4,0.8,1.8,15.3,0.1,NA,NA,NA
"TYRODTAYLOR","QB","Tyrod Taylor","BUF",16,16,14.9,27.2,17.5,196.1,1.3,0.6,6.3,31.1,0.2,0,0,0,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",17,17,14.8,36.6,22.3,245.9,1.2,0.6,3.8,20.4,0.1,0,0,0,NA,NA,NA
"ZACHMETTENBERGER","QB","Zach Mettenberger","TEN",18,18,14.7,36.3,23.1,266,1.8,1.1,1.7,5,0.1,0,0,0,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",19,19,14.5,33,20.6,235.6,1.8,1,2.4,7.7,0.1,0,0,0,NA,NA,NA
