"name","pos","name_espn","team_espn","positionRank_espn","overallRank_espn","pts_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushAtt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","returnTds_espn","twoPts_espn","fumbles_espn"
"STEDMANBAILEY","WR","Stedman Bailey","STL",248,248,1.3,0,0,0,0,0,0,0,0,1.5,19.5,0.1,NA,NA,NA
"AUSTINJOHNSON","RB","Austin Johnson","NO",253,253,0.5,0,0,0,0,0,0.8,2.5,0,0.6,5.5,0,NA,NA,NA
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",253,253,0.5,0,0,0,0,0,0,0,0,0.8,9.1,0.1,NA,NA,NA
"ANDRECALDWELL","WR","Andre Caldwell","DEN",255,255,0.4,0,0,0,0,0,0,0,0,0.7,9.7,0.1,NA,NA,NA
"BOBBYRAINEY","RB","Bobby Rainey","TB",255,255,0.4,0,0,0,0,0,0.7,2.6,0,0.5,4.2,0,NA,NA,NA
"BRANDENOLIVER","RB","Branden Oliver","SD",255,255,0.4,0,0,0,0,0,1.4,6.2,0,0.5,4,0,NA,NA,NA
"CHRISPOLK","RB","Chris Polk","HOU",255,255,0.4,0,0,0,0,0,1.9,7.8,0.1,0.6,4.8,0,NA,NA,NA
"JAVORIUSALLEN","RB","Javorius Allen","BAL",255,255,0.4,0,0,0,0,0,2.1,7.6,0.1,0.5,4.2,0,NA,NA,NA
"MARCUSTHIGPEN","RB","Marcus Thigpen","BUF",255,255,0.4,0,0,0,0,0,0,0,0,0.3,4.7,0,NA,NA,NA
"MATTASIATA","RB","Matt Asiata","MIN",255,255,0.4,0,0,0,0,0,1.5,5.1,0.1,1.1,8.6,0,NA,NA,NA
"ROYHELU","RB","Roy Helu","OAK",255,255,0.4,0,0,0,0,0,1,4.2,0,1.1,8.6,0,NA,NA,NA
"BERNARDPIERCE","RB","Bernard Pierce","JAX",263,263,0.3,0,0,0,0,0,1.3,5.2,0,1.1,8.7,0,NA,NA,NA
"CHRISMATTHEWS","WR","Chris Matthews","SEA",263,263,0.3,0,0,0,0,0,0,0,0,0.5,7.2,0,NA,NA,NA
"DEVINHESTER","WR","Devin Hester","ATL",263,263,0.3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DEVINSTREET","WR","Devin Street","DAL",263,263,0.3,0,0,0,0,0,0,0,0,0.5,7.3,0,NA,NA,NA
"FOZZYWHITTAKER","RB","Fozzy Whittaker","CAR",263,263,0.3,0,0,0,0,0,0.8,3.3,0,0.4,3.7,0,NA,NA,NA
"JACOBYJONES","WR","Jacoby Jones","SD",263,263,0.3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JUWANTHOMPSON","RB","Juwan Thompson","DEN",263,263,0.3,0,0,0,0,0,1.1,4.6,0,0.2,1.2,0,NA,NA,NA
"MILESAUSTIN","WR","Miles Austin","PHI",263,263,0.3,0,0,0,0,0,0,0,0,0.6,7.6,0,NA,NA,NA
"NICKWILLIAMS","WR","Nick Williams","ATL",263,263,0.3,0,0,0,0,0,0,0,0,0.7,8.7,0.1,NA,NA,NA
"PATRICKDIMARCO","RB","Patrick DiMarco","ATL",263,263,0.3,0,0,0,0,0,0,0,0,0.8,6.9,0.1,NA,NA,NA
"RILEYCOOPER","WR","Riley Cooper","PHI",263,263,0.3,0,0,0,0,0,0,0,0,0.6,8.2,0,NA,NA,NA
"ANTHONYSHERMAN","RB","Anthony Sherman","KC",274,274,0.2,0,0,0,0,0,0.1,0.3,0,0.5,4.4,0,NA,NA,NA
"BRANDONTATE","WR","Brandon Tate","CIN",274,274,0.2,0,0,0,0,0,0,0,0,0.1,1.2,0,NA,NA,NA
"BRUCEMILLER","RB","Bruce Miller","SF",274,274,0.2,0,0,0,0,0,0.3,0.8,0,0.5,3.8,0,NA,NA,NA
