"name","pos","name_espn","team_espn","positionRank_espn","overallRank_espn","pts_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushAtt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","returnTds_espn","twoPts_espn","fumbles_espn"
"TOMBRADY","QB","Tom Brady","NE",1,1,19.6,41.2,27.8,303.7,2,0.7,2.3,2.7,0.2,0,0,0,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",2,2,19.5,43.2,29.3,339.4,2.1,0.9,1.5,2.4,0.1,0,0,0,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",3,3,19.2,31.4,20.4,245.6,2.5,0.5,3.5,18.9,0.1,0,0,0,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",4,4,19.1,39.7,24.3,294.4,2.4,1.3,3.8,17.7,0.1,0,0,0,NA,NA,NA
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",5,5,17.9,0,0,0,0,0,19.2,92.6,0.9,4.1,37.9,0.2,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",6,6,17.6,30.5,19.5,235.2,1.4,0.8,7,42.6,0.2,0,0,0,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",7,7,17,37.9,24.3,279.7,1.8,0.7,2,6.2,0.1,0,0,0,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",8,8,16.8,30.8,19.2,229.5,1,0.5,6.8,42.1,0.2,0,0,0,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",9,9,16.6,0,0,0,0,0,21.9,98.4,0.6,3.7,34.2,0.2,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","DEN",9,9,16.6,36.4,22.8,277.6,1.8,0.7,1.4,-0.4,0,0,0,0,NA,NA,NA
"BLAKEBORTLES","QB","Blake Bortles","JAX",11,11,16.4,34.4,22.1,263.1,1.6,0.6,3.2,18.8,0.1,0,0,0,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",12,12,16.1,34.1,22.3,259.7,1.8,0.6,2.1,6.9,0.1,0,0,0,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",13,13,15.8,35.5,22.3,265.5,1.5,1,3.5,10.5,0.1,0,0,0,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","ARI",14,14,15.7,35.3,21.4,262.9,1.8,0.9,1.5,2.5,0.1,0,0,0,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",14,14,15.7,37.4,23.8,296.6,2,1.4,1.9,4.1,0,0,0,0,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",16,16,15.3,41.9,26,311.4,1.4,1,1,2,0,0,0,0,NA,NA,NA
"SAMBRADFORD","QB","Sam Bradford","PHI",16,16,15.3,37.1,23.1,253,1.7,0.8,1.8,4.9,0.1,0,0,0,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",18,18,15.1,0,0,0,0,0,18.9,81.1,0.5,4.8,38.7,0.2,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",19,19,14.9,36.6,22.9,268.6,1.6,0.8,2.2,4.6,0.1,0,0,0,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",20,20,14.8,35.9,22,242.5,1.8,1.1,2.7,13.2,0.1,0,0,0,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",21,21,14.7,0,0,0,0,0,19.2,88.3,0.9,2.1,17.5,0.1,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",22,22,14.4,32.3,20.5,237.3,1.6,0.9,2.6,12.1,0.1,0,0,0,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",23,23,14.3,36.5,22.1,238.8,1.1,0.7,4.1,21.6,0.1,0,0,0,NA,NA,NA
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",24,24,14.1,31.1,18.3,220.3,1.3,0.6,3.5,18.7,0.2,0,0,0,NA,NA,NA
