displayName,team,xp,fg
Justin Tucker,BAL,2.3,2.2
Brandon McManus,DEN,2.9,2.1
Caleb Sturgis,PHI,2.9,2.0
Greg Zuerlein,STL,2.2,2.0
Steven Hauschka,SEA,2.0,2.0
Chris Boswell,PIT,1.5,2.0
Blair Walsh,MIN,1.4,2.0
Connor Barth,TB,1.4,2.0
Randy Bullock,NYJ,2.1,1.9
Chandler Catanzaro,ARI,2.0,1.9
Josh Brown,NYG,2.0,1.9
Dustin Hopkins,WAS,2.6,1.8
Sebastian Janikowski,OAK,2.1,1.8
Dan Carpenter,BUF,2.0,1.8
Graham Gano,CAR,2.0,1.8
Dan Bailey,DAL,1.9,1.8
Jason Myers,JAC,1.9,1.8
Ryan Succop,TEN,1.9,1.8
Nick Novak,HOU,1.3,1.8
Kai Forbath,NO,2.8,1.7
Cairo Santos,KC,1.4,1.7
Robbie Gould,CHI,1.3,1.7
Zach Hocker,NO,2.4,1.6
Mason Crosby,GB,3.7,1.4
Stephen Gostkowski,NE,3.5,1.4
Mike Nugent,CIN,3.0,1.3
Andrew Franks,MIA,1.8,1.3
Travis Coons,CLE,1.7,1.2
Matt Prater,DET,1.8,1.0
Matt Bryant,ATL,0.0,0.0
Patrick Murray,TB,0.0,0.0
Jordan Gay,BUF,0.0,0.0
Adam Vinatieri,IND,0.0,0.0
Phil Dawson,SF,0.0,0.0
Jay Feely,CHI,0.0,0.0
Garrett Hartley,PIT,0.0,0.0
Josh Scobee,PIT,0.0,0.0
Shaun Suisham,PIT,0.0,0.0
Billy Cundiff,CLE,0.0,0.0
