"name","pos","name_actual","team_actual","positionRank_actual","overallRank_actual","pts_actual","passAtt_actual","passComp_actual","passYds_actual","passTds_actual","passInt_actual","rushAtt_actual","rushYds_actual","rushTds_actual","rec_actual","recYds_actual","recTds_actual","returnTds_actual","twoPts_actual","fumbles_actual"
"JEREMYLANGFORD","RB","Jeremy Langford","CHI",1,1,33.7,9,NA,NA,NA,NA,20,73,1,7,109,1,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",1,2,32.9,14,NA,NA,NA,NA,NA,NA,NA,10,139,2,0,1,NA
"KIRKCOUSINS","QB","Kirk Cousins","WAS",1,3,28.96,NA,NA,324,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",2,4,27.96,NA,NA,379,3,1,2,-2,0,NA,NA,NA,0,1,NA
"MATTJONES","RB","Matt Jones","WAS",2,5,26.2,3,NA,NA,NA,NA,11,56,0,3,131,1,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",2,6,25.4,8,NA,NA,NA,NA,1,11,0,5,98,2,NA,NA,NA
"ZACHMILLER","TE","Zach Miller","CHI",1,7,25.2,5,NA,NA,NA,NA,NA,NA,NA,5,107,2,NA,NA,NA
"MARTAVISBRYANT","WR","Martavis Bryant","PIT",3,8,24.8,10,NA,NA,NA,NA,NA,NA,NA,6,178,1,NA,NA,1
"JAYCUTLER","QB","Jay Cutler","CHI",3,9,24.72,NA,NA,258,3,0,3,24,0,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",4,10,22.34,NA,NA,316,3,2,2,17,0,NA,NA,NA,NA,NA,1
"AARONRODGERS","QB","Aaron Rodgers","GB",5,11,22.12,NA,NA,333,2,0,2,8,0,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",6,12,20.98,NA,NA,217,1,0,9,23,1,NA,NA,NA,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","BUF",3,13,18.4,5,NA,0,0,0,19,112,0,5,47,0,0,0,0
"LAMARMILLER","RB","Lamar Miller","MIA",4,14,18.3,8,NA,NA,NA,NA,16,43,0,6,50,1,NA,NA,0
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",7,15,17.58,NA,NA,372,1,1,3,17,0,NA,NA,NA,NA,NA,1
"ERICDECKER","WR","Eric Decker","NYJ",4,16,17.5,11,NA,0,0,0,0,0,0,6,85,1,0,0,0
"BLAKEBORTLES","QB","Blake Bortles","JAX",8,17,17.02,NA,NA,188,2,1,2,25,0,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",9,18,16.78,NA,NA,242,2,1,2,1,0,NA,NA,NA,NA,NA,0
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",10,19,16.72,0,NA,193,2,2,3,30,0,0,0,0,0,0,0
"MIKEEVANS","WR","Mike Evans","TB",5,20,16.6,13,NA,NA,NA,NA,NA,NA,NA,8,126,0,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",11,21,16.48,NA,NA,217,2,0,2,-2,0,NA,NA,NA,NA,NA,0
"TODDGURLEY","RB","Todd Gurley","STL",5,22,16.4,3,NA,NA,NA,NA,12,45,1,3,44,0,NA,NA,NA
"JORDANREED","TE","Jordan Reed","WAS",2,22,16.4,4,NA,NA,NA,NA,NA,NA,NA,3,29,2,NA,NA,NA
"GARYBARNIDGE","TE","Gary Barnidge","CLE",3,24,15.5,8,NA,NA,NA,NA,NA,NA,NA,6,65,1,NA,NA,NA
"BRENTCELEK","TE","Brent Celek","PHI",4,25,15.4,4,NA,NA,NA,NA,NA,NA,NA,4,134,0,NA,NA,NA
"JARVISLANDRY","WR","Jarvis Landry","MIA",6,26,15.3,12,NA,NA,NA,NA,1,6,0,7,52,1,0,0,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",6,27,15.1,0,NA,NA,NA,NA,22,91,1,0,0,0,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","PHI",7,28,14.9,8,NA,NA,NA,NA,22,61,0,6,58,0,NA,NA,NA
"JAMEISWINSTON","QB","Jameis Winston","TB",12,29,14.86,NA,NA,264,0,2,3,3,1,NA,NA,NA,NA,NA,0
"ALLENHURNS","WR","Allen Hurns","JAX",7,30,14.7,9,NA,NA,NA,NA,NA,NA,NA,5,62,1,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",13,31,14.36,NA,NA,209,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRAVISBENJAMIN","WR","Travis Benjamin","CLE",8,32,14.1,11,NA,NA,NA,NA,1,-7,0,7,113,0,NA,NA,NA
"JAMISONCROWDER","WR","Jamison Crowder","WAS",9,33,14,5,NA,NA,NA,NA,NA,NA,NA,4,60,1,0,0,0
"ALLENROBINSON","WR","Allen Robinson","JAX",10,34,13.6,11,NA,NA,NA,NA,NA,NA,NA,5,51,1,NA,NA,NA
"SAMBRADFORD","QB","Sam Bradford","PHI",14,35,13.44,NA,NA,236,1,0,1,0,0,NA,NA,NA,NA,NA,0
"DAVANTEADAMS","WR","Davante Adams","GB",11,36,12.9,21,NA,NA,NA,NA,NA,NA,NA,10,79,0,NA,NA,NA
"JAMESSTARKS","RB","James Starks","GB",8,37,12.6,7,NA,NA,NA,NA,15,42,0,6,54,0,NA,NA,NA
"CHRISIVORY","RB","Chris Ivory","NYJ",9,38,12.5,3,NA,0,0,0,18,99,0,2,36,0,0,0,1
"DOUGMARTIN","RB","Doug Martin","TB",10,39,12.3,4,NA,NA,NA,NA,18,63,0,4,40,0,NA,NA,NA
"RISHARDMATTHEWS","WR","Rishard Matthews","MIA",12,40,12.2,6,NA,NA,NA,NA,1,4,0,5,93,0,NA,NA,NA
"CROCKETTGILLMORE","TE","Crockett Gillmore","BAL",5,40,12.2,4,NA,NA,NA,NA,NA,NA,NA,4,42,1,NA,NA,NA
"ALFREDMORRIS","RB","Alfred Morris","WAS",11,42,12.1,3,NA,NA,NA,NA,15,92,0,3,14,0,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",6,43,12,8,NA,NA,NA,NA,NA,NA,NA,8,80,0,NA,NA,NA
"MAXXWILLIAMS","TE","Maxx Williams","BAL",6,43,12,4,NA,NA,NA,NA,NA,NA,NA,4,40,1,NA,NA,NA
"RICHARDRODGERS","TE","Richard Rodgers","GB",8,45,11.7,5,NA,NA,NA,NA,NA,NA,NA,5,32,1,NA,NA,NA
"CHRISGIVENS","WR","Chris Givens","BAL",13,45,11.7,7,NA,NA,NA,NA,NA,NA,NA,4,37,1,NA,NA,NA
"TYRODTAYLOR","QB","Tyrod Taylor","BUF",15,47,11.52,0,NA,158,1,0,6,12,0,0,0,0,0,0,0
"KARLOSWILLIAMS","RB","Karlos Williams","BUF",12,48,11.5,1,NA,0,0,0,7,24,0,1,26,1,0,0,0
"MARKINGRAM","RB","Mark Ingram","NO",13,49,11.4,4,NA,NA,NA,NA,4,78,0,3,21,0,NA,NA,NA
"DEXTERMCCLUSTER","RB","Dexter McCluster","TEN",14,50,11.2,5,NA,NA,NA,NA,3,25,1,4,27,0,0,0,1
"RYANMATHEWS","RB","Ryan Mathews","PHI",15,51,11,3,NA,NA,NA,NA,8,18,1,2,22,0,NA,NA,NA
"KAMARAIKEN","WR","Kamar Aiken","BAL",14,52,10.8,14,NA,NA,NA,NA,NA,NA,NA,7,73,0,NA,NA,NA
"LANCEMOORE","WR","Lance Moore","DET",15,53,10.4,6,NA,NA,NA,NA,NA,NA,NA,3,29,1,NA,NA,NA
"ZACHERTZ","TE","Zach Ertz","PHI",9,54,10.3,10,NA,NA,NA,NA,NA,NA,NA,7,68,0,NA,NA,NA
"BRANDONMARSHALL","WR","Brandon Marshall","NYJ",16,55,9.8,10,NA,0,0,0,0,0,0,3,23,1,0,0,0
"TJYELDON","RB","T.J. Yeldon","JAX",16,56,9.2,6,NA,NA,NA,NA,18,61,0,5,6,0,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",17,57,9.1,9,NA,NA,NA,NA,NA,NA,NA,6,81,0,0,0,1
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",16,58,8.8,NA,NA,185,0,1,5,24,0,NA,NA,NA,NA,NA,0
"CHARCANDRICKWEST","RB","Charcandrick West","KC",17,59,8.5,NA,NA,NA,NA,NA,4,25,1,NA,NA,NA,NA,NA,NA
"JUSTINFORSETT","RB","Justin Forsett","BAL",18,60,8.4,4,NA,NA,NA,NA,14,53,0,4,11,0,NA,NA,NA
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",18,60,8.4,8,NA,NA,NA,NA,NA,NA,NA,7,69,0,NA,NA,1
"GOLDENTATE","WR","Golden Tate","DET",19,62,8.3,4,NA,NA,NA,NA,1,11,0,4,52,0,0,0,NA
"CHRISTHOMPSON","RB","Chris Thompson","WAS",19,63,8.2,1,NA,NA,NA,NA,2,54,0,1,23,0,NA,NA,NA
"CHARLESCLAY","TE","Charles Clay","BUF",10,64,7.7,6,NA,0,0,0,0,0,0,5,52,0,0,0,0
"RANDALLCOBB","WR","Randall Cobb","GB",20,65,7.5,10,NA,NA,NA,NA,1,-3,0,5,53,0,NA,NA,NA
"DEANGELOWILLIAMS","RB","DeAngelo Williams","PIT",20,66,7.4,2,NA,NA,NA,NA,17,54,0,1,15,0,NA,NA,0
"DARRENMCFADDEN","RB","Darren McFadden","DAL",21,67,7.3,4,NA,NA,NA,NA,17,32,0,3,26,0,NA,NA,NA
"DEZBRYANT","WR","Dez Bryant","DAL",21,68,7,12,NA,NA,NA,NA,NA,NA,NA,5,45,0,NA,NA,NA
"NICKFOLES","QB","Nick Foles","STL",17,68,7,NA,NA,200,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JASONWITTEN","TE","Jason Witten","DAL",11,70,6.7,5,NA,NA,NA,NA,NA,NA,NA,5,42,0,NA,NA,NA
"DELANIEWALKER","TE","Delanie Walker","TEN",11,70,6.7,4,NA,NA,NA,NA,NA,NA,NA,3,52,0,NA,NA,NA
"JUSTINHUNTER","WR","Justin Hunter","TEN",22,70,6.7,4,NA,NA,NA,NA,NA,NA,NA,4,47,0,NA,NA,NA
"MATTCASSEL","QB","Matt Cassel","DAL",18,73,6.64,NA,NA,186,0,1,1,2,0,NA,NA,NA,NA,NA,0
"SCOTTCHANDLER","TE","Scott Chandler","NE",13,74,6.6,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",19,75,6.56,NA,NA,39,1,0,1,10,0,NA,NA,NA,NA,NA,NA
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",20,76,6.54,NA,NA,51,1,0,1,5,0,NA,NA,NA,NA,NA,NA
"TEDGINN","WR","Ted Ginn Jr.","CAR",23,77,6.5,8,NA,NA,NA,NA,NA,NA,NA,4,45,0,0,0,NA
"HEATHMILLER","TE","Heath Miller","PIT",14,78,6,7,NA,NA,NA,NA,NA,NA,NA,4,40,0,NA,NA,0
"DARRENSPROLES","RB","Darren Sproles","PHI",22,79,5.9,6,NA,NA,NA,NA,3,0,0,5,34,0,0,0,NA
"MARKSANCHEZ","QB","Mark Sanchez","PHI",21,80,5.64,NA,NA,156,0,1,2,4,0,NA,NA,NA,NA,NA,NA
"DESEANJACKSON","WR","DeSean Jackson","WAS",24,81,5.4,5,NA,NA,NA,NA,NA,NA,NA,2,44,0,NA,NA,NA
"DEVINFUNCHESS","WR","Devin Funchess","CAR",25,82,5.1,2,NA,NA,NA,NA,NA,NA,NA,2,41,0,NA,NA,NA
"DUKEJOHNSON","RB","Duke Johnson Jr.","CLE",23,83,4.8,4,NA,NA,NA,NA,4,10,0,4,18,0,0,0,NA
"ERICEBRON","TE","Eric Ebron","DET",15,83,4.8,8,NA,NA,NA,NA,NA,NA,NA,4,28,0,NA,NA,NA
"JAYAJAYI","RB","Jay Ajayi","MIA",23,83,4.8,NA,NA,NA,NA,NA,6,48,0,NA,NA,NA,NA,NA,NA
"WESWELKER","WR","Wes Welker","STL",26,86,4.7,6,NA,NA,NA,NA,NA,NA,NA,3,32,0,NA,NA,NA
"NELSONAGHOLOR","WR","Nelson Agholor","PHI",26,86,4.7,4,NA,NA,NA,NA,NA,NA,NA,3,32,0,NA,NA,NA
"JOIQUEBELL","RB","Joique Bell","DET",25,88,4.5,3,NA,NA,NA,NA,14,17,0,2,18,0,NA,NA,NA
"JAREDCOOK","TE","Jared Cook","STL",16,88,4.5,3,NA,NA,NA,NA,NA,NA,NA,2,35,0,NA,NA,NA
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","NE",26,90,4.4,1,NA,NA,NA,NA,7,29,0,1,10,0,NA,NA,NA
"BRYANWALTERS","WR","Bryan Walters","JAX",28,90,4.4,5,NA,NA,NA,NA,NA,NA,NA,3,29,0,0,0,NA
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",29,92,4.3,3,NA,NA,NA,NA,NA,NA,NA,2,33,0,0,0,NA
"CJSPILLER","RB","C.J. Spiller","NO",27,93,4.2,2,NA,NA,NA,NA,9,22,0,2,10,0,0,0,0
"BRIANQUICK","WR","Brian Quick","STL",30,93,4.2,7,NA,NA,NA,NA,NA,NA,NA,1,37,0,NA,NA,NA
"CHARLESSIMS","RB","Charles Sims","TB",28,95,4.1,5,NA,NA,NA,NA,5,18,0,2,13,0,NA,NA,NA
"THEORIDDICK","RB","Theo Riddick","DET",28,95,4.1,3,NA,NA,NA,NA,3,1,0,3,25,0,NA,NA,NA
"HARRYDOUGLAS","WR","Harry Douglas","TEN",31,95,4.1,3,NA,NA,NA,NA,NA,NA,NA,3,26,0,NA,NA,NA
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",32,98,3.8,4,NA,NA,NA,NA,NA,NA,NA,3,23,0,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",33,99,3.7,5,NA,NA,NA,NA,NA,NA,NA,3,22,0,NA,NA,NA
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",34,100,3.6,5,NA,NA,NA,NA,NA,NA,NA,3,21,0,NA,NA,NA
"KADEEMCAREY","RB","Ka'Deem Carey","CHI",30,100,3.6,NA,NA,NA,NA,NA,14,56,0,NA,NA,NA,NA,NA,1
"TAYLORGABRIEL","WR","Taylor Gabriel","CLE",34,100,3.6,3,NA,NA,NA,NA,NA,NA,NA,2,26,0,NA,NA,NA
"BENJAMINWATSON","TE","Benjamin Watson","NO",17,103,3.4,5,NA,NA,NA,NA,NA,NA,NA,3,19,0,NA,NA,NA
"ROBERTWOODS","WR","Robert Woods","BUF",36,103,3.4,7,NA,0,0,0,0,0,0,3,19,0,0,0,0
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",18,105,3.3,3,NA,NA,NA,NA,NA,NA,NA,3,18,0,NA,NA,NA
"TAVONAUSTIN","WR","Tavon Austin","STL",37,105,3.3,4,NA,NA,NA,NA,3,18,0,2,5,0,0,0,NA
"JULIUSTHOMAS","TE","Julius Thomas","JAX",18,105,3.3,5,NA,NA,NA,NA,NA,NA,NA,2,23,0,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",31,108,3.2,NA,NA,NA,NA,NA,8,32,0,NA,NA,NA,NA,NA,NA
"TREMASON","RB","Tre Mason","STL",31,108,3.2,1,NA,NA,NA,NA,6,31,0,1,16,0,NA,NA,1
"SAMMYWATKINS","WR","Sammy Watkins","BUF",38,110,2.9,7,NA,0,0,0,0,0,0,3,14,0,0,0,0
"MARKUSWHEATON","WR","Markus Wheaton","PIT",39,111,2.8,2,NA,NA,NA,NA,NA,NA,NA,2,18,0,NA,NA,NA
"JAVORIUSALLEN","RB","Javorius Allen","BAL",33,111,2.8,2,NA,NA,NA,NA,5,19,0,1,4,0,NA,NA,NA
"MIKEWALLACE","WR","Mike Wallace","MIN",40,113,2.7,1,NA,NA,NA,NA,NA,NA,NA,1,22,0,NA,NA,NA
"AMEERABDULLAH","RB","Ameer Abdullah","DET",34,113,2.7,1,NA,NA,NA,NA,5,15,0,1,7,0,0,0,NA
"MIKETOLBERT","RB","Mike Tolbert","CAR",35,115,2.6,1,NA,NA,NA,NA,3,5,0,1,16,0,NA,NA,NA
"ANTHONYFASANO","TE","Anthony Fasano","TEN",20,116,2.4,4,NA,NA,NA,NA,NA,NA,NA,1,19,0,NA,NA,NA
"PIERREGARCON","WR","Pierre Garcon","WAS",41,117,2,2,NA,NA,NA,NA,NA,NA,NA,2,10,0,NA,NA,NA
"BRANDONCOLEMAN","WR","Brandon Coleman","NO",42,118,1.9,1,NA,NA,NA,NA,NA,NA,NA,1,14,0,NA,NA,NA
"BRANDONLAFELL","WR","Brandon LaFell","NE",43,119,1.7,1,NA,NA,NA,NA,NA,NA,NA,1,12,0,NA,NA,NA
"DANNYAMENDOLA","WR","Danny Amendola","NE",44,120,1.6,1,NA,NA,NA,NA,NA,NA,NA,1,11,0,NA,NA,NA
