"name","pos","name_actual","team_actual","positionRank_actual","overallRank_actual","pts_actual","passAtt_actual","passComp_actual","passYds_actual","passTds_actual","passInt_actual","rushAtt_actual","rushYds_actual","rushTds_actual","rec_actual","recYds_actual","recTds_actual","returnTds_actual","twoPts_actual","fumbles_actual"
"DEVINFUNCHESS","WR","Devin Funchess","CAR",1,1,14.6,3,NA,NA,NA,NA,NA,NA,NA,3,71,1,NA,NA,NA
"BRANDONBOLDEN","RB","Brandon Bolden","NE",1,2,11.4,4,NA,NA,NA,NA,1,12,0,3,27,1,NA,NA,NA
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",2,3,9.7,6,NA,NA,NA,NA,NA,NA,NA,3,82,0,NA,NA,NA
"KENNYBRITT","WR","Kenny Britt","STL",3,4,8.8,4,NA,NA,NA,NA,NA,NA,NA,2,78,0,NA,NA,NA
"JESSEJAMES","TE","Jesse James","PIT",1,5,8.3,2,NA,NA,NA,NA,NA,NA,NA,2,13,1,NA,NA,NA
"BRANDONCOLEMAN","WR","Brandon Coleman","NO",4,6,6.8,3,NA,NA,NA,NA,NA,NA,NA,2,58,0,NA,NA,NA
"MICHAELHOOMANAWANUI","TE","Michael Hoomanawanui","NO",2,7,6.6,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA
"KENBRELLTHOMPKINS","WR","Kenbrell Thompkins","NYJ",5,8,6.5,4,NA,NA,NA,NA,NA,NA,NA,4,45,0,NA,NA,NA
"SETHROBERTS","WR","Seth Roberts","OAK",6,9,6.4,3,NA,NA,NA,NA,NA,NA,NA,2,54,0,NA,NA,NA
"DANNYAMENDOLA","WR","Danny Amendola","NE",7,10,5.2,5,NA,NA,NA,NA,1,8,0,4,24,0,0,0,NA
"DWAYNEBOWE","WR","Dwayne Bowe","CLE",8,11,4.6,5,NA,0,0,0,0,0,0,3,31,0,0,0,0
"JAYAJAYI","RB","Jay Ajayi","MIA",2,12,4.1,NA,NA,NA,NA,NA,5,41,0,NA,NA,NA,NA,NA,NA
"ANDREROBERTS","WR","Andre Roberts","WAS",9,13,3.6,2,NA,NA,NA,NA,NA,NA,NA,2,26,0,0,0,NA
"CHARLESJOHNSON","WR","Charles Johnson","MIN",10,14,3,2,NA,NA,NA,NA,NA,NA,NA,1,25,0,NA,NA,NA
"STEDMANBAILEY","WR","Stedman Bailey","STL",11,15,2.3,2,NA,NA,NA,NA,NA,NA,NA,2,13,0,NA,NA,NA
"AARONRIPKOWSKI","RB","Aaron Ripkowski","GB",3,15,2.3,1,NA,NA,NA,NA,NA,NA,NA,1,18,0,NA,NA,NA
"JERICKMCKINNON","RB","Jerick McKinnon","MIN",4,17,2.1,2,NA,NA,NA,NA,0,0,0,2,11,0,NA,NA,NA
"JIMDRAY","TE","Jim Dray","CLE",3,18,1.8,1,NA,0,0,0,0,0,0,1,13,0,0,0,0
"JARIUSWRIGHT","WR","Jarius Wright","MIN",12,19,1.7,2,NA,NA,NA,NA,NA,NA,NA,1,12,0,NA,NA,NA
"MARCELREECE","RB","Marcel Reece","OAK",5,19,1.7,NA,NA,NA,NA,NA,2,17,0,NA,NA,NA,NA,NA,NA
"FOZZYWHITTAKER","RB","Fozzy Whittaker","CAR",6,21,1.3,NA,NA,NA,NA,NA,2,13,0,NA,NA,NA,NA,NA,NA
"REXBURKHEAD","RB","Rex Burkhead","CIN",7,22,1.2,1,NA,0,0,0,0,0,0,1,7,0,0,0,0
"MYCOLEPRUITT","TE","MyCole Pruitt","MIN",4,23,1.1,2,NA,NA,NA,NA,NA,NA,NA,1,6,0,NA,NA,NA
"EDDICKSON","TE","Ed Dickson","CAR",4,23,1.1,2,NA,NA,NA,NA,NA,NA,NA,1,6,0,NA,NA,NA
"RHETTELLISON","TE","Rhett Ellison","MIN",6,25,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,0,NA,NA,NA
"CRAIGSTEVENS","TE","Craig Stevens","TEN",7,26,0.6,2,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA
"MIKETOLBERT","RB","Mike Tolbert","CAR",8,27,0.5,NA,NA,NA,NA,NA,2,5,0,NA,NA,NA,NA,NA,NA
"BRIANQUICK","WR","Brian Quick","STL",13,28,0.4,2,NA,NA,NA,NA,NA,NA,NA,1,-1,0,NA,NA,NA
"TREMASON","RB","Tre Mason","STL",9,28,0.4,1,NA,NA,NA,NA,2,3,0,1,-4,0,NA,NA,NA
"SHAUNHILL","QB","Shaun Hill","MIN",1,30,0.36,NA,NA,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JORDANTODMAN","RB","Jordan Todman","PIT",10,31,0.3,1,NA,NA,NA,NA,1,3,0,0,0,0,NA,NA,NA
"DENARDROBINSON","RB","Denard Robinson","JAX",11,32,0.2,1,NA,NA,NA,NA,1,2,0,0,0,0,NA,NA,NA
"CASEKEENUM","QB","Case Keenum","STL",2,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COLTMCCOY","QB","Colt McCoy","WAS",2,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EJMANUEL","QB","EJ Manuel","BUF",2,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEREKANDERSON","QB","Derek Anderson","CAR",2,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GENOSMITH","QB","Geno Smith","NYJ",2,33,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHADHENNE","QB","Chad Henne","JAX",2,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTMOORE","QB","Matt Moore","MIA",2,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTMCGLOIN","QB","Matt McGloin","OAK",2,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LANDRYJONES","QB","Landry Jones","PIT",2,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GARRETTGRAYSON","QB","Garrett Grayson","NO",2,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUSTINDAVIS","QB","Austin Davis","CLE",2,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZACHMETTENBERGER","QB","Zach Mettenberger","TEN",2,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SCOTTTOLZIEN","QB","Scott Tolzien","GB",2,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JIMMYGAROPPOLO","QB","Jimmy Garoppolo","NE",2,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALONZOHARRIS","RB","Alonzo Harris","GB",12,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JEROMEFELTON","RB","Jerome Felton","BUF",12,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZACHLINE","RB","Zach Line","MIN",12,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOOBIEDIXON","RB","Boobie Dixon","BUF",12,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"ADAMTHIELEN","WR","Adam Thielen","MIN",14,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DARRELYOUNG","RB","Darrel Young","WAS",12,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RYANGRANT","WR","Ryan Grant","WAS",14,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOMMYBOHANON","RB","Tommy Bohanon","NYJ",12,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JALSTONFOWLER","RB","Jalston Fowler","TEN",12,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARONDOBSON","WR","Aaron Dobson","NE",14,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",14,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"JOHNKUHN","RB","John Kuhn","GB",12,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAMIENWILLIAMS","RB","Damien Williams","MIA",12,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"JEFFJANIS","WR","Jeff Janis","GB",14,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAMIZEOLAWALE","RB","Jamize Olawale","OAK",12,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEVANRIDLEY","RB","Stevan Ridley","NYJ",12,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BERNARDPIERCE","RB","Bernard Pierce","JAX",12,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WILLJOHNSON","RB","Will Johnson","PIT",12,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARCUSEASLEY","WR","Marcus Easley","BUF",14,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RICORICHARDSON","WR","Rico Richardson","TEN",14,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MALCOLMJOHNSONCLE","TE","Malcolm Johnson Cle","CLE",8,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
