displayName,team,xp,fg
Chandler Catanzaro,ARI,3.0,2.3
Stephen Gostkowski,NE,2.9,2.1
Josh Lambo,SD,2.8,2.0
Josh Brown,NYG,2.2,2.0
Chris Boswell,PIT,1.4,2.0
Dan Carpenter,BUF,2.2,1.9
Graham Gano,CAR,2.1,1.9
Greg Zuerlein,STL,2.1,1.9
Justin Tucker,BAL,2.0,1.9
Steven Hauschka,SEA,2.0,1.9
Nick Folk,NYJ,2.0,1.9
Dustin Hopkins,WAS,2.0,1.9
Matt Bryant,ATL,2.7,1.8
Cairo Santos,KC,2.0,1.8
Matt Prater,DET,2.0,1.8
Blair Walsh,MIN,1.9,1.8
Nick Novak,HOU,1.9,1.8
Phil Dawson,SF,1.2,1.8
Caleb Sturgis,PHI,2.0,1.7
Sebastian Janikowski,OAK,1.9,1.7
Kai Forbath,NO,1.9,1.7
Connor Barth,TB,1.4,1.7
Jason Myers,JAC,1.2,1.7
Andrew Franks,MIA,2.3,1.6
Adam Vinatieri,IND,2.9,1.4
Zach Hocker,NO,2.3,1.4
Travis Coons,CLE,1.9,1.3
Ryan Succop,TEN,2.7,1.2
Dan Bailey,DAL,2.0,1.2
Jordan Gay,BUF,0.0,0.0
Patrick Murray,TB,0.0,0.0
Mason Crosby,GB,0.0,0.0
Jay Feely,CHI,0.0,0.0
Robbie Gould,CHI,0.0,0.0
Garrett Hartley,PIT,0.0,0.0
Brandon McManus,DEN,0.0,0.0
Mike Nugent,CIN,0.0,0.0
Josh Scobee,PIT,0.0,0.0
Shaun Suisham,PIT,0.0,0.0
Billy Cundiff,CLE,0.0,0.0
