"name","pos","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","twoPts_ffn","fumbles_ffn"
"PEYTONMANNING","QB","Peyton Manning","DEN",0,0,0,39,25,347,2,0,NA,-1,0,NA,NA,NA,NA,NA,0
"MATTRYAN","QB","Matt Ryan","ATL",0,0,0,41,26,314,1,1,NA,5,0,NA,NA,NA,NA,NA,0
"ANDREWLUCK","QB","Andrew Luck","IND",0,0,0,43,28,306,2,1,NA,24,0,NA,NA,NA,NA,NA,0
"DREWBREES","QB","Drew Brees","NO",0,0,0,43,29,302,1,1,NA,0,0,NA,NA,NA,NA,NA,0
"AUSTINDAVIS","QB","Austin Davis","STL",0,0,0,40,24,282,1,1,NA,5,0,NA,NA,NA,NA,NA,0
"AARONRODGERS","QB","Aaron Rodgers","GB",0,0,0,33,23,281,2,0,NA,19,0,NA,NA,NA,NA,NA,0
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",0,0,0,38,24,280,1,0,NA,8,0,NA,NA,NA,NA,NA,0
"DEREKCARR","QB","Derek Carr","OAK",0,0,0,38,22,274,1,1,NA,9,0,NA,NA,NA,NA,NA,0
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",0,0,0,34,22,266,1,0,NA,7,0,NA,NA,NA,NA,NA,0
"BLAKEBORTLES","QB","Blake Bortles","JAC",0,0,0,40,25,264,1,1,NA,14,0,NA,NA,NA,NA,NA,0
"TOMBRADY","QB","Tom Brady","NE",0,0,0,34,24,261,2,0,NA,1,0,NA,NA,NA,NA,NA,0
"TONYROMO","QB","Tony Romo","DAL",0,0,0,36,24,259,1,1,NA,3,0,NA,NA,NA,NA,NA,0
"JAYCUTLER","QB","Jay Cutler","CHI",0,0,0,37,25,258,2,1,NA,17,0,NA,NA,NA,NA,NA,0
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",0,0,0,35,22,254,1,1,NA,13,0,NA,NA,NA,NA,NA,0
"KIRKCOUSINS","QB","Kirk Cousins","WAS",0,0,0,37,23,253,1,1,NA,9,0,NA,NA,NA,NA,NA,0
"ELIMANNING","QB","Eli Manning","NYG",0,0,0,36,22,244,1,1,NA,2,0,NA,NA,NA,NA,NA,0
"PHILIPRIVERS","QB","Philip Rivers","SD",0,0,0,33,22,240,2,0,NA,7,0,NA,NA,NA,NA,NA,0
"CHARLIEWHITEHURST","QB","Charlie Whitehurst","TEN",0,0,0,32,21,240,1,0,NA,5,0,NA,NA,NA,NA,NA,0
"ALEXSMITH","QB","Alex Smith","KC",0,0,0,32,21,239,1,0,NA,16,0,NA,NA,NA,NA,NA,0
"KYLEORTON","QB","Kyle Orton","BUF",0,0,0,35,23,239,1,0,NA,4,0,NA,NA,NA,NA,NA,0
"CARSONPALMER","QB","Carson Palmer","ARI",0,0,0,36,22,238,1,1,NA,2,0,NA,NA,NA,NA,NA,0
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",0,0,0,34,22,234,1,0,NA,37,0,NA,NA,NA,NA,NA,0
"JOEFLACCO","QB","Joe Flacco","BAL",0,0,0,33,23,231,1,0,NA,6,0,NA,NA,NA,NA,NA,0
"ANDYDALTON","QB","Andy Dalton","CIN",0,0,0,34,23,226,1,1,NA,9,0,NA,NA,NA,NA,NA,0
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",0,0,0,36,22,224,0,1,NA,15,0,NA,NA,NA,NA,NA,0
"BRIANHOYER","QB","Brian Hoyer","CLE",0,0,0,29,19,222,1,0,NA,2,0,NA,NA,NA,NA,NA,0
"CAMNEWTON","QB","Cam Newton","CAR",0,0,0,34,23,220,1,1,NA,39,0,NA,NA,NA,NA,NA,0
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",0,0,0,30,19,220,1,1,NA,12,0,NA,NA,NA,NA,NA,0
"GENOSMITH","QB","Geno Smith","NYJ",0,0,0,34,19,219,1,1,NA,20,0,NA,NA,NA,NA,NA,0
"RUSSELLWILSON","QB","Russell Wilson","SEA",0,0,0,25,17,210,1,0,NA,33,0,NA,NA,NA,NA,NA,0
"DAVIDGARRARD","QB","David Garrard","NYJ",0,0,0,35,22,101,0,0,NA,3,0,NA,NA,NA,NA,NA,0
"MICHAELVICK","QB","Michael Vick","NYJ",0,0,0,3,2,5,0,0,NA,2,0,NA,NA,NA,NA,NA,0
"DEREKANDERSON","QB","Derek Anderson","CAR",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"SHAUNHILL","QB","Shaun Hill","STL",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"JASONCAMPBELL","QB","Jason Campbell","CIN",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
