"name","pos","sourceName","name_yahoo","team_yahoo","positionRank","overallRank","points","passAtt","passYds","passTds","passInt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstSack","dstSafety","dstInt","dstFumlRec","dstBlk","dstTd","fg","fg2029","fg3039","fg4049","fg50"
"BLAKEBORTLES","QB","yahoo","Blake Bortles","JAC",25,32,"236.93",62.4,3694,17,16.6,374,1.3,0,0,0,0,0,0.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARSHAWNLYNCH","RB","yahoo","Marshawn Lynch","SEA",4,33,"236.82",286,0,0,0,1303,7.8,39,49.8,300,1.9,0,1.2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADRIANPETERSON","RB","yahoo","Adrian Peterson","MIN",5,34,"235.79",258,0,0,0,1197,8,47.1,59.2,391,1.6,0,0.2,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROBGRONKOWSKI","TE","yahoo","Rob Gronkowski","NE",1,35,"232.93",0,0,0,0,0,0,89.9,141,1147,12.2,0,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARIANFOSTER","RB","yahoo","Arian Foster","HOU",6,36,"232.23",262,0,0,0,1184,6.3,50.9,66.6,399,2.2,0,0.2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CJANDERSON","RB","yahoo","C.J. Anderson","DEN",7,37,"227.23",243,0,0,0,1042,7.5,55.1,72.3,433,1.4,0,0.2,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RANDALLCOBB","WR","yahoo","Randall Cobb","GB",5,38,"226.70",13.8,0,0,0,104,0.2,90.1,124,1175,8.8,0,0.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEVEONBELL","RB","yahoo","Le'Veon Bell","PIT",8,39,"226.16",234,0,0,0,991,5.3,61.7,79.6,495,2.7,0,0.2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NICKFOLES","QB","yahoo","Nick Foles","STL",26,40,"220.55",37,3506,18.3,11,156,2,0,0,0,0,0,0.5,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUSTINFORSETT","RB","yahoo","Justin Forsett","BAL",9,41,"220.27",245,0,0,0,1097,4.9,58.2,75.2,433,1.7,0,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARLOSHYDE","RB","yahoo","Carlos Hyde","SF",10,42,"218.74",278,0,0,0,1234,10.8,23.2,29,182,0.6,0,0.2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TYRODTAYLOR","QB","yahoo","Tyrod Taylor","BUF",27,43,"217.43",96.3,2888,17.6,15.3,414,2.4,0,0,0,0,0,0.5,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALVINJOHNSON","WR","yahoo","Calvin Johnson","DET",6,44,"216.50",0,0,0,0,0,0,80.8,139,1216,9.1,0,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEANDREHOPKINS","WR","yahoo","DeAndre Hopkins","HOU",7,45,"216.41",0,0,0,0,0,0,93.1,147,1300,6.6,0,1.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JEREMYHILL","RB","yahoo","Jeremy Hill","CIN",11,46,"215.93",285,0,0,0,1274,11.5,17.9,22.5,136,0.5,0,0.2,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EMMANUELSANDERS","WR","yahoo","Emmanuel Sanders","DEN",8,47,"213.90",8.5,0,0,0,56.1,0.2,89.2,136,1193,6.9,0.5,0.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMEERABDULLAH","RB","yahoo","Ameer Abdullah","DET",12,48,"213.16",175,0,0,0,848,5.3,62.4,77,522,2.2,0.4,0.2,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LESEANMCCOY","RB","yahoo","LeSean McCoy","BUF",13,49,"213.14",282,0,0,0,1192,6.2,41.3,51.6,315,1.3,0,0.2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JULIANEDELMAN","WR","yahoo","Julian Edelman","NE",9,50,"212.57",11.5,0,0,0,78.1,0.3,110,146,1122,6.4,0,0.2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMARCOMURRAY","RB","yahoo","DeMarco Murray","PHI",14,51,"209.29",228,0,0,0,1025,10.5,28.5,34.9,203,2,0,0.3,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AJGREEN","WR","yahoo","A.J. Green","CIN",10,52,"209.21",4.3,0,0,0,28.4,0.1,85.4,142,1204,7.4,0,0.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEENANALLEN","WR","yahoo","Keenan Allen","SD",11,53,"207.81",0,0,0,0,0,0,96.8,137,1270,5.4,0.2,0.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAMARMILLER","RB","yahoo","Lamar Miller","MIA",15,54,"207.33",261,0,0,0,1152,6,37.8,47.5,309,1.4,0,0.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEREKCARR","QB","yahoo","Derek Carr","OAK",28,55,"204.82",32.2,3706,16.4,12.7,100,0.6,0,0,0,0,0,0.5,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALSHONJEFFERY","WR","yahoo","Alshon Jeffery","CHI",12,56,"200.10",3.9,0,0,0,25.9,0.1,81.5,139,1154,7,0,0.2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JONATHANSTEWART","RB","yahoo","Jonathan Stewart","CAR",16,57,"197.86",272,0,0,0,1227,5.6,32.6,39.8,225,0.9,0,0.2,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARKINGRAM","RB","yahoo","Mark Ingram","NO",17,58,"195.42",196,0,0,0,803,8.1,44.6,53,376,1.4,0,0.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRANDINCOOKS","WR","yahoo","Brandin Cooks","NO",13,59,"193.04",12.4,0,0,0,79.3,0.3,81.9,121,1077,5.9,0,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JARVISLANDRY","WR","yahoo","Jarvis Landry","MIA",14,60,"192.59",8.5,0,0,0,63.5,0.2,94.8,142,965,5.1,2,0.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANNYWOODHEAD","RB","yahoo","Danny Woodhead","SD",18,61,"190.08",147,0,0,0,629,4.6,58.7,76.7,527,3.2,0,0.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRISIVORY","RB","yahoo","Chris Ivory","NYJ",19,62,"188.34",262,0,0,0,1131,7.8,21.2,27.8,155,0.9,0,0.2,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRANDONMARSHALL","WR","yahoo","Brandon Marshall","NYJ",15,63,"188.33",0,0,0,0,0,0,81.3,131,1012,7.9,0,0.2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIKEEVANS","WR","yahoo","Mike Evans","TB",16,64,"188.30",0,0,0,0,0,0,77.3,129,1158,5.7,0,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LATAVIUSMURRAY","RB","yahoo","Latavius Murray","OAK",20,65,"185.47",245,0,0,0,1067,5.5,35.9,43.6,260,0.7,0,0.2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TYHILTON","WR","yahoo","T.Y. Hilton","IND",17,66,"182.24",3.4,0,0,0,22.3,0.1,77.2,125,1039,6.5,0,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KIRKCOUSINS","QB","yahoo","Kirk Cousins","WAS",29,67,"181.03",17.7,3284,15.6,16.3,60.1,0.5,0,0,0,0,0,0.4,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JORDANMATTHEWS","WR","yahoo","Jordan Matthews","PHI",18,68,"180.06",0,0,0,0,0,0,87.3,137,935,7.2,0,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALFREDMORRIS","RB","yahoo","Alfred Morris","WAS",21,69,"179.79",261,0,0,0,1128,6.8,19.7,25,153,0.5,0,0.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRANKGORE","RB","yahoo","Frank Gore","IND",22,70,"179.68",216,0,0,0,875,5.4,40.5,51.8,313,1.7,0,0.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOLDENTATE","WR","yahoo","Golden Tate","DET",19,71,"178.07",3.7,0,0,0,24.7,0.1,82.9,128,1018,4.7,0.7,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIONLEWIS","RB","yahoo","Dion Lewis","NE",23,72,"176.94",142,0,0,0,616,4,58.4,77,488,2.4,0.3,0.2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TODDGURLEY","RB","yahoo","Todd Gurley","STL",24,73,"175.39",233,0,0,0,1066,6.3,23.2,28.5,185,0.7,0,0.2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRAVISKELCE","TE","yahoo","Travis Kelce","KC",2,74,"173.88",0,0,0,0,0,0,78.4,109,901,7.7,0,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JEREMYMACLIN","WR","yahoo","Jeremy Maclin","KC",20,75,"172.37",0,0,0,0,0,0,80.3,120,1029,4.9,0,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEVINCOLEMAN","RB","yahoo","Tevin Coleman","ATL",25,76,"171.65",230,0,0,0,968,7.6,21.1,28.1,169,0.8,0,0.2,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TJYELDON","RB","yahoo","T.J. Yeldon","JAC",26,77,"171.36",228,0,0,0,962,5.2,33.5,42.3,257,0.8,0,0.1,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEGARRETTEBLOUNT","RB","yahoo","LeGarrette Blount","NE",27,78,"167.62",225,0,0,0,991,9.7,8.4,11.1,64.9,0.4,0,0.2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RASHADJENNINGS","RB","yahoo","Rashad Jennings","NYG",28,79,"165.66",228,0,0,0,910,8.4,16.9,22.8,132,0.6,0,0.2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JASONWITTEN","TE","yahoo","Jason Witten","DAL",3,80,"165.04",0,0,0,0,0,0,71.5,96.8,802,8.2,0,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDREJOHNSON","WR","yahoo","Andre Johnson","IND",21,81,"164.51",0,0,0,0,0,0,70.3,118,833,7.9,0,0.2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RODDYWHITE","WR","yahoo","Roddy White","ATL",22,82,"164.11",0,0,0,0,0,0,73.6,113,962,5.5,0,0.1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOHNBROWN","WR","yahoo","John Brown","ARZ",23,83,"163.47",3.6,0,0,0,23.7,0.1,66.3,110,916,6,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LARRYFITZGERALD","WR","yahoo","Larry Fitzgerald","ARZ",24,84,"161.65",0,0,0,0,0,0,72.9,113,928,5.5,0,0.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RYANFITZPATRICK","QB","yahoo","Ryan Fitzpatrick","NYJ",30,85,"161.59",35.7,2347,15.5,10.8,136,1.2,0,0,0,0,0,0.4,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JIMMYGRAHAM","TE","yahoo","Jimmy Graham","SEA",4,86,"161.30",0,0,0,0,0,0,64.9,101,754,9.1,0,0.2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KENDALLWRIGHT","WR","yahoo","Kendall Wright","TEN",25,87,"160.57",3.7,0,0,0,24.7,0.1,76.9,113,899,5.1,0,0.1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISAIAHCROWELL","RB","yahoo","Isaiah Crowell","CLE",29,88,"160.23",257,0,0,0,1056,5.6,18.7,24.4,142,0.4,0,0.1,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TYLEREIFERT","TE","yahoo","Tyler Eifert","CIN",5,89,"159.97",0,0,0,0,0,0,72.2,102,841,6.7,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMARICOOPER","WR","yahoo","Amari Cooper","OAK",26,90,"159.16",3.4,0,0,0,22.3,0.1,77.1,127,942,4.1,0,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BISHOPSANKEY","RB","yahoo","Bishop Sankey","TEN",30,91,"158.65",192,0,0,0,834,6.1,24.7,33,181,1.6,0.2,0.1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOUGMARTIN","RB","yahoo","Doug Martin","TB",31,92,"158.03",243,0,0,0,975,4.7,23.8,29.6,185,0.5,0,0.1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAMESJONES","WR","yahoo","James Jones","GB",27,93,"157.84",0,0,0,0,0,0,56.2,83.1,818,8.2,0,0.2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CJSPILLER","RB","yahoo","C.J. Spiller","NO",32,94,"156.62",87.9,0,0,0,404,2.4,65.5,78.6,549,2.7,0.3,0.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEVESMITH","WR","yahoo","Steve Smith Sr.","BAL",28,95,"156.46",0,0,0,0,0,0,67.8,109,890,4.9,0.9,0.1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEATTLESEAHAWKS","DST","yahoo","Seattle Seahawks","SEA",1,96,"154.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,0.9,12.6,13.2,0.5,8,NA,NA,NA,NA,NA
"ANDREELLINGTON","RB","yahoo","Andre Ellington","ARZ",33,97,"154.41",151,0,0,0,603,4.7,43.3,57,391,1.5,0,0.1,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PIERREGARCON","WR","yahoo","Pierre Garcon","WAS",29,98,"154.35",0,0,0,0,0,0,74,117,943,3.9,0,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VINCENTJACKSON","WR","yahoo","Vincent Jackson","TB",30,99,"154.05",0,0,0,0,0,0,63.9,116,976,4.2,0,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAVANTEADAMS","WR","yahoo","Davante Adams","GB",31,100,"153.91",0,0,0,0,0,0,61.8,101,888,5.8,0,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALLENROBINSON","WR","yahoo","Allen Robinson","JAC",32,101,"153.30",0,0,0,0,0,0,70.4,121,953,3.9,0,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GIOVANIBERNARD","RB","yahoo","Giovani Bernard","CIN",34,102,"153.29",120,0,0,0,518,3.6,59,73.4,435,1.3,0,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERICDECKER","WR","yahoo","Eric Decker","NYJ",33,103,"153.21",0,0,0,0,0,0,65.6,103,867,5.6,0,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOSHMCCOWN","QB","yahoo","Josh McCown","CLE",31,104,"152.78",40.7,2715,9.8,12.1,209,1.6,0,0,0,0,0,0.3,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIKEWALLACE","WR","yahoo","Mike Wallace","MIN",34,105,"149.18",0,0,0,0,0,0,62.3,100,917,4.6,0,0.1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUFFALOBILLS","DST","yahoo","Buffalo Bills","BUF",2,106,"148.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.9,0.1,17.4,10.6,0.7,4,NA,NA,NA,NA,NA
"MELVINGORDON","RB","yahoo","Melvin Gordon","SD",35,107,"148.44",210,0,0,0,893,4,27,33.9,205,1,0,0.1,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARTELLUSBENNETT","TE","yahoo","Martellus Bennett","CHI",6,108,"147.55",0,0,0,0,0,0,72.1,106,782,5.6,0,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DARRENSPROLES","RB","yahoo","Darren Sproles","PHI",36,109,"147.50",85.6,0,0,0,421,2.5,56.8,73.8,483,1.6,1,0.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANQUANBOLDIN","WR","yahoo","Anquan Boldin","SF",35,110,"147.20",0,0,0,0,0,0,74.8,110,902,3.3,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTBRYANT","K","yahoo","Matt Bryant","ATL",1,111,"146.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8,8.5,7.6,10,4.1
"PHILDAWSON","K","yahoo","Phil Dawson","SF",2,112,"145.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3,9.8,9.5,8.7,4.9
"BRANDONCOLEMAN","WR","yahoo","Brandon Coleman","NO",36,113,"145.53",0,0,0,0,0,0,52.3,82.1,803,6.6,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOSEPHRANDLE","RB","yahoo","Joseph Randle","DAL",37,114,"143.58",199,0,0,0,861,5.7,16.9,20,155,0.7,0,0.2,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GREGOLSEN","TE","yahoo","Greg Olsen","CAR",7,115,"143.48",0,0,0,0,0,0,67.3,101,822,4.7,0,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEVONTAFREEMAN","RB","yahoo","Devonta Freeman","ATL",38,116,"141.58",132,0,0,0,510,3.8,41.7,50.9,405,1.4,0,0.1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEZBRYANT","WR","yahoo","Dez Bryant","DAL",37,117,"140.93",0,0,0,0,0,0,54.7,85.3,816,5.4,0,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOSHBROWN","K","yahoo","Josh Brown","NYG",3,118,"140.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7,7.8,10.6,6.9,3
"RYANMALLETT","QB","yahoo","Ryan Mallett","HOU",32,119,"139.95",17.8,2393,11.4,9.1,48,0.4,0,0,0,0,0,1.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JORDANREED","TE","yahoo","Jordan Reed","WAS",8,120,"139.93",0,0,0,0,0,0,71.3,107,735,5.2,0,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUSTINTUCKER","K","yahoo","Justin Tucker","BAL",4,121,"139.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,8,8.6,7.8,4.9
