"name","pos","name_espn","team_espn","positionRank_espn","overallRank_espn","pts_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushAtt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","returnTds_espn","twoPts_espn","fumbles_espn"
"TAIWANJONES","RB","Taiwan Jones","OAK",256,256,0.2,0,0,0,0,0,0.6,2.3,0,0.6,4.7,0,NA,NA,NA
"TJJONES","WR","TJ Jones","DET",256,256,0.2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BRUCEMILLER","RB","Bruce Miller","SF",276,276,0.1,0,0,0,0,0,0.3,0.8,0,0.5,4.1,0,NA,NA,NA
"DERRICKCOLEMAN","RB","Derrick Coleman","SEA",276,276,0.1,0,0,0,0,0,0.5,1.6,0,0.3,2.2,0,NA,NA,NA
"DRIARCHER","RB","Dri Archer","PIT",276,276,0.1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JAMIZEOLAWALE","RB","Jamize Olawale","OAK",276,276,0.1,0,0,0,0,0,0.4,1.3,0,0.3,2.5,0,NA,NA,NA
"JAYPROSCH","RB","Jay Prosch","HOU",276,276,0.1,0,0,0,0,0,0.3,0.9,0,0,0,0,NA,NA,NA
"JEROMEFELTON","RB","Jerome Felton","BUF",276,276,0.1,0,0,0,0,0,0,0,0,0.2,1.6,0,NA,NA,NA
"JORVORSKIELANE","RB","Jorvorskie Lane","TB",276,276,0.1,0,0,0,0,0,0.5,1.7,0,0.1,1,0,NA,NA,NA
"JUWANTHOMPSON","RB","Juwan Thompson","DEN",276,276,0.1,0,0,0,0,0,0.5,2,0,0,0,0,NA,NA,NA
"KENJONBARNER","RB","Kenjon Barner","PHI",276,276,0.1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"REXBURKHEAD","RB","Rex Burkhead","CIN",276,276,0.1,0,0,0,0,0,0,0,0,0.7,5.3,0,NA,NA,NA
"RICARDOLOCKETTE","WR","Ricardo Lockette","SEA",276,276,0.1,0,0,0,0,0,0,0,0,0.4,5.2,0,NA,NA,NA
"RUSSELLSHEPARD","WR","Russell Shepard","TB",276,276,0.1,0,0,0,0,0,0,0,0,0.3,4.7,0,NA,NA,NA
"SHAUNDRAUGHN","RB","Shaun Draughn","CLE",276,276,0.1,0,0,0,0,0,0.5,1.7,0,0.5,3.8,0,NA,NA,NA
"STEVESMITH","WR","Steve Smith Sr.","BAL",276,276,0.1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"TYLERCLUTTS","RB","Tyler Clutts","DAL",276,276,0.1,0,0,0,0,0,0,0,0,0.2,2.1,0,NA,NA,NA
"WILLJOHNSON","RB","Will Johnson","PIT",276,276,0.1,0,0,0,0,0,0.1,0.4,0,0.1,1,0,NA,NA,NA
