"name","pos","rank_fftoday","fg_made_fftoday","fg_missed_fftoday","xp_made_fftoday","xp_missed_fftoday","ffpts_fftoday"
"STEPHENGOSTKOWSKI","K",1,3,0,3,0,12
"MATTBRYANT","K",2,3,0,2,0,11
"PHILDAWSON","K",2,3,0,2,0,11
"SHAUNSUISHAM","K",2,3,0,2,0,11
"DANBAILEY","K",5,2,0,3,0,9
"CHANDLERCATANZARO","K",5,2,0,3,0,9
"KAIFORBATH","K",5,2,0,3,0,9
"ROBBIEGOULD","K",5,2,0,3,0,9
"STEVEHAUSCHKA","K",5,2,0,3,0,9
"BRANDONMCMANUS","K",5,2,0,3,0,9
"NICKNOVAK","K",5,2,0,3,0,9
"JUSTINTUCKER","K",5,2,0,3,0,9
"ADAMVINATIERI","K",5,2,0,3,0,9
"RANDYBULLOCK","K",14,2,0,2,0,8
"SEBASTIANJANIKOWSKI","K",14,2,0,2,0,8
"MIKENUGENT","K",14,2,0,2,0,8
"MATTPRATER","K",14,2,0,2,0,8
"CAIROSANTOS","K",14,2,0,2,0,8
"CALEBSTURGIS","K",14,2,0,2,0,8
"MASONCROSBY","K",20,1,0,4,0,7
"JOSHSCOBEE","K",20,2,0,1,0,7
"BLAIRWALSH","K",20,2,0,1,0,7
"DANCARPENTER","K",23,1,0,3,0,6
"GRAHAMGANO","K",23,1,0,3,0,6
"SHAYNEGRAHAM","K",23,1,0,3,0,6
"RYANSUCCOP","K",23,1,0,3,0,6
"JOSHBROWN","K",27,1,0,2,0,5
"NICKFOLK","K",27,1,0,2,0,5
