"name","pos","rank_fftoday","fg_made_fftoday","fg_missed_fftoday","xp_made_fftoday","xp_missed_fftoday","ffpts_fftoday"
"MASONCROSBY","K",1,3,0,3,0,12
"STEPHENGOSTKOWSKI","K",1,3,0,3,0,12
"CODYPARKEY","K",1,3,0,3,0,12
"PHILDAWSON","K",4,3,0,2,0,11
"BLAIRWALSH","K",4,3,0,2,0,11
"KAIFORBATH","K",6,2,0,3,0,9
"STEVEHAUSCHKA","K",6,2,0,3,0,9
"NICKNOVAK","K",6,2,0,3,0,9
"RANDYBULLOCK","K",9,2,0,2,0,8
"NICKFOLK","K",9,2,0,2,0,8
"ROBBIEGOULD","K",9,2,0,2,0,8
"SEBASTIANJANIKOWSKI","K",9,2,0,2,0,8
"JUSTINTUCKER","K",9,2,0,2,0,8
"GREGZUERLEIN","K",9,2,0,2,0,8
"SHAYNEGRAHAM","K",15,1,0,4,0,7
"ADAMVINATIERI","K",15,1,0,4,0,7
"DANBAILEY","K",17,1,0,3,0,6
"JOSHBROWN","K",17,1,0,3,0,6
"MATTBRYANT","K",17,1,0,3,0,6
"DANCARPENTER","K",17,1,0,3,0,6
"GRAHAMGANO","K",17,1,0,3,0,6
"BRANDONMCMANUS","K",17,1,0,3,0,6
"MIKENUGENT","K",17,1,0,3,0,6
"CALEBSTURGIS","K",17,1,0,3,0,6
"CHANDLERCATANZARO","K",25,1,0,2,0,5
"PATRICKMURRAY","K",25,1,0,2,0,5
"CAIROSANTOS","K",25,1,0,2,0,5
"JOSHSCOBEE","K",25,1,0,2,0,5
"RYANSUCCOP","K",25,1,0,2,0,5
