"name","pos","rank_fftoday","fg_made_fftoday","fg_missed_fftoday","xp_made_fftoday","xp_missed_fftoday","ffpts_fftoday"
"CONNORBARTH","K",1,3,0,3,0,12
"SHAYNEGRAHAM","K",1,3,0,3,0,12
"GRAHAMGANO","K",3,3,0,2,0,11
"RYANSUCCOP","K",3,3,0,2,0,11
"DANBAILEY","K",5,2,0,3,0,9
"MASONCROSBY","K",5,2,0,3,0,9
"STEPHENGOSTKOWSKI","K",5,2,0,3,0,9
"STEVEHAUSCHKA","K",5,2,0,3,0,9
"SHAUNSUISHAM","K",5,2,0,3,0,9
"JUSTINTUCKER","K",5,2,0,3,0,9
"ADAMVINATIERI","K",5,2,0,3,0,9
"DANCARPENTER","K",12,2,0,2,0,8
"KAIFORBATH","K",12,2,0,2,0,8
"SEBASTIANJANIKOWSKI","K",12,2,0,2,0,8
"NICKNOVAK","K",12,2,0,2,0,8
"MIKENUGENT","K",12,2,0,2,0,8
"GREGZUERLEIN","K",12,2,0,2,0,8
"CODYPARKEY","K",18,1,0,4,0,7
"JOSHSCOBEE","K",18,2,0,1,0,7
"JOSHBROWN","K",20,1,0,3,0,6
"MATTBRYANT","K",20,1,0,3,0,6
"NICKFOLK","K",20,1,0,3,0,6
"ROBBIEGOULD","K",20,1,0,3,0,6
"GARRETTHARTLEY","K",20,1,0,3,0,6
"MATTPRATER","K",20,1,0,3,0,6
"CAIROSANTOS","K",20,1,0,3,0,6
"RANDYBULLOCK","K",27,1,0,2,0,5
"CHANDLERCATANZARO","K",27,1,0,2,0,5
"PHILDAWSON","K",27,1,0,2,0,5
"PATRICKMURRAY","K",27,1,0,2,0,5
"CALEBSTURGIS","K",27,1,0,2,0,5
