"name","pos","rank_fftoday","fg_made_fftoday","fg_missed_fftoday","xp_made_fftoday","xp_missed_fftoday","ffpts_fftoday"
"DANBAILEY","K",1,3,0,3,0,12
"MASONCROSBY","K",1,3,0,3,0,12
"GRAHAMGANO","K",3,3,0,2,0,11
"SHAYNEGRAHAM","K",3,3,0,2,0,11
"NICKNOVAK","K",3,3,0,2,0,11
"ADAMVINATIERI","K",6,2,0,4,0,10
"JOSHBROWN","K",7,2,0,3,0,9
"STEPHENGOSTKOWSKI","K",7,2,0,3,0,9
"CODYPARKEY","K",7,2,0,3,0,9
"MATTPRATER","K",7,2,0,3,0,9
"CALEBSTURGIS","K",7,2,0,3,0,9
"SHAUNSUISHAM","K",7,2,0,3,0,9
"GREGZUERLEIN","K",7,2,0,3,0,9
"MATTBRYANT","K",14,2,0,2,0,8
"STEVEHAUSCHKA","K",14,2,0,2,0,8
"PATRICKMURRAY","K",14,2,0,2,0,8
"CONNORBARTH","K",17,1,0,4,0,7
"JOSHSCOBEE","K",17,2,0,1,0,7
"RANDYBULLOCK","K",19,1,0,3,0,6
"DANCARPENTER","K",19,1,0,3,0,6
"CHANDLERCATANZARO","K",19,1,0,3,0,6
"PHILDAWSON","K",19,1,0,3,0,6
"KAIFORBATH","K",19,1,0,3,0,6
"ROBBIEGOULD","K",19,1,0,3,0,6
"MIKENUGENT","K",19,1,0,3,0,6
"CAIROSANTOS","K",19,1,0,3,0,6
"JUSTINTUCKER","K",19,1,0,3,0,6
"SEBASTIANJANIKOWSKI","K",28,1,0,2,0,5
"RYANSUCCOP","K",28,1,0,2,0,5
"BLAIRWALSH","K",28,1,0,2,0,5
