"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"AARONRODGERS","QB","Aaron Rodgers","GB",1,1,27.8,36,23,285,3,0,3,15,0,NA,NA,NA,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","DEN",2,2,27.5,36,26,310,3,0,0,0,0,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",3,3,25.8,39,24,275,3,0,0,0,0,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",4,4,23.3,39,25,275,2,0,4,15,0,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",5,5,23,34,20,250,2,0,4,25,0,NA,NA,NA,NA,NA,NA
"MARKSANCHEZ","QB","Mark Sanchez","PHI",5,5,23,38,25,280,2,1,7,10,0,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",5,5,23,28,16,220,2,0,10,40,0,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",8,8,22.8,38,25,295,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",8,8,22.8,33,21,245,2,1,5,25,0,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",10,10,22.3,37,25,285,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"DEREKCARR","QB","Derek Carr","OAK",11,11,22,35,22,270,2,1,1,5,0,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",12,12,21.8,34,20,265,2,0,1,5,0,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",12,12,21.8,37,23,275,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","ARI",14,14,21.3,38,23,265,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",15,15,21,36,21,240,2,0,8,10,0,NA,NA,NA,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",1,16,20.5,NA,NA,NA,NA,NA,28,125,1,2,20,0,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",16,17,20,36,21,240,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"KYLEORTON","QB","Kyle Orton","BUF",16,17,20,30,18,230,2,1,1,5,0,NA,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",18,19,19.5,32,19,240,1,1,7,35,0,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",19,20,19.3,28,19,225,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"MICHAELVICK","QB","Michael Vick","NYJ",19,20,19.3,32,20,245,1,1,7,30,0,NA,NA,NA,NA,NA,NA
"BLAKEBORTLES","QB","Blake Bortles","JAC",21,22,18.3,34,20,235,1,1,4,25,0,NA,NA,NA,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",22,23,18,33,20,230,1,0,6,25,0,NA,NA,NA,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",2,24,17.5,NA,NA,NA,NA,NA,17,70,1,6,45,0,NA,NA,NA
"BRIANHOYER","QB","Brian Hoyer","CLE",23,25,17.3,34,21,255,1,1,2,5,0,NA,NA,NA,NA,NA,NA
"ZACHMETTENBERGER","QB","Zach Mettenberger","TEN",23,25,17.3,38,24,255,1,1,2,5,0,NA,NA,NA,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",3,27,17,NA,NA,NA,NA,NA,17,70,0,6,40,1,NA,NA,NA
"ANDREELLINGTON","RB","Andre Ellington","ARI",3,27,17,NA,NA,NA,NA,NA,21,80,1,4,30,0,NA,NA,NA
"JUSTINFORSETT","RB","Justin Forsett","BAL",3,27,17,NA,NA,NA,NA,NA,20,85,1,4,25,0,NA,NA,NA
"JEREMYHILL","RB","Jeremy Hill","CIN",3,27,17,NA,NA,NA,NA,NA,23,90,1,4,20,0,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","PHI",3,27,17,NA,NA,NA,NA,NA,20,90,1,3,20,0,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",1,27,17,NA,NA,NA,NA,NA,NA,NA,NA,9,110,1,NA,NA,NA
"JOSHMCCOWN","QB","Josh McCown","TB",25,33,16.8,32,20,245,1,1,1,5,0,NA,NA,NA,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",8,34,16.5,NA,NA,NA,NA,NA,18,80,1,4,25,0,NA,NA,NA
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",2,34,16.5,NA,NA,NA,NA,NA,NA,NA,NA,7,105,1,NA,NA,NA
"BOBBYRAINEY","RB","Bobby Rainey","TB",9,36,16,NA,NA,NA,NA,NA,19,75,1,3,25,0,NA,NA,NA
"JORDYNELSON","WR","Jordy Nelson","GB",3,36,16,NA,NA,NA,NA,NA,NA,NA,NA,8,100,1,NA,NA,NA
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",10,38,15.5,NA,NA,NA,NA,NA,19,75,1,3,20,0,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",10,38,15.5,NA,NA,NA,NA,NA,20,80,1,2,15,0,NA,NA,NA
"JULIOJONES","WR","Julio Jones","ATL",4,38,15.5,NA,NA,NA,NA,NA,NA,NA,NA,7,95,1,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",5,41,15,NA,NA,NA,NA,NA,NA,NA,NA,6,90,1,NA,NA,NA
"MARKINGRAM","RB","Mark Ingram","NO",12,42,14.5,NA,NA,NA,NA,NA,18,70,1,2,15,0,NA,NA,NA
"EDDIELACY","RB","Eddie Lacy","GB",12,42,14.5,NA,NA,NA,NA,NA,16,65,1,3,20,0,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",6,42,14.5,NA,NA,NA,NA,NA,NA,NA,NA,6,85,1,NA,NA,NA
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",6,42,14.5,NA,NA,NA,NA,NA,NA,NA,NA,6,85,1,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",6,42,14.5,NA,NA,NA,NA,NA,NA,NA,NA,6,85,1,NA,NA,NA
"LAMARMILLER","RB","Lamar Miller","MIA",14,47,14,NA,NA,NA,NA,NA,16,65,1,2,15,0,NA,NA,NA
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",9,48,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","SF",9,48,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
"DEZBRYANT","WR","Dez Bryant","DAL",9,48,13.5,NA,NA,NA,NA,NA,NA,NA,NA,5,75,1,NA,NA,NA
"AJGREEN","WR","A.J. Green","CIN",9,48,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
"JIMMYGRAHAM","TE","Jimmy Graham","NO",1,48,13.5,NA,NA,NA,NA,NA,NA,NA,NA,7,75,1,NA,NA,NA
"CHRISIVORY","RB","Chris Ivory","NYJ",15,53,13,NA,NA,NA,NA,NA,14,60,1,1,10,0,NA,NA,NA
"ODELLBECKHAM","WR","Odell Beckham Jr.","NYG",13,53,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"RANDALLCOBB","WR","Randall Cobb","GB",13,53,13,NA,NA,NA,NA,NA,NA,NA,NA,6,70,1,NA,NA,NA
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",13,53,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",13,53,13,NA,NA,NA,NA,NA,NA,NA,NA,6,70,1,NA,NA,NA
"STEVESMITH","WR","Steve Smith","BAL",13,53,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"GOLDENTATE","WR","Golden Tate","DET",13,53,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"MIKEWALLACE","WR","Mike Wallace","MIA",13,53,13,NA,NA,NA,NA,NA,NA,NA,NA,6,70,1,NA,NA,NA
"SAMMYWATKINS","WR","Sammy Watkins","BUF",13,53,13,NA,NA,NA,NA,NA,NA,NA,NA,6,70,1,NA,NA,NA
"RODDYWHITE","WR","Roddy White","ATL",13,53,13,NA,NA,NA,NA,NA,NA,NA,NA,6,70,1,NA,NA,NA
"DOUGBALDWIN","WR","Doug Baldwin","SEA",22,63,12.5,NA,NA,NA,NA,NA,NA,NA,NA,4,65,1,NA,NA,NA
"ERICDECKER","WR","Eric Decker","NYJ",22,63,12.5,NA,NA,NA,NA,NA,NA,NA,NA,4,65,1,NA,NA,NA
"MIKEEVANS","WR","Mike Evans","TB",22,63,12.5,NA,NA,NA,NA,NA,NA,NA,NA,6,65,1,NA,NA,NA
"ALLENROBINSON","WR","Allen Robinson","JAC",22,63,12.5,NA,NA,NA,NA,NA,NA,NA,NA,5,65,1,NA,NA,NA
"JAMESJONES","WR","James Jones","OAK",26,67,12,NA,NA,NA,NA,NA,NA,NA,NA,4,60,1,NA,NA,NA
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",26,67,12,NA,NA,NA,NA,NA,NA,NA,NA,5,60,1,NA,NA,NA
"LARRYDONNELL","TE","Larry Donnell","NYG",2,67,12,NA,NA,NA,NA,NA,NA,NA,NA,6,60,1,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",2,67,12,NA,NA,NA,NA,NA,NA,NA,NA,6,60,1,NA,NA,NA
"STEVENJACKSON","RB","Steven Jackson","ATL",16,71,11.5,NA,NA,NA,NA,NA,13,50,1,1,5,0,NA,NA,NA
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",28,71,11.5,NA,NA,NA,NA,NA,NA,NA,NA,4,55,1,NA,NA,NA
"OWENDANIELS","TE","Owen Daniels","BAL",4,71,11.5,NA,NA,NA,NA,NA,NA,NA,NA,5,55,1,NA,NA,NA
"TRAVISKELCE","TE","Travis Kelce","KC",4,71,11.5,NA,NA,NA,NA,NA,NA,NA,NA,6,55,1,NA,NA,NA
"VERNONDAVIS","TE","Vernon Davis","SF",6,75,11,NA,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
"MYCHALRIVERA","TE","Mychal Rivera","OAK",6,75,11,NA,NA,NA,NA,NA,NA,NA,NA,4,50,1,NA,NA,NA
"JULIUSTHOMAS","TE","Julius Thomas","DEN",6,75,11,NA,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
"DELANIEWALKER","TE","Delanie Walker","TEN",6,75,11,NA,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
"MARTAVISBRYANT","WR","Martavis Bryant","PIT",29,79,10.5,NA,NA,NA,NA,NA,NA,NA,NA,3,45,1,NA,NA,NA
"DENARDROBINSON","RB","Denard Robinson","JAC",17,80,8,NA,NA,NA,NA,NA,17,70,0,1,10,0,NA,NA,NA
"FRANKGORE","RB","Frank Gore","SF",18,81,7.5,NA,NA,NA,NA,NA,15,65,0,1,10,0,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",19,82,7,NA,NA,NA,NA,NA,12,50,0,3,20,0,NA,NA,NA
"REGGIEBUSH","RB","Reggie Bush","DET",20,83,6.5,NA,NA,NA,NA,NA,10,40,0,3,25,0,NA,NA,NA
"DARRENMCFADDEN","RB","Darren McFadden","OAK",20,83,6.5,NA,NA,NA,NA,NA,10,40,0,4,25,0,NA,NA,NA
"PERCYHARVIN","WR","Percy Harvin","NYJ",30,83,6.5,NA,NA,NA,NA,NA,NA,NA,NA,7,65,0,NA,NA,NA
"VINCENTJACKSON","WR","Vincent Jackson","TB",30,83,6.5,NA,NA,NA,NA,NA,NA,NA,NA,5,65,0,NA,NA,NA
"TERRANCEWEST","RB","Terrance West","CLE",22,87,6,NA,NA,NA,NA,NA,14,55,0,1,5,0,NA,NA,NA
"DWAYNEBOWE","WR","Dwayne Bowe","KC",32,87,6,NA,NA,NA,NA,NA,NA,NA,NA,4,60,0,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",32,87,6,NA,NA,NA,NA,NA,NA,NA,NA,5,60,0,NA,NA,NA
"MICHAELCRABTREE","WR","Michael Crabtree","SF",32,87,6,NA,NA,NA,NA,NA,NA,NA,NA,4,60,0,NA,NA,NA
"ANDREHOLMES","WR","Andre Holmes","OAK",32,87,6,NA,NA,NA,NA,NA,NA,NA,NA,5,60,0,NA,NA,NA
"RUEBENRANDLE","WR","Rueben Randle","NYG",32,87,6,NA,NA,NA,NA,NA,NA,NA,NA,5,60,0,NA,NA,NA
"TORREYSMITH","WR","Torrey Smith","BAL",32,87,6,NA,NA,NA,NA,NA,NA,NA,NA,5,60,0,NA,NA,NA
"KENDALLWRIGHT","WR","Kendall Wright","TEN",32,87,6,NA,NA,NA,NA,NA,NA,NA,NA,4,60,0,NA,NA,NA
"JOIQUEBELL","RB","Joique Bell","DET",23,95,5.5,NA,NA,NA,NA,NA,9,35,0,3,20,0,NA,NA,NA
"TREMASON","RB","Tre Mason","STL",23,95,5.5,NA,NA,NA,NA,NA,9,45,0,1,10,0,NA,NA,NA
"BISHOPSANKEY","RB","Bishop Sankey","TEN",23,95,5.5,NA,NA,NA,NA,NA,13,55,0,0,0,0,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",23,95,5.5,NA,NA,NA,NA,NA,11,40,0,2,15,0,NA,NA,NA
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",23,95,5.5,NA,NA,NA,NA,NA,13,45,0,1,10,0,NA,NA,NA
"KENNYBRITT","WR","Kenny Britt","STL",39,95,5.5,NA,NA,NA,NA,NA,NA,NA,NA,4,55,0,NA,NA,NA
"MICHAELFLOYD","WR","Michael Floyd","ARI",39,95,5.5,NA,NA,NA,NA,NA,NA,NA,NA,4,55,0,NA,NA,NA
"CHRISJOHNSON","RB","Chris Johnson","NYJ",28,102,5,NA,NA,NA,NA,NA,9,35,0,2,15,0,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","PHI",28,102,5,NA,NA,NA,NA,NA,5,20,0,5,30,0,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",41,102,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"JUSTINHUNTER","WR","Justin Hunter","TEN",41,102,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"CECILSHORTS","WR","Cecil Shorts","JAC",41,102,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"KENNYSTILLS","WR","Kenny Stills","NO",41,102,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",10,102,5,NA,NA,NA,NA,NA,NA,NA,NA,5,50,0,NA,NA,NA
"ANTHONYDIXON","RB","Anthony Dixon","BUF",30,109,4.5,NA,NA,NA,NA,NA,9,35,0,1,10,0,NA,NA,NA
"ANDREWILLIAMS","RB","Andre Williams","NYG",30,109,4.5,NA,NA,NA,NA,NA,11,45,0,0,0,0,NA,NA,NA
"MILESAUSTIN","WR","Miles Austin","CLE",45,109,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4,45,0,NA,NA,NA
"JOHNBROWN","WR","John Brown","ARI",45,109,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4,45,0,NA,NA,NA
"JARVISLANDRY","WR","Jarvis Landry","MIA",45,109,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4,45,0,NA,NA,NA
"SCOTTCHANDLER","TE","Scott Chandler","BUF",11,109,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4,45,0,NA,NA,NA
"CHARLESCLAY","TE","Charles Clay","MIA",11,109,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4,45,0,NA,NA,NA
"JAREDCOOK","TE","Jared Cook","STL",11,109,4.5,NA,NA,NA,NA,NA,NA,NA,NA,5,45,0,NA,NA,NA
"JASONWITTEN","TE","Jason Witten","DAL",11,109,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4,45,0,NA,NA,NA
"BENNYCUNNINGHAM","RB","Benny Cunningham","STL",32,118,4,NA,NA,NA,NA,NA,5,20,0,3,20,0,NA,NA,NA
"TOBYGERHART","RB","Toby Gerhart","JAC",32,118,4,NA,NA,NA,NA,NA,8,25,0,2,15,0,NA,NA,NA
"PEYTONHILLIS","RB","Peyton Hillis","NYG",32,118,4,NA,NA,NA,NA,NA,6,25,0,2,15,0,NA,NA,NA
"DAVANTEADAMS","WR","Davante Adams","GB",48,118,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"RILEYCOOPER","WR","Riley Cooper","PHI",48,118,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"HARRYDOUGLAS","WR","Harry Douglas","ATL",48,118,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"ALLENHURNS","WR","Allen Hurns","JAC",48,118,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",48,118,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",48,118,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"LOUISMURPHY","WR","Louis Murphy","TB",48,118,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"MARKUSWHEATON","WR","Markus Wheaton","PIT",48,118,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"ROBERTWOODS","WR","Robert Woods","BUF",48,118,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"ZACHERTZ","TE","Zach Ertz","PHI",15,118,4,NA,NA,NA,NA,NA,NA,NA,NA,4,40,0,NA,NA,NA
"CLAYHARBOR","TE","Clay Harbor","JAC",15,118,4,NA,NA,NA,NA,NA,NA,NA,NA,4,40,0,NA,NA,NA
"AUSTINSEFERIANJENKINS","TE","Austin Seferian-Jenkins","TB",15,118,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"ROBERTTURBIN","RB","Robert Turbin","SEA",35,133,3.5,NA,NA,NA,NA,NA,4,20,0,2,15,0,NA,NA,NA
"TAYLORGABRIEL","WR","Taylor Gabriel","CLE",57,133,3.5,NA,NA,NA,NA,NA,NA,NA,NA,3,35,0,NA,NA,NA
"STEVEJOHNSON","WR","Steve Johnson","SF",57,133,3.5,NA,NA,NA,NA,NA,NA,NA,NA,3,35,0,NA,NA,NA
"NATEWASHINGTON","WR","Nate Washington","TEN",57,133,3.5,NA,NA,NA,NA,NA,NA,NA,NA,3,35,0,NA,NA,NA
"JACEAMARO","TE","Jace Amaro","NYJ",18,133,3.5,NA,NA,NA,NA,NA,NA,NA,NA,3,35,0,NA,NA,NA
"JERMAINEGRESHAM","TE","Jermaine Gresham","CIN",18,133,3.5,NA,NA,NA,NA,NA,NA,NA,NA,4,35,0,NA,NA,NA
"HEATHMILLER","TE","Heath Miller","PIT",18,133,3.5,NA,NA,NA,NA,NA,NA,NA,NA,3,35,0,NA,NA,NA
"TRAVARISCADET","RB","Travaris Cadet","NO",36,140,3,NA,NA,NA,NA,NA,1,5,0,3,25,0,NA,NA,NA
"KNILEDAVIS","RB","Knile Davis","KC",36,140,3,NA,NA,NA,NA,NA,6,25,0,1,5,0,NA,NA,NA
"DEXTERMCCLUSTER","RB","Dexter McCluster","TEN",36,140,3,NA,NA,NA,NA,NA,4,15,0,2,15,0,NA,NA,NA
"ANTONESMITH","RB","Antone Smith","ATL",36,140,3,NA,NA,NA,NA,NA,3,15,0,1,15,0,NA,NA,NA
"JAMESSTARKS","RB","James Starks","GB",36,140,3,NA,NA,NA,NA,NA,6,25,0,1,5,0,NA,NA,NA
"TAVONAUSTIN","WR","Tavon Austin","STL",60,140,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"STEDMANBAILEY","WR","Stedman Bailey","STL",60,140,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"TRAVISBENJAMIN","WR","Travis Benjamin","CLE",60,140,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"COREYFULLER","WR","Corey Fuller","DET",60,140,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"BRIANHARTLINE","WR","Brian Hartline","MIA",60,140,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",60,140,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"PAULRICHARDSON","WR","Paul Richardson","SEA",60,140,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"LUKEWILLSON","TE","Luke Willson","SEA",21,140,3,NA,NA,NA,NA,NA,NA,NA,NA,3,30,0,NA,NA,NA
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",41,153,2.5,NA,NA,NA,NA,NA,4,15,0,1,10,0,NA,NA,NA
"CARLOSHYDE","RB","Carlos Hyde","SF",41,153,2.5,NA,NA,NA,NA,NA,6,25,0,0,0,0,NA,NA,NA
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",41,153,2.5,NA,NA,NA,NA,NA,5,20,0,1,5,0,NA,NA,NA
"LORENZOTALIAFERRO","RB","Lorenzo Taliaferro","BAL",41,153,2.5,NA,NA,NA,NA,NA,5,20,0,1,5,0,NA,NA,NA
"DEANTHONYTHOMAS","RB","De'Anthony Thomas","KC",41,153,2.5,NA,NA,NA,NA,NA,2,10,0,2,15,0,NA,NA,NA
"AJJENKINS","WR","A.J. Jenkins","KC",67,153,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2,25,0,NA,NA,NA
"WESWELKER","WR","Wes Welker","DEN",67,153,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2,25,0,NA,NA,NA
"JOHNCARLSON","TE","John Carlson","ARI",22,153,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2,25,0,NA,NA,NA
"ANTHONYFASANO","TE","Anthony Fasano","KC",22,153,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2,25,0,NA,NA,NA
