"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"AARONRODGERS","QB","Aaron Rodgers","GB",1,1,30,41,27,330,3,0,3,15,0,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",2,2,27.5,44,27,310,3,0,0,0,0,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",3,3,26,28,16,220,1,0,10,50,1,NA,NA,NA,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",4,4,25,40,25,310,2,0,4,15,0,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",5,5,23.5,41,26,310,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",6,6,23.3,40,26,305,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"MARKSANCHEZ","QB","Mark Sanchez","PHI",6,6,23.3,39,25,285,2,1,3,10,0,NA,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",8,8,23,32,19,240,2,0,6,30,0,NA,NA,NA,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","DEN",9,9,22.8,35,25,295,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",9,9,22.8,33,21,245,2,1,5,25,0,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",9,9,22.8,41,24,285,2,0,1,5,0,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",12,12,22.5,44,27,280,2,1,2,5,0,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",13,13,22.3,45,28,285,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",14,14,21.8,39,22,255,2,0,3,10,0,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",15,15,21.3,40,24,265,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",16,16,21,30,18,220,2,0,3,20,0,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",16,16,21,34,22,260,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"COLTMCCOY","QB","Colt McCoy","WAS",18,18,20.8,35,21,255,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",1,19,20.5,NA,NA,NA,NA,NA,26,110,1,5,35,0,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",2,20,19,NA,NA,NA,NA,NA,24,110,1,2,20,0,NA,NA,NA
"CJANDERSON","RB","C.J. Anderson","DEN",3,21,18,NA,NA,NA,NA,NA,25,90,1,3,30,0,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",3,21,18,NA,NA,NA,NA,NA,24,95,1,3,25,0,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",1,21,18,NA,NA,NA,NA,NA,NA,NA,NA,9,120,1,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",19,24,17.8,31,21,245,1,1,2,15,0,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",19,24,17.8,36,24,275,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",5,26,17.5,NA,NA,NA,NA,NA,19,85,1,4,30,0,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",5,26,17.5,NA,NA,NA,NA,NA,18,75,1,5,40,0,NA,NA,NA
"JORDYNELSON","WR","Jordy Nelson","GB",2,28,17,NA,NA,NA,NA,NA,NA,NA,NA,8,110,1,NA,NA,NA
