"name","pos","rank_fftoday","fg_made_fftoday","fg_missed_fftoday","xp_made_fftoday","xp_missed_fftoday","ffpts_fftoday"
"NICKNOVAK","K",1,4,0,2,0,14
"MASONCROSBY","K",2,3,0,3,0,12
"NICKFOLK","K",3,3,0,2,0,11
"ROBBIEGOULD","K",3,3,0,2,0,11
"MATTBRYANT","K",5,2,0,3,0,9
"STEVEHAUSCHKA","K",5,2,0,3,0,9
"CODYPARKEY","K",5,2,0,3,0,9
"SHAUNSUISHAM","K",5,2,0,3,0,9
"ADAMVINATIERI","K",5,2,0,3,0,9
"CHANDLERCATANZARO","K",10,2,0,2,0,8
"KAIFORBATH","K",10,2,0,2,0,8
"GRAHAMGANO","K",10,2,0,2,0,8
"STEPHENGOSTKOWSKI","K",10,2,0,2,0,8
"PATRICKMURRAY","K",10,2,0,2,0,8
"RYANSUCCOP","K",10,2,0,2,0,8
"JUSTINTUCKER","K",10,2,0,2,0,8
"JOSHBROWN","K",17,1,0,4,0,7
"SHAYNEGRAHAM","K",17,1,0,4,0,7
"DANBAILEY","K",19,1,0,3,0,6
"PHILDAWSON","K",19,1,0,3,0,6
"BRANDONMCMANUS","K",19,1,0,3,0,6
"MIKENUGENT","K",19,1,0,3,0,6
"GREGZUERLEIN","K",19,1,0,3,0,6
"RANDYBULLOCK","K",24,1,0,2,0,5
"DANCARPENTER","K",24,1,0,2,0,5
"JOSHSCOBEE","K",24,1,0,2,0,5
"BLAIRWALSH","K",24,1,0,2,0,5
