"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"PEYTONMANNING","QB","Peyton Manning","DEN",1,1,28.3,38,28,325,3,0,0,0,0,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",2,2,26.5,44,27,280,3,1,2,5,0,NA,NA,NA,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",3,3,25.8,42,27,325,2,0,4,15,0,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",4,4,25.3,27,16,215,1,0,11,45,1,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",5,5,25,38,24,300,2,0,4,20,0,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",6,6,24.8,45,29,315,2,1,3,10,0,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",6,6,24.8,44,30,335,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"NICKFOLES","QB","Nick Foles","PHI",8,8,22.8,37,25,275,2,1,3,10,0,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",8,8,22.8,43,26,285,2,1,1,5,0,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",10,10,21.8,39,24,275,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",11,11,21,32,20,240,2,0,2,10,0,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",12,12,20.5,35,21,250,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",13,13,20.3,36,21,235,2,0,4,5,0,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",13,13,20.3,34,20,255,1,0,6,35,0,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",13,13,20.3,33,21,245,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",16,16,20,37,22,280,1,1,4,20,0,NA,NA,NA,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",17,17,19.3,34,22,265,1,2,3,20,0,NA,NA,NA,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",1,18,19,NA,NA,NA,NA,NA,28,110,1,3,20,0,NA,NA,NA
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",18,19,18.8,37,22,245,1,1,6,25,0,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",18,19,18.8,35,24,285,1,1,2,5,0,NA,NA,NA,NA,NA,NA
"BLAKEBORTLES","QB","Blake Bortles","JAC",20,21,18.3,35,21,245,1,1,3,20,0,NA,NA,NA,NA,NA,NA
"BRIANHOYER","QB","Brian Hoyer","CLE",20,21,18.3,37,23,275,1,1,2,5,0,NA,NA,NA,NA,NA,NA
"AUSTINDAVIS","QB","Austin Davis","STL",22,23,18,36,22,270,1,1,1,5,0,NA,NA,NA,NA,NA,NA
"CHARLIEWHITEHURST","QB","Charlie Whitehurst","TEN",22,23,18,34,21,250,1,1,4,15,0,NA,NA,NA,NA,NA,NA
"JULIOJONES","WR","Julio Jones","ATL",1,23,18,NA,NA,NA,NA,NA,NA,NA,NA,9,120,1,NA,NA,NA
"KIRKCOUSINS","QB","Kirk Cousins","WAS",24,26,17.8,38,23,275,1,1,0,0,0,NA,NA,NA,NA,NA,NA
