"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"RICHARDRODGERS","TE","Richard Rodgers","GB",32,185,2,NA,NA,NA,NA,NA,NA,NA,NA,2,20,0,NA,NA,NA
"CJANDERSON","RB","C.J. Anderson","DEN",55,198,1.5,NA,NA,NA,NA,NA,5,15,0,0,0,0,NA,NA,NA
"KADEEMCAREY","RB","Ka'Deem Carey","CHI",55,198,1.5,NA,NA,NA,NA,NA,3,15,0,0,0,0,NA,NA,NA
"JOSEPHRANDLE","RB","Joseph Randle","DAL",55,198,1.5,NA,NA,NA,NA,NA,4,15,0,0,0,0,NA,NA,NA
"STEPFANTAYLOR","RB","Stepfan Taylor","ARI",55,198,1.5,NA,NA,NA,NA,NA,3,10,0,1,5,0,NA,NA,NA
"DEREKCARRIER","TE","Derek Carrier","SF",37,198,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1,15,0,NA,NA,NA
"LANCEDUNBAR","RB","Lance Dunbar","DAL",59,203,1,NA,NA,NA,NA,NA,1,5,0,1,5,0,NA,NA,NA
"JEFFCUMBERLAND","TE","Jeff Cumberland","NYJ",38,203,1,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,NA,NA,NA
"JOSEPHFAURIA","TE","Joseph Fauria","DET",38,203,1,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,NA,NA,NA
"LADARIUSGREEN","TE","Ladarius Green","SD",38,203,1,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,NA,NA,NA
"BRANDONPETTIGREW","TE","Brandon Pettigrew","DET",38,203,1,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,NA,NA,NA
"JORDANREED","TE","Jordan Reed","WAS",38,203,1,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,NA,NA,NA
"TIMWRIGHT","TE","Tim Wright","NE",38,203,1,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,NA,NA,NA
NA,"QB",NA,NA,30,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAYER
		SORTFIRST

		
  
		LAST","QB","layer
		Sort First: 
        
		
          
		Last:","Team",31,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"WR",NA,NA,79,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAYER
		SORTFIRST

		
  
		LAST","WR","layer
		Sort First: 
        
		
          
		Last:","Team",80,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TE",NA,NA,44,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAYER
		SORTFIRST

		
  
		LAST","TE","layer
		Sort First: 
        
		
          
		Last:","Team",45,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
