displayName,team,receptions,recYds,recTD,rushAtt,rushYds,rushTD,fumblesLost
Kevin Ogletree,DET,2.0,21.0,0.0,0.0,0.0,0.0,0.0
Cole Beasley,DAL,2.0,21.0,0.0,0.0,0.0,0.0,0.0
DeVier Posey,HOU,2.0,20.0,0.0,0.0,0.0,0.0,0.0
Dane Sanzenbacher,CIN,2.0,20.0,0.0,0.0,0.0,0.0,0.0
Santonio Holmes,CHI,1.0,20.0,0.0,0.0,0.0,0.0,0.0
Marquise Goodwin,BUF,1.0,19.0,0.0,0.0,0.0,0.0,0.0
Corey Washington,NYG,2.0,19.0,0.0,0.0,0.0,0.0,0.0
Josh Morgan,CHI,2.0,18.0,0.0,0.0,0.0,0.0,0.0
Chris Owusu,NYJ,2.0,18.0,0.0,0.0,0.0,0.0,0.0
Davante Adams,GB,1.0,17.0,0.0,0.0,0.0,0.0,0.0
Justin Brown,PIT,2.0,17.0,0.0,0.0,0.0,0.0,0.0
Jarvis Landry,MIA,2.0,17.0,0.0,0.0,0.0,0.0,0.0
Paul Richardson,SEA,1.0,16.0,0.0,0.0,0.0,0.0,0.0
T.J. Graham,TEN,1.0,16.0,0.0,0.0,1.0,0.0,0.0
Kenny Stills,NO,1.0,15.0,0.0,0.0,1.0,0.0,0.0
Robert Meachem,NO,1.0,15.0,0.0,0.0,0.0,0.0,0.0
Quinton Patton,SF,1.0,14.0,0.0,0.0,0.0,0.0,0.0
Darrius Heyward-Bey,PIT,1.0,14.0,0.0,0.0,0.0,0.0,0.0
Brad Smith,PHI,1.0,12.0,0.0,0.0,0.0,0.0,0.0
Jaron Brown,ARI,2.0,12.0,0.0,0.0,0.0,0.0,0.0
Chris Hogan,BUF,2.0,12.0,0.0,0.0,0.0,0.0,0.0
Ryan Broyles,DET,1.0,12.0,0.0,0.0,0.0,0.0,0.0
Donte Moncrief,IND,1.0,12.0,0.0,0.0,0.0,0.0,0.0
Brandon Tate,CIN,1.0,11.0,0.0,0.0,0.0,0.0,0.0
Dwayne Harris,DAL,1.0,11.0,0.0,0.0,0.0,0.0,0.0
Joseph Morgan,NO,1.0,9.0,0.0,0.0,0.0,0.0,0.0
Devin Hester,ATL,1.0,9.0,0.0,0.0,0.0,0.0,0.0
Greg Salas,NYJ,1.0,9.0,0.0,0.0,0.0,0.0,0.0
Rishard Matthews,MIA,1.0,8.0,0.0,0.0,0.0,0.0,0.0
DaRick Rogers,IND,1.0,7.0,0.0,0.0,0.0,0.0,0.0
Martavis Bryant,PIT,1.0,7.0,0.0,0.0,0.0,0.0,0.0
Aldrick Robinson,WAS,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Robert Herron,TB,1.0,6.0,0.0,0.0,0.0,0.0,0.0
Brandon Lloyd,SF,1.0,6.0,0.0,0.0,0.0,0.0,0.0
Devin Street,DAL,1.0,6.0,0.0,0.0,0.0,0.0,0.0
Taylor Gabriel,CLE,1.0,5.0,0.0,0.0,0.0,0.0,0.0
Jalen Saunders,NYJ,1.0,5.0,0.0,0.0,0.0,0.0,0.0
Jeremy Ross,DET,1.0,5.0,0.0,0.0,0.0,0.0,0.0
Brice Butler,OAK,1.0,5.0,0.0,0.0,0.0,0.0,0.0
Ricardo Lockette,SEA,1.0,4.0,0.0,0.0,0.0,0.0,0.0
Griff Whalen,IND,1.0,4.0,0.0,0.0,0.0,0.0,0.0
Brenton Bersin,CAR,1.0,4.0,0.0,0.0,0.0,0.0,0.0
Bruce Ellington,SF,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Seyi Ajirotutu,SD,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Mike Thomas,HOU,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Derek Hagan,TEN,0.0,2.0,0.0,0.0,0.0,0.0,0.0
