displayName,team,rushAtt,rushYds,rushTD,receptions,recYds,recTD,fumblesLost
Adrian Peterson,MIN,20.1,91.4,0.8,2.2,14.6,0.0,0.2
LeVeon Bell,PIT,19.0,91.3,0.6,4.2,32.2,0.1,0.1
Todd Gurley,STL,19.9,90.4,0.6,2.6,20.4,0.0,0.1
Chris Ivory,NYJ,16.9,81.4,0.6,1.2,8.4,0.0,0.1
Marshawn Lynch,SEA,18.8,81.0,0.9,1.6,11.6,0.0,0.1
Justin Forsett,BAL,18.7,79.8,0.5,3.7,25.3,0.0,0.1
Chris Johnson,ARI,16.6,78.7,0.4,1.7,11.9,0.0,0.1
Matt Forte,CHI,18.7,78.5,0.5,4.0,31.6,0.1,0.2
Devonta Freeman,ATL,18.2,77.6,0.7,4.1,33.6,0.1,0.1
Jonathan Stewart,CAR,17.1,77.1,0.4,1.1,8.2,0.0,0.1
Doug Martin,TB,16.4,72.0,0.4,2.3,19.0,0.0,0.2
Lamar Miller,MIA,14.6,71.2,0.4,3.0,22.0,0.0,0.1
Mark Ingram,NO,15.2,68.3,0.6,2.9,22.4,0.0,0.1
Frank Gore,IND,13.9,63.2,0.4,2.2,16.5,0.0,0.2
Charcandrick West,KC,15.2,63.1,0.5,2.3,16.7,0.1,0.2
Ronnie Hillman,DEN,12.4,61.0,0.4,2.5,18.1,0.0,0.1
Latavius Murray,OAK,14.7,61.0,0.4,2.3,16.5,0.0,0.1
LeGarrette Blount,NE,13.1,59.7,0.6,0.6,4.1,0.0,0.1
Alfred Blue,HOU,12.1,59.2,0.2,1.3,9.9,0.0,0.1
Carlos Hyde,SF,15.0,58.0,0.2,1.2,7.3,0.0,0.1
Giovani Bernard,CIN,11.5,53.4,0.3,3.1,22.4,0.1,0.1
Darren McFadden,DAL,14.1,52.4,0.3,3.6,27.8,0.1,0.1
Eddie Lacy,GB,12.2,51.8,0.4,2.1,14.8,0.0,0.1
Jeremy Hill,CIN,11.7,46.6,0.4,1.2,9.9,0.0,0.2
James Starks,GB,9.7,42.3,0.3,2.0,14.2,0.0,0.1
Antonio Andrews,TEN,10.4,41.5,0.4,1.8,15.9,0.1,0.1
Ameer Abdullah,DET,10.5,38.7,0.2,1.9,14.4,0.0,0.1
C.J. Anderson,DEN,9.7,38.3,0.2,2.0,14.4,0.0,0.1
Rashad Jennings,NYG,9.3,37.9,0.2,2.1,15.3,0.0,0.2
Melvin Gordon,SD,9.5,34.5,0.3,1.7,10.1,0.0,0.2
Dion Lewis,NE,7.8,34.4,0.3,4.0,34.7,0.2,0.2
Danny Woodhead,SD,6.2,33.0,0.1,4.7,39.8,0.2,0.1
Isaiah Crowell,CLE,7.7,32.9,0.2,1.0,8.8,0.0,0.1
Chris Polk,HOU,8.6,30.2,0.2,1.9,13.7,0.0,0.1
Shane Vereen,NYG,5.0,27.1,0.1,3.1,26.5,0.2,0.1
Khiry Robinson,NO,6.3,26.3,0.3,1.2,8.0,0.0,0.1
Christine Michael,DAL,6.9,25.8,0.1,1.0,5.9,0.0,0.1
Charles Sims,TB,7.4,25.0,0.1,3.0,25.6,0.1,0.2
Thomas Rawls,SEA,5.1,24.3,0.1,0.7,4.9,0.0,0.1
