"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"VINCENTJACKSON","Vincent Jackson","WR","TB",29,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,91,13,0,NA,0,9
"DEANDREHOPKINS","DeAndre Hopkins","WR","HOU",29,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,96,16,0,NA,0,9
"PIERREGARCON","Pierre Garcon","WR","WAS",29,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,38,9.5,1,NA,0,9
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",29,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,91,13,0,NA,0,9
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",29,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,38,9.5,1,NA,0,9
"DWAYNEALLEN","Dwayne Allen","TE","IND",7,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,38,9.5,1,NA,0,9
"BRIANHOYER","Brian Hoyer","QB","CLE",28,86,25,17,219,0,0,68,8.8,2,0,0,0,NA,NA,NA,NA,NA,0,8
"BRYCEBROWN","Bryce Brown","RB","BUF",19,86,NA,NA,NA,NA,NA,NA,NA,10,37,3.7,0,5,58,11.6,0,NA,0,8
"JERICKMCKINNON","Jerick McKinnon","RB","MIN",19,86,NA,NA,NA,NA,NA,NA,NA,16,70,4.4,0,2,12,6,0,NA,0,8
"MATTASIATA","Matt Asiata","RB","MIN",19,86,NA,NA,NA,NA,NA,NA,NA,9,28,3.1,1,2,9,4.5,0,NA,0,8
"BENTATE","Ben Tate","RB","CLE",19,86,NA,NA,NA,NA,NA,NA,NA,9,27,3,1,1,4,4,0,NA,0,8
"KEENANALLEN","Keenan Allen","WR","SD",34,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,28,9.3,1,NA,0,8
"ANDREJOHNSON","Andre Johnson","WR","HOU",34,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,89,14.8,0,NA,0,8
"MICHAELCRABTREE","Michael Crabtree","WR","SF",34,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,8.3,1,NA,0,8
"JUSTINHUNTER","Justin Hunter","WR","TEN",34,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28,14,1,NA,0,8
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",8,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,26,8.7,1,NA,0,8
"MYCHALRIVERA","Mychal Rivera","TE","OAK",8,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,28,7,1,NA,0,8
"LAMARMILLER","Lamar Miller","RB","MIA",23,97,NA,NA,NA,NA,NA,NA,NA,17,61,3.6,0,2,10,5,0,NA,0,7
"BISHOPSANKEY","Bishop Sankey","RB","TEN",23,97,NA,NA,NA,NA,NA,NA,NA,17,69,4.1,0,2,18,9,0,NA,0,7
