"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"KAMARAIKEN","WR","Kamar Aiken","BAL",24,74,11.99,9,NA,0,0,0,0,0,0,5.1,80,0.2,0,0,0
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",25,76,11.85,9.3,NA,0,0,0,0,0,0,5.6,70,0.4,0,0,0
"MATTFORTE","RB","Matt Forte","CHI",19,77,11.74,3.1,NA,0,0,0,13.6,56.5,0.4,2.4,22.2,0.1,0,0,0.1
"JORDANREED","TE","Jordan Reed","WAS",3,78,11.61,8.4,NA,0,0,0,0,0,0,5.8,59.6,0.5,0,0,0.1
"JOHNBROWN","WR","John Brown","ARI",26,78,11.61,6.9,NA,0,0,0,0.3,1.8,0,4.2,65.6,0.5,0,0,0
"BRANDINCOOKS","WR","Brandin Cooks","NO",27,80,11.49,7.3,NA,0,0,0,0.3,1.8,0,4.9,64.8,0.4,0,0,0
"DELANIEWALKER","TE","Delanie Walker","TEN",4,81,11.37,9.2,NA,0,0,0,0,0,0,5.9,67.2,0.3,0,0,0.1
"TYHILTON","WR","T.Y. Hilton","IND",28,82,11.36,9,NA,0,0,0,0,0,0,5.5,68,0.3,0,0,0.1
"BRANDONLAFELL","WR","Brandon LaFell","NE",29,83,11.24,6.6,NA,0,0,0,0,0,0,4.4,57.8,0.6,0,0,0
"MATTJONES","RB","Matt Jones","WAS",20,84,11.03,2.6,NA,0,0,0,14.3,61.7,0.3,2.1,17.7,0.1,0,0,0.2
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",30,85,10.99,8,NA,0,0,0,0.2,1.6,0,4.7,66,0.3,0,0,0
"ANTONIOGATES","TE","Antonio Gates","SD",5,86,10.86,6.7,NA,0,0,0,0,0,0,4.7,57.7,0.5,0,0,0
"SHAUNDRAUGHN","RB","Shaun Draughn","SF",21,87,10.81,4.7,NA,0,0,0,11.6,42.6,0.2,3.7,30,0.1,0,0,0.1
"CASEKEENUM","QB","Case Keenum","STL",32,88,10.75,0,NA,214,0.6,0.9,1.7,7,0.1,0,0,0,0,0,0.3
"ANQUANBOLDIN","WR","Anquan Boldin","SF",31,89,10.63,9,NA,0,0,0,0,0,0,5.5,64.4,0.2,0,0,0
"GARYBARNIDGE","TE","Gary Barnidge","CLE",6,90,10.59,8.1,NA,0,0,0,0,0,0,5.1,64,0.3,0,0,0
"JEREMYLANGFORD","RB","Jeremy Langford","CHI",22,91,10.5,3.1,NA,0,0,0,11.1,43.3,0.4,2.3,23.2,0.1,0,0,0
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",23,92,10.49,4.4,NA,0,0,0,8.7,39,0.3,3.5,26.9,0.1,0,0,0
