"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"ANDREWLUCK","QB","Andrew Luck","IND",1,1,22.74,0,NA,274,2.6,0.8,3.8,18,0.1,0,0,0,0,0.1,0.3
"PHILIPRIVERS","QB","Philip Rivers","SD",2,2,20.48,0,NA,305,2.3,0.9,1.9,4.2,0,0,0,0,0,0.1,0.3
"CARSONPALMER","QB","Carson Palmer","ARI",3,3,20.38,0,NA,281,2.3,0.7,2,3.3,0.1,0,0,0,0,0.1,0.1
"TOMBRADY","QB","Tom Brady","NE",4,4,20.25,0,NA,297,2.1,0.9,2.4,2.9,0.1,0,0,0,0,0.1,0.2
"RUSSELLWILSON","QB","Russell Wilson","SEA",5,5,19.46,0,NA,240,1.5,0.6,6.6,40.8,0.2,0,0,0,0,0,0.4
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",1,6,19.41,4.8,NA,0,0,0,18.4,81.7,0.9,3.7,33.1,0.2,0,0,0.1
"CAMNEWTON","QB","Cam Newton","CAR",6,7,19.12,0,NA,255,1.2,1.1,8.6,43.4,0.2,0,0,0,0,0,0.4
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",7,8,18.69,0,NA,303,1.7,0.9,2.1,6.9,0.1,0,0,0,0,0,0.3
"TODDGURLEY","RB","Todd Gurley","STL",2,9,18.67,1.8,NA,0,0,0,21.6,115,0.8,1.5,12.5,0.1,0,0,0.2
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",8,10,18.58,0,NA,268,1.9,0.9,2.4,11.7,0.1,0,0,0,0,0.1,0.3
"BLAKEBORTLES","QB","Blake Bortles","JAX",9,11,18.39,0,NA,301,1.4,0.9,3.2,19.2,0,0,0,0,0,0,0.3
"DREWBREES","QB","Drew Brees","NO",10,12,18.07,0,NA,322,1.5,0.9,1.5,2.4,0.1,0,0,0,0,0,0.2
"LEVEONBELL","RB","Le'Veon Bell","PIT",3,13,17.91,4.5,NA,0,0,0,22.3,85.7,0.7,3.3,25.8,0.2,0,0,0.1
"ELIMANNING","QB","Eli Manning","NYG",11,14,17.67,0,NA,290,1.7,0.6,1,2,0,0,0,0,0,0,0.3
"JOEFLACCO","QB","Joe Flacco","BAL",12,15,16.95,0,NA,295,1.5,1.4,1.9,3.8,0.1,0,0,0,0,0,0.3
"ZACHMETTENBERGER","QB","Zach Mettenberger","TEN",13,16,16.93,0,NA,266,1.8,1.1,1.7,5,0.1,0,0,0,0,0.1,0.5
"MATTRYAN","QB","Matt Ryan","ATL",14,17,16.67,0,NA,236,1.8,1,2.4,7.7,0.1,0,0,0,0,0.1,0.2
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",15,18,16.66,0,NA,239,1.5,1.3,4.2,18.1,0.2,0,0,0,0,0,0.3
"ADRIANPETERSON","RB","Adrian Peterson","MIN",4,19,16.56,2.2,NA,0,0,0,19.6,91.4,0.8,1.8,15.2,0.1,0,0,0.2
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",1,20,16.45,12.2,NA,0,0,0,0,0,0,7.4,107,0.4,0,0,0.1
"ALEXSMITH","QB","Alex Smith","KC",16,21,16.25,0,NA,247,1.2,0.6,3.8,20.4,0.1,0,0,0,0,0,0.2
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",17,22,16.16,0,NA,231,1.2,0.7,3.7,18.5,0.2,0,0,0,0,0,0.1
"SAMBRADFORD","QB","Sam Bradford","PHI",18,23,15.97,0,NA,272,1.5,1.2,1.9,4.9,0.1,0,0,0,0,0,0.3
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",19,24,15.8,0,NA,222,0.9,0.5,6,37.3,0.1,0,0,0,0,0,0.3
"LESEANMCCOY","RB","LeSean McCoy","BUF",5,25,15.76,3.8,NA,0,0,0,19.6,80.7,0.6,3.1,22.4,0.1,0,0,0.1
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",2,26,15.53,9.5,NA,0,0,0,0,0,0,6.3,84.3,0.7,0,0,0
"DEREKCARR","QB","Derek Carr","OAK",20,27,15.22,0,NA,228,1.7,0.8,1.6,4.5,0,0,0,0,0,0,0.4
"ARIANFOSTER","RB","Arian Foster","HOU",6,28,15.19,5.1,NA,0,0,0,17.5,76.5,0.3,3.9,30.6,0.1,0,0,0.1
"NICKFOLES","QB","Nick Foles","STL",21,29,15,0,NA,209,1.6,0.7,1.9,8.5,0.1,0,0,0,0,0,0.2
"CALVINJOHNSON","WR","Calvin Johnson","DET",3,30,14.92,9.5,NA,0,0,0,0,0,0,5.9,85.7,0.6,0,0,0
"ODELLBECKHAM","WR","Odell Beckham Jr.","NYG",3,30,14.92,9.8,NA,0,0,0,0.4,2.5,0,6.4,85,0.5,0,0,0
"JULIOJONES","WR","Julio Jones","ATL",5,32,14.83,9.7,NA,0,0,0,0,0,0,6.2,79.8,0.6,0,0,0.1
"KEENANALLEN","WR","Keenan Allen","SD",6,33,14.72,9,NA,0,0,0,0,0,0,6.3,85.5,0.5,0,0,0
"JUSTINFORSETT","RB","Justin Forsett","BAL",7,34,14.68,5.3,NA,0,0,0,14.9,65.2,0.4,4.2,32.9,0.1,0,0,0.1
"JULIANEDELMAN","WR","Julian Edelman","NE",7,35,14.56,9.5,NA,0,0,0,0.7,5.4,0,7,74.5,0.5,0,0,0.1
"BRANDONMARSHALL","WR","Brandon Marshall","NYJ",8,36,14.53,10.6,NA,0,0,0,0,0,0,6.6,78.8,0.6,0,0,0.1
"LAMARMILLER","RB","Lamar Miller","MIA",8,37,14.44,3.1,NA,0,0,0,16.8,72.5,0.6,2.5,19.9,0.1,0,0,0.1
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",9,38,14.4,3.3,NA,0,0,0,16.1,80.3,0.4,2.6,19.8,0.1,0,0,0.1
"JOSHMCCOWN","QB","Josh McCown","CLE",22,39,14.23,0,NA,248,1.2,1.1,2.7,13.2,0.1,0,0,0,0,0,0.5
"KIRKCOUSINS","QB","Kirk Cousins","WAS",23,40,14.21,0,NA,221,1.5,0.9,1.5,4.4,0,0,0,0,0,0,0.2
"DEMARCOMURRAY","RB","DeMarco Murray","PHI",10,40,14.21,4.5,NA,0,0,0,14.3,59.8,0.5,3.7,29,0.1,0,0,0.1
"CHRISIVORY","RB","Chris Ivory","NYJ",11,42,14.17,3.3,NA,0,0,0,17.3,79.8,0.5,2.4,17.1,0.1,0,0,0.1
"BRIANHOYER","QB","Brian Hoyer","HOU",24,43,14.15,0,NA,276,1,1.2,1.7,2.6,0,0,0,0,0,0,0.2
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",12,44,13.96,3.2,NA,0,0,0,17.2,75.1,0.4,2.6,20.6,0.1,0,0,0.1
"ANTONIOBROWN","WR","Antonio Brown","PIT",9,45,13.71,10.5,NA,0,0,0,0.1,0.9,0,6,76,0.4,0.1,0,0
"ALLENROBINSON","WR","Allen Robinson","JAX",10,46,13.68,9.5,NA,0,0,0,0,0,0,6,85.9,0.4,0,0,0
"MATTCASSEL","QB","Matt Cassel","DAL",25,47,13.65,0,NA,220,1.3,1.2,2.9,12.4,0.1,0,0,0,0,0,0.4
"EJMANUEL","QB","EJ Manuel","BUF",26,48,13.53,0,NA,193,1.1,0.6,4.4,13.1,0.2,0,0,0,0,0,0.2
"LANDRYJONES","QB","Landry Jones","PIT",27,49,13.32,0,NA,206,1.4,1.1,2.5,7.5,0.1,0,0,0,0,0,0.3
"FRANKGORE","RB","Frank Gore","IND",13,50,13.2,1.8,NA,0,0,0,16.8,79,0.5,1.5,12.1,0.1,0,0,0.1
"JAMEISWINSTON","QB","Jameis Winston","TB",28,51,13.19,0,NA,228,1,1.1,3.9,12.9,0.1,0,0,0,0,0,0.3
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",1,52,13.18,8.1,NA,0,0,0,0,0,0,5.2,65.3,0.7,0,0,0
"JEREMYMACLIN","WR","Jeremy Maclin","KC",11,53,12.91,9.2,NA,0,0,0,0.2,1.3,0,6,77.7,0.3,0,0,0
"MARKINGRAM","RB","Mark Ingram","NO",14,53,12.91,3.5,NA,0,0,0,13.9,55.2,0.6,2.9,22.2,0.1,0,0,0.1
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",12,55,12.9,9.6,NA,0,0,0,0,0,0,5.9,74.8,0.4,0,0,0
"JARVISLANDRY","WR","Jarvis Landry","MIA",13,56,12.84,8.2,NA,0,0,0,1.5,12.1,0,5.8,58.9,0.4,0.1,0,0
"TYHILTON","WR","T.Y. Hilton","IND",14,57,12.83,8,NA,0,0,0,0.1,0.8,0,5,69,0.6,0,0,0.1
"JOHNBROWN","WR","John Brown","ARI",15,58,12.35,7.5,NA,0,0,0,0.3,1.7,0,4.7,69.4,0.5,0,0,0
"GREGOLSEN","TE","Greg Olsen","CAR",2,59,12.33,8.8,NA,0,0,0,0,0,0,5.8,71.7,0.4,0,0,0
"DIONLEWIS","RB","Dion Lewis","NE",15,60,11.96,6.1,NA,0,0,0,8.1,32.5,0.2,4.8,42.1,0.2,0,0,0.1
"DOUGMARTIN","RB","Doug Martin","TB",16,61,11.74,2.5,NA,0,0,0,17.6,70.4,0.3,2,16.2,0,0,0,0.1
"DONTEMONCRIEF","WR","Donte Moncrief","IND",16,62,11.31,7,NA,0,0,0,0.1,0.8,0,4.4,57.3,0.5,0,0,0
"TRAVISBENJAMIN","WR","Travis Benjamin","CLE",16,62,11.31,7.9,NA,0,0,0,0,0,0,4.5,67.3,0.3,0.1,0,0
"STEVESMITH","WR","Steve Smith Sr.","BAL",18,64,11.3,7.9,NA,0,0,0,0,0,0,5,70.7,0.3,0,0,0.1
"GOLDENTATE","WR","Golden Tate","DET",19,65,11.27,7.9,NA,0,0,0,0.4,2.8,0,5.2,64.4,0.3,0,0,0
"CARLOSHYDE","RB","Carlos Hyde","SF",17,66,11.24,2,NA,0,0,0,17.1,65.4,0.4,1.6,12.2,0,0,0,0.1
"MIKEEVANS","WR","Mike Evans","TB",20,67,11.04,7.8,NA,0,0,0,0,0,0,4.6,69,0.3,0,0,0
"MICHAELCRABTREE","WR","Michael Crabtree","OAK",21,68,10.91,7.9,NA,0,0,0,0,0,0,4.8,57.2,0.5,0,0,0
"CHRISJOHNSON","RB","Chris Johnson","ARI",18,69,10.87,1,NA,0,0,0,16.9,65.5,0.5,0.8,6.1,0,0,0,0.1
"ANTONIOGATES","TE","Antonio Gates","SD",3,70,10.74,6.3,NA,0,0,0,0,0,0,4.4,53.8,0.5,0,0,0
"ERICDECKER","WR","Eric Decker","NYJ",22,71,10.73,7.7,NA,0,0,0,0,0,0,4.9,60.2,0.4,0,0,0
"RASHADJENNINGS","RB","Rashad Jennings","NYG",19,72,10.65,3.2,NA,0,0,0,12.5,50.1,0.3,2.6,20.8,0.1,0,0,0.1
"BRANDINCOOKS","WR","Brandin Cooks","NO",23,72,10.65,7.3,NA,0,0,0,0.5,3.1,0,4.8,63.7,0.3,0,0,0
"AMARICOOPER","WR","Amari Cooper","OAK",24,74,10.49,8.2,NA,0,0,0,0,0,0,4.9,53.5,0.4,0,0,0
"DANNYWOODHEAD","RB","Danny Woodhead","SD",20,75,10.35,4.3,NA,0,0,0,7.8,30.8,0.2,3.5,32.8,0.2,0,0,0.1
"ALLENHURNS","WR","Allen Hurns","JAX",25,76,10.19,7.2,NA,0,0,0,0,0,0,4.6,62.4,0.3,0,0,0
"DELANIEWALKER","TE","Delanie Walker","TEN",4,77,10.17,7.3,NA,0,0,0,0,0,0,4.9,56.2,0.4,0,0,0.1
"TJYELDON","RB","T.J. Yeldon","JAX",21,78,10.08,3.3,NA,0,0,0,13.3,49.8,0.2,2.7,22.1,0.1,0,0,0.1
"JIMMYGRAHAM","TE","Jimmy Graham","SEA",5,79,10,6.7,NA,0,0,0,0,0,0,4.3,51.8,0.5,0,0,0
"TAVONAUSTIN","WR","Tavon Austin","STL",26,80,9.98,5.2,NA,0,0,0,2.4,18.5,0.1,3.4,37.4,0.3,0.1,0,0
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",22,81,9.9,1.3,NA,0,0,0,17.6,71.2,0.3,1,7.1,0,0,0,0.1
"TRAVISKELCE","TE","Travis Kelce","KC",6,82,9.87,7.5,NA,0,0,0,0,0,0,5.2,55.8,0.3,0,0,0.1
"ANQUANBOLDIN","WR","Anquan Boldin","SF",27,83,9.74,7.4,NA,0,0,0,0,0,0,4.9,59.1,0.2,0,0,0
"JULIUSTHOMAS","TE","Julius Thomas","JAX",7,84,9.71,7.1,NA,0,0,0,0,0,0,4.8,54.4,0.3,0,0,0
"KENDALLWRIGHT","WR","Kendall Wright","TEN",28,85,9.67,6.7,NA,0,0,0,0.5,3.4,0,4.6,51.7,0.3,0,0,0.1
"VINCENTJACKSON","WR","Vincent Jackson","TB",29,86,9.52,6.7,NA,0,0,0,0,0,0,3.9,60.4,0.3,0,0,0
"WILLIESNEAD","WR","Willie Snead","NO",30,87,9.45,6.5,NA,0,0,0,0,0,0,4.3,59.8,0.2,0,0,0
