"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"1","Devonta Freeman","RB1","10","1","4","1.6","1.0","DEVONTAFREEMAN"
"2","Todd Gurley","RB2","6","1","4","2.7","1.2","TODDGURLEY"
"3","Adrian Peterson","RB3","5","1","9","3.9","2.5","ADRIANPETERSON"
"4","Julio Jones","WR1","10","3","8","4.6","1.9","JULIOJONES"
"5","Antonio Brown","WR2","11","3","12","6.3","2.9","ANTONIOBROWN"
"6","Rob Gronkowski","TE1","4","7","7","7.0","0.0","ROBGRONKOWSKI"
"7","DeAndre Hopkins","WR3","9","3","14","9.9","3.9","DEANDREHOPKINS"
"8","DeAngelo Williams","RB4","11","2","26","11.1","6.7","DEANGELOWILLIAMS"
"9","Lamar Miller","RB5","5","5","23","12.1","6.0","LAMARMILLER"
"10","Odell Beckham","WR4","11","8","17","12.7","2.5","ODELLBECKHAM"
"11","Mark Ingram","RB6","11","5","49","14.7","14.3","MARKINGRAM"
"12","LeSean McCoy","RB7","8","9","23","15.6","4.3","LESEANMCCOY"
"13","A.J. Green","WR5","7","8","44","18.1","12.6","AJGREEN"
"14","Christopher Ivory","RB8","5","11","26","19.3","4.6","CHRISIVORY"
"15","Matt Forte","RB9","7","9","36","20.4","8.7","MATTFORTE"
"16","Larry Fitzgerald","WR6","9","6","32","20.6","9.8","LARRYFITZGERALD"
"17","Latavius Murray","RB10","6","15","51","22.9","11.7","LATAVIUSMURRAY"
"18","Allen Robinson","WR7","8","8","35","23.3","10.6","ALLENROBINSON"
"19","Demaryius Thomas","WR8","7","17","44","23.7","8.9","DEMARYIUSTHOMAS"
"20","Danny Woodhead","RB11","10","4","47","24.0","14.0","DANNYWOODHEAD"
"21","Charcandrick West","RB12","9","11","42","24.4","10.0","CHARCANDRICKWEST"
"22","Brandon Marshall","WR9","5","14","34","25.4","7.4","BRANDONMARSHALL"
"23","Dez Bryant","WR10","6","13","45","26.7","11.0","DEZBRYANT"
"24","Calvin Johnson","WR11","9","17","41","27.4","8.0","CALVINJOHNSON"
"25","Tom Brady","QB1","4","27","33","27.9","2.1","TOMBRADY"
"26","Darren McFadden","RB13","6","5","70","28.9","22.3","DARRENMCFADDEN"
"27","Doug Martin","RB14","6","15","47","30.3","10.9","DOUGMARTIN"
"28","DeMarco Murray","RB15","8","10","43","31.6","11.6","DEMARCOMURRAY"
"29","Amari Cooper","WR12","6","14","48","32.1","9.4","AMARICOOPER"
"30","Giovani Bernard","RB16","7","10","47","32.7","12.7","GIOVANIBERNARD"
"31","Aaron Rodgers","QB2","7","27","38","32.9","2.9","AARONRODGERS"
"32","Mike Evans","WR13","6","22","45","33.0","8.8","MIKEEVANS"
"33","Randall Cobb","WR14","7","22","50","33.1","10.7","RANDALLCOBB"
"34","Alshon Jeffery","WR15","7","17","48","33.4","10.9","ALSHONJEFFERY"
"35","Greg Olsen","TE2","5","29","57","33.6","9.6","GREGOLSEN"
"36","Frank Gore","RB17","10","23","56","35.0","10.6","FRANKGORE"
"37","Emmanuel Sanders","WR16","7","14","65","37.9","16.0","EMMANUELSANDERS"
"38","Jonathan Stewart","RB18","5","18","56","38.7","13.2","JONATHANSTEWART"
"39","Jarvis Landry","WR17","5","34","50","40.6","4.9","JARVISLANDRY"
"40","LeGarrette Blount","RB19","4","23","51","41.0","8.9","LEGARRETTEBLOUNT"
"41","Brandin Cooks","WR18","11","28","65","44.1","11.9","BRANDINCOOKS"
"42","Eric Decker","WR19","5","34","59","44.1","8.9","ERICDECKER"
"43","T.J. Yeldon","RB20","8","36","61","46.3","8.5","TJYELDON"
"44","Tyler Eifert","TE3","7","29","83","47.6","22.1","TYLEREIFERT"
"45","Carson Palmer","QB3","9","38","60","47.6","8.6","CARSONPALMER"
"46","Ronnie Hillman","RB21","7","16","70","47.7","15.2","RONNIEHILLMAN"
"47","Chris Johnson","RB22","9","24","90","48.0","19.0","CHRISJOHNSON"
"48","T.Y. Hilton","WR20","10","41","63","49.7","8.8","TYHILTON"
"49","Eddie Lacy","RB23","7","36","78","50.7","13.1","EDDIELACY"
"50","Martavis Bryant","WR21","11","17","98","52.1","22.9","MARTAVISBRYANT"
"51","Jeremy Hill","RB24","7","43","72","53.4","8.7","JEREMYHILL"
"52","Allen Hurns","WR22","8","19","63","54.3","14.5","ALLENHURNS"
"53","Travis Kelce","TE4","9","31","76","55.7","21.5","TRAVISKELCE"
"54","Stefon Diggs","WR23","5","37","94","56.0","16.9","STEFONDIGGS"
"55","Cam Newton","QB4","5","33","69","58.4","11.6","CAMNEWTON"
"56","Michael Crabtree","WR24","6","30","125","58.9","28.3","MICHAELCRABTREE"
"57","Andy Dalton","QB5","7","53","81","62.1","9.8","ANDYDALTON"
"58","Jeremy Maclin","WR25","9","48","102","63.7","17.1","JEREMYMACLIN"
"59","Sammy Watkins","WR26","8","50","80","65.1","9.6","SAMMYWATKINS"
"60","Gary Barnidge","TE5","11","31","115","66.3","23.9","GARYBARNIDGE"
"61","Drew Brees","QB6","11","60","69","66.7","2.9","DREWBREES"
"62","John Brown","WR27","9","45","102","68.9","17.2","JOHNBROWN"
"63","Antonio Gates","TE6","10","57","83","69.3","8.7","ANTONIOGATES"
"64","Ben Roethlisberger","QB7","11","38","163","71.4","39.3","BENROETHLISBERGER"
"65","Brandon LaFell","WR28","4","58","104","72.9","19.2","BRANDONLAFELL"
"66","James Jones","WR29","7","58","102","77.1","17.8","JAMESJONES"
"67","Marshawn Lynch","RB25","9","5","138","57.7","49.1","MARSHAWNLYNCH"
"68","C.J. Anderson","RB26","7","70","90","78.4","7.0","CJANDERSON"
"69","Willie Snead","WR30","11","55","106","79.4","16.3","WILLIESNEAD"
"70","Duke Johnson","RB27","11","72","99","79.4","8.7","DUKEJOHNSON"
"71","Davante Adams","WR31","7","58","116","79.7","18.6","DAVANTEADAMS"
"72","Steve Johnson","WR32","10","54","104","80.0","18.0","STEVIEJOHNSON"
"73","Philip Rivers","QB8","10","60","112","81.3","16.9","PHILIPRIVERS"
"74","Matt Ryan","QB9","10","66","89","82.1","7.5","MATTRYAN"
"75","Donte Moncrief","WR33","10","55","119","82.7","21.5","DONTEMONCRIEF"
"76","Jordan Reed","TE7","8","71","133","84.3","20.2","JORDANREED"
"77","Matt Jones","RB28","8","49","138","84.6","30.4","MATTJONES"
"78","Eli Manning","QB10","11","69","91","85.7","7.6","ELIMANNING"
"79","Danny Amendola","WR34","4","37","144","87.0","41.3","DANNYAMENDOLA"
"80","Russell Wilson","QB11","9","81","92","87.7","3.1","RUSSELLWILSON"
"81","Melvin Gordon","RB29","10","61","141","88.1","24.5","MELVINGORDON"
"82","Kendall Wright","WR35","4","54","110","89.1","17.3","KENDALLWRIGHT"
"83","Alfred Blue","RB30","9","73","124","90.0","16.1","ALFREDBLUE"
"84","Jordan Matthews","WR36","8","54","116","90.1","18.1","JORDANMATTHEWS"
"85","Benjamin Watson","TE8","11","71","109","90.1","13.0","BENJAMINWATSON"
"86","DeSean Jackson","WR37","8","67","100","90.9","10.9","DESEANJACKSON"
"87","Charles Sims","RB31","6","72","113","92.0","15.6","CHARLESSIMS"
"88","C.J. Spiller","RB32","11","61","155","94.0","33.7","CJSPILLER"
"89","Michael Floyd","WR38","9","62","107","95.4","16.3","MICHAELFLOYD"
"90","Travis Benjamin","WR39","11","67","163","95.4","30.4","TRAVISBENJAMIN"
"91","James Starks","RB33","7","47","128","96.0","24.3","JAMESSTARKS"
"92","Antonio Andrews","RB34","4","73","122","96.0","17.4","ANTONIOANDREWS"
"93","Golden Tate","WR40","9","52","102","78.8","20.1","GOLDENTATE"
"94","Theo Riddick","RB35","9","43","139","97.1","30.7","THEORIDDICK"
"95","Delanie Walker","TE9","4","75","117","97.9","19.4","DELANIEWALKER"
"96","Shane Vereen","RB36","11","73","90","81.3","5.5","SHANEVEREEN"
"97","Kamar Aiken","WR41","9","84","111","99.7","8.3","KAMARAIKEN"
"98","Martellus Bennett","TE10","7","75","149","99.9","26.6","MARTELLUSBENNETT"
"99","Ryan Mathews","RB37","8","86","124","99.9","12.1","RYANMATHEWS"
"100","Rishard Matthews","WR42","5","93","107","100.1","4.8","RISHARDMATTHEWS"
"101","Jeremy Langford","RB38","7","26","122","84.5","35.9","JEREMYLANGFORD"
"102","Vincent Jackson","WR43","6","64","100","85.5","14.3","VINCENTJACKSON"
"103","Jimmy Graham","TE11","9","83","156","102.3","25.2","JIMMYGRAHAM"
"104","Pierre Garcon","WR44","8","64","104","87.0","13.0","PIERREGARCON"
"105","Karlos Williams","RB39","8","61","148","105.1","27.2","KARLOSWILLIAMS"
"106","Anquan Boldin","WR45","10","97","116","105.6","5.3","ANQUANBOLDIN"
"107","Blake Bortles","QB12","8","89","143","106.6","18.9","BLAKEBORTLES"
"108","Javorius Allen","RB40","9","40","179","91.8","56.5","JAVORIUSALLEN"
"109","Charles Clay","TE12","8","85","142","112.9","19.8","CHARLESCLAY"
"110","Tony Romo","QB13","6","68","172","98.3","38.2","TONYROMO"
"111","Marvin Jones","WR46","7","107","137","113.3","9.8","MARVINJONES"
"112","Thomas Rawls","RB41","9","20","173","78.4","64.3","THOMASRAWLS"
"113","Ted Ginn","WR47","5","108","127","115.0","6.5","TEDGINN"
"114","Derek Carr","QB14","6","91","146","101.8","19.8","DEREKCARR"
"115","Dorial Green-Beckham","WR48","4","84","145","118.4","17.7","DORIALGREENBECKHAM"
"116","Rashad Jennings","RB42","11","78","134","105.5","22.3","RASHADJENNINGS"
"117","Heath Miller","TE13","11","85","147","120.0","24.8","HEATHMILLER"
"118","Tavon Austin","WR49","6","103","220","122.9","39.7","TAVONAUSTIN"
"119","Tyrod Taylor","QB15","8","89","168","120.9","25.2","TYRODTAYLOR"
"120","Terrance Williams","WR50","6","98","131","124.9","11.0","TERRANCEWILLIAMS"
"121","Jay Cutler","QB16","7","91","135","113.2","15.8","JAYCUTLER"
"122","Ameer Abdullah","RB43","9","101","150","127.4","17.5","AMEERABDULLAH"
"123","Julius Thomas","TE14","8","85","153","127.9","23.8","JULIUSTHOMAS"
"124","Mike Wallace","WR51","5","106","131","115.8","9.8","MIKEWALLACE"
"125","Ryan Tannehill","QB17","5","95","158","128.7","20.9","RYANTANNEHILL"
"126","Darren Sproles","RB44","8","118","153","130.6","11.4","DARRENSPROLES"
"127","Jason Witten","TE15","6","126","147","132.3","8.2","JASONWITTEN"
"128","Rueben Randle","WR52","11","107","143","122.8","14.1","RUEBENRANDLE"
"129","Andre Ellington","RB45","9","118","150","134.1","12.0","ANDREELLINGTON"
"130","Roddy White","WR53","10","119","131","124.2","4.9","RODDYWHITE"
"131","Eric Ebron","TE16","9","115","142","125.3","8.7","ERICEBRON"
"132","Carlos Hyde","RB46","10","73","165","110.6","33.9","CARLOSHYDE"
"133","Eddie Royal","WR54","7","103","141","126.3","12.9","EDDIEROYAL"
"134","Joique Bell","RB47","9","118","170","137.7","17.0","JOIQUEBELL"
"135","Jamison Crowder","WR55","8","97","145","127.5","17.4","JAMISONCROWDER"
"136","Torrey Smith","WR56","10","110","154","128.0","13.4","TORREYSMITH"
"137","Devin Funchess","WR57","5","106","171","130.5","21.8","DEVINFUNCHESS"
"138","Marques Colston","WR58","11","120","146","135.7","9.2","MARQUESCOLSTON"
"139","Doug Baldwin","WR59","9","129","163","145.1","10.9","DOUGBALDWIN"
"140","Jacob Tamme","TE17","10","87","168","136.0","24.6","JACOBTAMME"
"141","Andre Johnson","WR60","10","121","158","136.0","11.5","ANDREJOHNSON"
"142","Tevin Coleman","RB48","10","128","172","146.1","13.7","TEVINCOLEMAN"
"143","Zach Ertz","TE18","8","133","168","148.4","10.5","ZACHERTZ"
"144","Isaiah Crowell","RB49","11","114","162","140.5","18.1","ISAIAHCROWELL"
"145","Chris Thompson","RB50","8","113","180","149.3","25.6","CHRISTHOMPSON"
"146","Alfred Morris","RB51","8","124","179","151.1","18.7","ALFREDMORRIS"
"147","Spencer Ware","RB52","9","70","148","115.0","28.7","SPENCERWARE"
"148","Leonard Hankerson","WR61","10","127","163","144.0","11.7","LEONARDHANKERSON"
"149","Nelson Agholor","WR62","8","127","171","146.8","14.1","NELSONAGHOLOR"
"150","Andrew Luck","QB18","10","38","208","123.3","64.1","ANDREWLUCK"
"151","Jay Ajayi","RB53","5","79","162","138.0","29.9","JAYAJAYI"
"152","Nate Washington","WR63","9","116","183","138.0","24.5","NATEWASHINGTON"
"153","Markus Wheaton","WR64","11","136","174","148.7","13.4","MARKUSWHEATON"
"154","James White","RB54","4","99","170","139.0","27.6","JAMESWHITE"
"155","Dontrelle Inman","WR65","10","111","158","139.0","18.2","DONTRELLEINMAN"
