"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","10","1.2","1.2","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","1","19","3.5","3.5","STEVENHAUSCHKA"
"3","Justin Tucker","2","16","4.6","3.0","JUSTINTUCKER"
"4","Dan Bailey","2","16","6.0","2.8","DANBAILEY"
"5","Matt Bryant","2","17","5.7","2.7","MATTBRYANT"
"6","Graham Gano","2","20","7.4","3.5","GRAHAMGANO"
"7","Sebastian Janikowski","1","22","8.0","4.4","SEBASTIANJANIKOWSKI"
"8","Chandler Catanzaro","2","19","8.3","2.9","CHANDLERCATANZARO"
"9","Cairo Santos","3","20","9.1","3.5","CAIROSANTOS"
"10","Brandon McManus","2","22","10.1","4.2","BRANDONMCMANUS"
"11","Mason Crosby","4","17","10.7","3.1","MASONCROSBY"
"12","Blair Walsh","2","17","10.7","3.4","BLAIRWALSH"
"13","Caleb Sturgis","6","18","13.2","2.9","CALEBSTURGIS"
"14","Mike Nugent","7","23","15.1","3.3","MIKENUGENT"
"15","Josh Lambo","5","24","14.8","3.8","JOSHLAMBO"
"16","Dan Carpenter","7","24","15.7","3.6","DANCARPENTER"
"17","Adam Vinatieri","2","21","16.1","4.1","ADAMVINATIERI"
"18","Robbie Gould","4","25","16.7","3.9","ROBBIEGOULD"
"19","Matt Prater","4","24","17.1","4.2","MATTPRATER"
"20","Greg Zuerlein","5","25","18.0","3.4","GREGZUERLEIN"
"21","Connor Barth","5","27","18.9","5.1","CONNORBARTH"
"22","Andrew Franks","10","27","19.9","4.8","ANDREWFRANKS"
"23","Randy Bullock","13","27","19.0","3.5","RANDYBULLOCK"
"24","Nick Novak","10","28","20.5","5.3","NICKNOVAK"
"25","Jason Myers","11","26","20.6","4.2","JASONMYERS"
"26","Dustin Hopkins","11","28","21.4","4.9","DUSTINHOPKINS"
"27","Josh Brown","15","26","20.5","5.5","JOSHBROWN"
"28","Phil Dawson","19","28","26.6","2.5","PHILDAWSON"
"29","Ryan Succop","21","28","24.4","1.9","RYANSUCCOP"
