"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"1","Cam Newton","QB1","at  ATL","1","9","2.7","1.5","CAMNEWTON"
"2","Ben Roethlisberger","QB2","at  BAL","1","8","3.2","1.9","BENROETHLISBERGER"
"3","Antonio Brown","WR1","at  BAL","2","9","4.2","1.0","ANTONIOBROWN"
"4","Blake Bortles","QB3","at  NO","2","12","5.5","1.8","BLAKEBORTLES"
"5","David Johnson","RB1","vs.  GB","1","39","6.3","8.7","DAVIDJOHNSON"
"6","Russell Wilson","QB4","vs.  STL","2","21","6.9","3.0","RUSSELLWILSON"
"7","Carson Palmer","QB5","vs.  GB","2","15","7.3","2.2","CARSONPALMER"
"8","Tom Brady","QB6","at  NYJ","3","23","9.7","2.7","TOMBRADY"
"9","DeAngelo Williams","RB2","at  BAL","1","42","12.2","9.5","DEANGELOWILLIAMS"
"10","Matthew Stafford","QB7","vs.  SF","8","31","12.8","4.2","MATTHEWSTAFFORD"
"11","Drew Brees","QB8","vs.  JAC","5","22","11.1","3.3","DREWBREES"
"12","Adrian Peterson","RB3","vs.  NYG","1","64","14.4","12.2","ADRIANPETERSON"
"13","Aaron Rodgers","QB9","at  ARI","9","27","14.6","2.6","AARONRODGERS"
"14","Allen Robinson","WR2","at  NO","6","59","15.9","7.4","ALLENROBINSON"
"15","Devonta Freeman","RB4","vs.  CAR","2","69","16.7","12.0","DEVONTAFREEMAN"
"16","Kirk Cousins","QB10","at  PHI","5","51","16.9","6.3","KIRKCOUSINS"
"17","DeAndre Hopkins","WR3","at  TEN","4","58","17.4","6.9","DEANDREHOPKINS"
"18","Ryan Fitzpatrick","QB11","vs.  NE","13","40","19.6","4.6","RYANFITZPATRICK"
"19","Derek Carr","QB12","vs.  SD","8","57","19.8","6.7","DEREKCARR"
"20","Tyrod Taylor","QB13","vs.  DAL","8","38","21.3","5.0","TYRODTAYLOR"
"21","Doug Martin","RB5","vs.  CHI","5","51","23.2","9.3","DOUGMARTIN"
"22","Brandon Marshall","WR4","vs.  NE","11","79","23.8","10.7","BRANDONMARSHALL"
"23","Philip Rivers","QB14","at  OAK","8","65","24.5","7.6","PHILIPRIVERS"
"24","Rob Gronkowski","TE1","at  NYJ","10","80","26.8","12.0","ROBGRONKOWSKI"
"25","Eli Manning","QB15","at  MIN","15","68","29.4","8.0","ELIMANNING"
"26","Charcandrick West","RB6","vs.  CLE","1","79","29.6","14.0","CHARCANDRICKWEST"
"27","Matt Forte","RB7","at  TB","7","69","29.7","11.7","MATTFORTE"
"28","Jameis Winston","QB16","vs.  CHI","16","62","30.8","7.7","JAMEISWINSTON"
"29","Mike Evans","WR5","vs.  CHI","8","57","31.5","8.3","MIKEEVANS"
"30","Alex Smith","QB17","vs.  CLE","11","82","31.9","9.2","ALEXSMITH"
"31","Martavis Bryant","WR6","at  BAL","18","80","35.2","8.6","MARTAVISBRYANT"
"32","Doug Baldwin","WR7","vs.  STL","12","115","37.2","15.2","DOUGBALDWIN"
"33","Julio Jones","WR8","vs.  CAR","10","79","37.7","14.3","JULIOJONES"
"34","Teddy Bridgewater","QB18","vs.  NYG","17","57","35.6","7.4","TEDDYBRIDGEWATER"
"35","Latavius Murray","RB8","vs.  SD","12","74","37.8","10.9","LATAVIUSMURRAY"
"36","Jeremy Maclin","WR9","vs.  CLE","16","67","38.5","8.9","JEREMYMACLIN"
"37","Demaryius Thomas","WR10","vs.  CIN","13","88","39.7","11.3","DEMARYIUSTHOMAS"
"38","Jay Cutler","QB19","at  TB","19","90","37.6","8.5","JAYCUTLER"
"39","Sammy Watkins","WR11","vs.  DAL","19","78","39.8","10.7","SAMMYWATKINS"
"40","Sam Bradford","QB20","vs.  WAS","21","87","40.2","8.7","SAMBRADFORD"
"41","Alshon Jeffery","WR12","at  TB","9","95","42.8","16.3","ALSHONJEFFERY"
"42","Ryan Tannehill","QB21","vs.  IND","22","85","41.9","7.0","RYANTANNEHILL"
"43","James White","RB9","at  NYJ","11","128","42.5","25.0","JAMESWHITE"
"44","Denard Robinson","RB10","at  NO","16","120","44.6","16.4","DENARDROBINSON"
"45","Darren McFadden","RB11","at  BUF","24","154","48.0","17.8","DARRENMCFADDEN"
"46","Eric Decker","WR13","vs.  NE","25","106","48.4","11.7","ERICDECKER"
"47","Brandin Cooks","WR14","vs.  JAC","14","92","50.6","11.5","BRANDINCOOKS"
"48","Todd Gurley","RB12","at  SEA","9","90","51.3","12.3","TODDGURLEY"
"49","Danny Woodhead","RB13","at  OAK","19","129","53.1","22.8","DANNYWOODHEAD"
"50","Lamar Miller","RB14","vs.  IND","23","134","53.6","18.3","LAMARMILLER"
"51","Jarvis Landry","WR15","vs.  IND","23","74","54.0","9.6","JARVISLANDRY"
"52","Greg Olsen","TE2","at  ATL","21","84","55.6","11.8","GREGOLSEN"
"53","DeSean Jackson","WR16","at  PHI","23","94","55.8","14.4","DESEANJACKSON"
"54","Brock Osweiler","QB22","vs.  CIN","19","92","50.3","9.3","BROCKOSWEILER"
"55","Matt Ryan","QB23","vs.  CAR","28","105","48.4","8.7","MATTRYAN"
"56","Johnny Manziel","QB24","at  KC","35","95","50.2","8.9","JOHNNYMANZIEL"
"57","Calvin Johnson","WR17","vs.  SF","20","103","58.3","16.9","CALVINJOHNSON"
"58","Jordan Reed","TE3","at  PHI","22","89","61.5","9.8","JORDANREED"
"59","Tim Hightower","RB15","vs.  JAC","19","98","61.6","13.7","TIMHIGHTOWER"
"60","Allen Hurns","WR18","at  NO","35","132","65.5","15.2","ALLENHURNS"
