"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","10","1.9","2.1","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","1","27","4.1","4.1","STEVENHAUSCHKA"
"3","Mason Crosby","1","14","4.9","3.0","MASONCROSBY"
"4","Chandler Catanzaro","1","19","5.9","3.4","CHANDLERCATANZARO"
"5","Cairo Santos","2","24","7.3","4.6","CAIROSANTOS"
"6","Graham Gano","1","18","7.7","3.4","GRAHAMGANO"
"7","Josh Brown","2","18","7.9","3.6","JOSHBROWN"
"8","Matt Bryant","1","24","8.6","5.2","MATTBRYANT"
"9","Dan Bailey","1","21","8.9","4.5","DANBAILEY"
"10","Brandon McManus","1","31","11.0","5.1","BRANDONMCMANUS"
"11","Blair Walsh","2","30","10.9","5.0","BLAIRWALSH"
"12","Justin Tucker","2","28","11.8","5.3","JUSTINTUCKER"
"13","Sebastian Janikowski","2","24","13.6","3.5","SEBASTIANJANIKOWSKI"
"14","Adam Vinatieri","2","21","14.1","3.3","ADAMVINATIERI"
"15","Mike Nugent","3","23","14.5","4.0","MIKENUGENT"
"16","Nick Novak","2","28","15.1","4.8","NICKNOVAK"
"17","Josh Lambo","3","27","16.3","4.3","JOSHLAMBO"
"18","Matt Prater","6","25","18.0","3.5","MATTPRATER"
"19","Robbie Gould","6","30","18.6","4.5","ROBBIEGOULD"
"20","Jason Myers","3","30","17.2","6.5","JASONMYERS"
"21","Connor Barth","5","27","17.6","5.0","CONNORBARTH"
"22","Caleb Sturgis","8","29","17.8","4.8","CALEBSTURGIS"
"23","Kai Forbath","5","29","18.2","5.9","KAIFORBATH"
"24","Chris Boswell","5","32","19.2","8.1","CHRISBOSWELL"
"25","Dustin Hopkins","3","31","19.9","6.6","DUSTINHOPKINS"
"26","Dan Carpenter","7","32","22.2","6.1","DANCARPENTER"
"27","Phil Dawson","6","32","23.8","6.9","PHILDAWSON"
"28","Randy Bullock","6","30","20.6","5.3","RANDYBULLOCK"
"29","Ryan Succop","12","29","24.1","4.7","RYANSUCCOP"
"30","Travis Coons","12","31","25.7","4.9","TRAVISCOONS"
"31","Greg Zuerlein","17","32","26.8","4.9","GREGZUERLEIN"
"32","Andrew Franks","20","32","27.2","3.6","ANDREWFRANKS"
