"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","17","1.6","2.3","STEPHENGOSTKOWSKI"
"2","Cairo Santos","1","28","4.0","3.4","CAIROSANTOS"
"3","Graham Gano","1","18","4.0","3.3","GRAHAMGANO"
"4","Chandler Catanzaro","2","14","5.3","2.4","CHANDLERCATANZARO"
"5","Steven Hauschka","2","24","6.0","3.9","STEVENHAUSCHKA"
"6","Brandon McManus","2","16","6.5","2.7","BRANDONMCMANUS"
"7","Josh Brown","2","21","7.5","3.0","JOSHBROWN"
"8","Mason Crosby","2","19","7.6","2.5","MASONCROSBY"
"9","Justin Tucker","2","27","9.7","4.3","JUSTINTUCKER"
"10","Mike Nugent","3","20","10.1","3.7","MIKENUGENT"
"11","Robbie Gould","4","20","11.9","3.1","ROBBIEGOULD"
"12","Blair Walsh","3","27","13.0","3.9","BLAIRWALSH"
"13","Adam Vinatieri","8","25","13.8","3.1","ADAMVINATIERI"
"14","Sebastian Janikowski","9","28","14.5","3.3","SEBASTIANJANIKOWSKI"
"15","Chris Boswell","1","21","13.4","4.5","CHRISBOSWELL"
"16","Dan Carpenter","6","29","16.0","4.0","DANCARPENTER"
"17","Matt Prater","1","25","16.4","3.9","MATTPRATER"
"18","Jason Myers","4","31","17.1","4.4","JASONMYERS"
"19","Connor Barth","8","29","18.4","4.6","CONNORBARTH"
"20","Dan Bailey","6","31","19.2","4.3","DANBAILEY"
"21","Dustin Hopkins","6","31","19.6","5.8","DUSTINHOPKINS"
"22","Ryan Succop","11","32","20.1","4.5","RYANSUCCOP"
"23","Randy Bullock","4","31","19.6","5.5","RANDYBULLOCK"
"24","Josh Lambo","10","31","21.2","4.8","JOSHLAMBO"
"25","Andrew Franks","9","30","20.7","5.5","ANDREWFRANKS"
"26","Shayne Graham","1","34","21.2","7.0","SHAYNEGRAHAM"
"27","Nick Novak","6","30","22.7","6.3","NICKNOVAK"
"28","Kai Forbath","9","30","22.4","5.4","KAIFORBATH"
"29","Caleb Sturgis","9","31","24.2","5.8","CALEBSTURGIS"
"30","Phil Dawson","12","32","26.4","4.9","PHILDAWSON"
"31","Zach Hocker","17","32","28.2","3.7","ZACHHOCKER"
"32","Travis Coons","20","32","29.7","3.2","TRAVISCOONS"
"33","Greg Zuerlein","21","33","28.4","3.2","GREGZUERLEIN"
