"Rank","Player","Best","Worst","Avg","Std"
"1","St. Louis Rams","1","3","1.4","0.6"
"2","Seattle Seahawks","1","8","2.2","1.3"
"3","Arizona Cardinals","1","9","3.1","1.3"
"4","Carolina Panthers","1","10","4.7","1.6"
"5","New York Jets","2","14","5.6","2.1"
"6","Minnesota Vikings","4","15","6.8","1.9"
"7","Atlanta Falcons","4","21","7.7","2.8"
"8","New England Patriots","4","15","9.0","2.4"
"9","Green Bay Packers","2","19","9.4","3.3"
"10","Kansas City Chiefs","3","21","10.3","3.2"
"11","Denver Broncos","6","22","10.4","2.9"
"12","Houston Texans","7","25","12.7","3.2"
"13","Tennessee Titans","5","23","14.2","3.2"
"14","New York Giants","7","26","14.0","3.9"
"15","Cincinnati Bengals","8","24","15.1","3.1"
"16","Dallas Cowboys","6","26","16.2","3.3"
"17","Detroit Lions","9","26","17.6","2.6"
"18","New Orleans Saints","12","28","18.3","3.9"
"19","San Francisco 49ers","8","28","18.4","4.1"
"20","Pittsburgh Steelers","10","28","19.1","4.3"
"21","San Diego Chargers","9","26","20.3","3.9"
"22","Oakland Raiders","8","28","18.7","5.1"
"23","Miami Dolphins","8","28","20.8","4.8"
"24","Chicago Bears","15","26","21.0","3.3"
"25","Baltimore Ravens","11","27","19.5","4.7"
"26","Indianapolis Colts","17","28","22.4","3.6"
"27","Tampa Bay Buccaneers","17","28","23.9","3.7"
"28","Cleveland Browns","15","28","24.5","3.3"
