"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","15","1.6","2.4","STEPHENGOSTKOWSKI"
"2","Brandon McManus","1","14","3.1","2.3","BRANDONMCMANUS"
"3","Justin Tucker","1","13","3.2","1.8","JUSTINTUCKER"
"4","Mason Crosby","1","15","4.8","2.4","MASONCROSBY"
"5","Josh Brown","2","21","6.7","3.4","JOSHBROWN"
"6","Steven Hauschka","1","22","6.6","2.8","STEVENHAUSCHKA"
"7","Blair Walsh","1","23","8.6","3.9","BLAIRWALSH"
"8","Mike Nugent","3","20","9.2","3.1","MIKENUGENT"
"9","Sebastian Janikowski","2","26","9.4","4.0","SEBASTIANJANIKOWSKI"
"10","Caleb Sturgis","2","24","10.8","3.4","CALEBSTURGIS"
"11","Graham Gano","4","22","11.0","3.4","GRAHAMGANO"
"12","Dan Bailey","4","24","12.5","3.8","DANBAILEY"
"13","Greg Zuerlein","3","22","13.3","3.3","GREGZUERLEIN"
"14","Chandler Catanzaro","5","25","14.4","3.3","CHANDLERCATANZARO"
"15","Chris Boswell","4","21","14.7","3.6","CHRISBOSWELL"
"16","Robbie Gould","4","28","15.4","4.5","ROBBIEGOULD"
"17","Kai Forbath","2","24","15.7","5.0","KAIFORBATH"
"18","Connor Barth","3","25","16.4","4.5","CONNORBARTH"
"19","Dustin Hopkins","4","27","16.8","4.0","DUSTINHOPKINS"
"20","Dan Carpenter","8","25","18.5","3.0","DANCARPENTER"
"21","Jason Myers","5","26","18.0","5.0","JASONMYERS"
"22","Randy Bullock","9","26","17.7","4.5","RANDYBULLOCK"
"23","Cairo Santos","7","28","21.2","5.3","CAIROSANTOS"
"24","Matt Prater","9","28","21.0","4.3","MATTPRATER"
"25","Andrew Franks","8","26","21.3","3.5","ANDREWFRANKS"
"26","Nick Novak","2","28","22.9","6.1","NICKNOVAK"
"27","Travis Coons","10","28","23.2","4.5","TRAVISCOONS"
"28","Ryan Succop","18","29","24.6","2.9","RYANSUCCOP"
