"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"94","Kamar Aiken","WR41","9","93","108","98.3","5.8","KAMARAIKEN"
"95","Jordan Matthews","WR42","8","94","103","99.0","4.1","JORDANMATTHEWS"
"96","James Starks","RB34","7","47","122","99.3","30.3","JAMESSTARKS"
"97","Rishard Matthews","WR43","5","98","103","99.8","2.0","RISHARDMATTHEWS"
"98","Blake Bortles","QB12","8","91","112","101.5","10.5","BLAKEBORTLES"
"99","Ryan Mathews","RB35","8","99","105","102.5","2.6","RYANMATHEWS"
"100","Theo Riddick","RB36","9","79","138","103.3","24.3","THEORIDDICK"
"101","Ameer Abdullah","RB37","9","74","118","104.8","17.9","AMEERABDULLAH"
"102","Thomas Rawls","RB38","9","9","9","9.0","0.0","THOMASRAWLS"
"103","C.J. Spiller","RB39","11","61","150","105.5","36.6","CJSPILLER"
"104","Karlos Williams","RB40","8","82","148","107.3","26.4","KARLOSWILLIAMS"
"105","Anquan Boldin","WR44","10","104","116","108.5","4.5","ANQUANBOLDIN"
"106","Mike Wallace","WR45","5","106","119","110.3","5.1","MIKEWALLACE"
"107","Jason Witten","TE10","6","83","126","110.8","16.4","JASONWITTEN"
"108","Eric Ebron","TE11","9","87","126","110.8","14.4","ERICEBRON"
"109","David Johnson","RB41","9","72","173","111.3","40.5","DAVIDJOHNSON"
"110","Jamison Crowder","WR46","8","97","140","111.3","17.6","JAMISONCROWDER"
"111","Eddie Royal","WR47","7","104","121","112.3","8.3","EDDIEROYAL"
"112","Charles Clay","TE12","8","87","133","113.0","16.6","CHARLESCLAY"
"113","Ted Ginn","WR48","5","110","116","113.0","3.0","TEDGINN"
"114","Marshawn Lynch","RB42","9","23","211","90.0","85.7","MARSHAWNLYNCH"
"115","Martellus Bennett","TE13","7","87","156","117.3","24.9","MARTELLUSBENNETT"
"116","Jeremy Langford","RB43","7","61","138","89.7","34.4","JEREMYLANGFORD"
"117","Derek Carr","QB13","6","89","92","90.7","1.2","DEREKCARR"
"118","Tyrod Taylor","QB14","8","95","135","119.0","14.7","TYRODTAYLOR"
