"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","3","1.1","0.4","STEPHENGOSTKOWSKI"
"2","Cairo Santos","1","17","3.9","3.1","CAIROSANTOS"
"3","Graham Gano","1","19","4.3","3.4","GRAHAMGANO"
"4","Chandler Catanzaro","2","14","5.4","2.3","CHANDLERCATANZARO"
"5","Steven Hauschka","2","24","5.8","4.0","STEVENHAUSCHKA"
"6","Brandon McManus","2","19","7.0","3.3","BRANDONMCMANUS"
"7","Josh Brown","2","18","7.4","3.0","JOSHBROWN"
"8","Mason Crosby","2","19","7.7","2.6","MASONCROSBY"
"9","Justin Tucker","2","26","9.5","3.8","JUSTINTUCKER"
"10","Mike Nugent","3","18","9.9","3.0","MIKENUGENT"
"11","Robbie Gould","1","20","12.2","3.5","ROBBIEGOULD"
"12","Blair Walsh","3","27","13.0","3.8","BLAIRWALSH"
"13","Adam Vinatieri","2","25","13.6","3.3","ADAMVINATIERI"
"14","Sebastian Janikowski","4","27","14.7","3.9","SEBASTIANJANIKOWSKI"
"15","Chris Boswell","1","20","13.1","4.7","CHRISBOSWELL"
"16","Dan Carpenter","7","28","15.5","3.7","DANCARPENTER"
"17","Matt Prater","7","25","17.0","3.5","MATTPRATER"
"18","Jason Myers","4","32","17.1","4.8","JASONMYERS"
"19","Dan Bailey","5","31","18.8","4.4","DANBAILEY"
"20","Connor Barth","8","30","18.4","4.7","CONNORBARTH"
"21","Ryan Succop","11","29","19.1","3.7","RYANSUCCOP"
"22","Dustin Hopkins","6","31","19.9","5.7","DUSTINHOPKINS"
"23","Andrew Franks","7","30","19.9","6.4","ANDREWFRANKS"
"24","Randy Bullock","4","31","19.7","5.8","RANDYBULLOCK"
"25","Kai Forbath","8","30","20.6","6.4","KAIFORBATH"
"26","Josh Lambo","11","31","20.6","4.5","JOSHLAMBO"
"27","Matt Bryant","12","25","17.9","4.1","MATTBRYANT"
"28","Shayne Graham","8","32","22.2","5.5","SHAYNEGRAHAM"
"29","Caleb Sturgis","5","31","24.5","6.2","CALEBSTURGIS"
"30","Nick Novak","15","30","23.9","4.7","NICKNOVAK"
"31","Phil Dawson","12","32","26.8","4.6","PHILDAWSON"
"32","Zach Hocker","17","32","27.5","4.1","ZACHHOCKER"
"33","Greg Zuerlein","18","32","26.6","4.4","GREGZUERLEIN"
"34","Travis Coons","26","32","30.2","2.0","TRAVISCOONS"
