"Rank","Player","Best","Worst","Avg","Std"
"1","Seattle Seahawks","1","9","1.3","0.9"
"2","Carolina Panthers","1","12","2.4","1.4"
"3","Denver Broncos","1","15","3.9","2.0"
"4","New York Jets","1","8","4.1","1.4"
"5","Philadelphia Eagles","2","12","5.8","2.0"
"6","New England Patriots","1","19","6.3","2.3"
"7","St. Louis Rams","1","17","6.9","2.2"
"8","Arizona Cardinals","3","27","9.0","3.9"
"9","Tennessee Titans","4","22","11.7","3.8"
"10","Cincinnati Bengals","5","28","11.9","4.4"
"11","Kansas City Chiefs","3","23","11.5","3.2"
"12","Green Bay Packers","4","23","12.8","3.0"
"13","Baltimore Ravens","3","24","13.5","3.4"
"14","Dallas Cowboys","5","25","14.7","3.2"
"15","Chicago Bears","4","26","15.1","3.8"
"16","Houston Texans","3","24","15.0","3.2"
"17","Tampa Bay Buccaneers","7","28","17.1","3.7"
"18","Oakland Raiders","4","27","17.1","3.7"
"19","Minnesota Vikings","4","27","17.4","4.0"
"20","Miami Dolphins","8","24","19.5","2.8"
"21","Jacksonville Jaguars","3","26","15.6","5.6"
"22","Atlanta Falcons","5","27","16.7","5.4"
"23","Buffalo Bills","11","28","20.7","4.3"
"24","San Francisco 49ers","16","28","24.0","3.6"
"25","San Diego Chargers","12","28","23.5","3.3"
"26","Indianapolis Colts","20","28","25.0","2.3"
"27","Detroit Lions","18","28","24.7","2.2"
"28","Washington Redskins","15","28","25.6","2.6"
