"Rank","Player","Best","Worst","Avg","Std"
"1","New York Jets","1","6","2.3","1.6"
"2","New England Patriots","1","6","3.0","1.5"
"3","St. Louis Rams","1","7","3.4","1.8"
"4","Denver Broncos","1","9","3.5","2.1"
"5","Atlanta Falcons","3","12","5.2","2.0"
"6","Cincinnati Bengals","1","15","6.1","2.6"
"7","Minnesota Vikings","2","12","6.9","2.4"
"8","Green Bay Packers","5","13","9.8","1.9"
"9","Carolina Panthers","2","22","10.3","3.8"
"10","Philadelphia Eagles","5","18","10.5","3.6"
"11","Dallas Cowboys","4","15","10.6","2.5"
"12","Buffalo Bills","4","17","11.2","2.6"
"13","New York Giants","7","23","13.2","3.7"
"14","Pittsburgh Steelers","11","19","15.0","1.8"
"15","Miami Dolphins","9","20","15.3","2.9"
"16","San Diego Chargers","12","24","16.9","2.4"
"17","New Orleans Saints","6","22","15.5","4.1"
"18","San Francisco 49ers","8","25","18.0","4.1"
"19","Indianapolis Colts","11","25","18.7","3.0"
"20","Tennessee Titans","10","24","18.2","4.1"
"21","Jacksonville Jaguars","12","25","17.9","3.5"
"22","Tampa Bay Buccaneers","13","24","18.9","2.8"
"23","Oakland Raiders","14","25","19.2","3.7"
"24","Chicago Bears","17","22","20.8","1.6"
"25","Cleveland Browns","18","26","23.3","2.4"
"26","Washington Redskins","21","26","25.2","1.9"
