"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"1","Devonta Freeman","RB1","vs.  IND","1","24","1.8","2.9","DEVONTAFREEMAN"
"2","Tom Brady","QB1","vs.  BUF","2","13","4.5","1.7","TOMBRADY"
"3","Julio Jones","WR1","vs.  IND","2","31","4.6","4.0","JULIOJONES"
"4","DeAndre Hopkins","WR2","vs.  NYJ","2","49","8.8","8.9","DEANDREHOPKINS"
"5","Cam Newton","QB2","vs.  WAS","4","20","8.7","3.0","CAMNEWTON"
"6","Derek Carr","QB3","at  DET","1","20","11.1","3.0","DEREKCARR"
"7","Aaron Rodgers","QB4","at  MIN","3","38","12.3","4.1","AARONRODGERS"
"8","Dez Bryant","WR3","at  MIA","5","47","14.6","7.8","DEZBRYANT"
"9","Demaryius Thomas","WR4","at  CHI","2","78","14.6","13.3","DEMARYIUSTHOMAS"
"10","Todd Gurley","RB2","at  BAL","1","48","14.9","10.4","TODDGURLEY"
"11","Rob Gronkowski","TE1","vs.  BUF","10","50","15.4","7.0","ROBGRONKOWSKI"
"12","Carson Palmer","QB5","vs.  CIN","6","26","13.6","3.2","CARSONPALMER"
"13","Calvin Johnson","WR5","vs.  OAK","3","40","16.1","8.7","CALVINJOHNSON"
"14","Lamar Miller","RB3","vs.  DAL","2","76","17.4","17.4","LAMARMILLER"
"15","Charcandrick West","RB4","at  SD","1","77","17.6","13.3","CHARCANDRICKWEST"
"16","Adrian Peterson","RB5","vs.  GB","1","34","18.4","10.7","ADRIANPETERSON"
"17","Mike Evans","WR6","at  PHI","5","92","18.7","10.4","MIKEEVANS"
"18","DeMarco Murray","RB6","vs.  TB","2","63","19.4","15.3","DEMARCOMURRAY"
"19","Philip Rivers","QB6","vs.  KC","4","46","17.6","5.9","PHILIPRIVERS"
"20","Larry Fitzgerald","WR7","vs.  CIN","2","47","21.1","9.8","LARRYFITZGERALD"
"21","Matt Ryan","QB7","vs.  IND","7","36","19.8","4.4","MATTRYAN"
"22","Blake Bortles","QB8","vs.  TEN","12","28","19.9","3.0","BLAKEBORTLES"
"23","Amari Cooper","WR8","at  DET","3","45","22.3","9.4","AMARICOOPER"
"24","Brandon Marshall","WR9","at  HOU","2","51","22.5","11.9","BRANDONMARSHALL"
"25","Allen Robinson","WR10","vs.  TEN","3","51","23.4","10.0","ALLENROBINSON"
"26","Tony Romo","QB9","at  MIA","13","57","22.2","6.2","TONYROMO"
"27","Russell Wilson","QB10","vs.  SF","11","46","25.2","5.2","RUSSELLWILSON"
"28","Matthew Stafford","QB11","vs.  OAK","7","52","26.5","6.7","MATTHEWSTAFFORD"
"29","Andy Dalton","QB12","at  ARI","17","55","26.6","7.0","ANDYDALTON"
"30","Danny Woodhead","RB7","vs.  KC","1","105","33.4","17.0","DANNYWOODHEAD"
"31","Tyrod Taylor","QB13","at  NE","12","57","32.4","8.3","TYRODTAYLOR"
"32","Jarvis Landry","WR11","vs.  DAL","2","75","34.9","9.2","JARVISLANDRY"
"33","A.J. Green","WR12","at  ARI","9","106","35.8","17.0","AJGREEN"
"34","Marcus Mariota","QB14","at  JAC","21","52","35.2","7.1","MARCUSMARIOTA"
"35","Darren McFadden","RB8","at  MIA","3","79","37.3","15.7","DARRENMCFADDEN"
"36","Michael Crabtree","WR13","at  DET","8","77","38.8","10.3","MICHAELCRABTREE"
"37","Alshon Jeffery","WR14","vs.  DEN","5","91","39.7","15.2","ALSHONJEFFERY"
"38","Eric Decker","WR15","at  HOU","3","89","39.8","11.4","ERICDECKER"
"39","Marshawn Lynch","RB9","vs.  SF","5","77","41.1","11.6","MARSHAWNLYNCH"
"40","Randall Cobb","WR16","at  MIN","8","85","41.8","13.4","RANDALLCOBB"
"41","Greg Olsen","TE2","vs.  WAS","14","84","43.6","9.3","GREGOLSEN"
"42","Ryan Tannehill","QB15","vs.  DAL","21","65","42.5","9.8","RYANTANNEHILL"
"43","Alex Smith","QB16","at  SD","21","65","45.0","11.3","ALEXSMITH"
"44","Christopher Ivory","RB10","at  HOU","25","87","47.4","13.0","CHRISIVORY"
"45","Ryan Fitzpatrick","QB17","at  HOU","21","62","40.7","8.7","RYANFITZPATRICK"
"46","Danny Amendola","WR17","vs.  BUF","2","84","49.6","11.9","DANNYAMENDOLA"
"47","Mark Sanchez","QB18","vs.  TB","22","72","46.5","11.9","MARKSANCHEZ"
"48","Latavius Murray","RB11","at  DET","5","82","51.4","13.6","LATAVIUSMURRAY"
"49","T.Y. Hilton","WR18","at  ATL","30","90","51.6","12.3","TYHILTON"
"50","LeSean McCoy","RB12","at  NE","15","90","51.7","14.7","LESEANMCCOY"
"51","Allen Hurns","WR19","vs.  TEN","18","98","54.6","14.5","ALLENHURNS"
