"Rank","Player","Best","Worst","Avg","Std"
"1","New England Patriots","1","8","2.4","2.0"
"2","Arizona Cardinals","1","12","2.7","2.6"
"3","Cincinnati Bengals","1","6","2.7","1.1"
"4","Denver Broncos","2","9","4.9","1.8"
"5","Carolina Panthers","2","11","6.3","2.9"
"6","Seattle Seahawks","3","16","6.4","2.9"
"7","Kansas City Chiefs","2","18","7.9","3.3"
"8","Green Bay Packers","5","22","9.1","4.3"
"9","Houston Texans","3","22","9.9","3.9"
"10","Chicago Bears","7","19","10.2","3.0"
"11","Buffalo Bills","5","19","12.3","2.6"
"12","New York Jets","7","19","12.6","3.1"
"13","Minnesota Vikings","5","21","13.6","3.5"
"14","Tennessee Titans","3","21","14.2","4.5"
"15","Miami Dolphins","9","25","16.0","4.1"
"16","Pittsburgh Steelers","6","20","15.7","3.3"
"17","Tampa Bay Buccaneers","4","23","15.7","4.7"
"18","Baltimore Ravens","9","22","15.6","3.4"
"19","St. Louis Rams","11","23","18.2","2.4"
"20","Washington Redskins","7","28","17.0","5.6"
"21","Cleveland Browns","8","28","20.6","4.5"
"22","New York Giants","10","27","20.8","4.7"
"23","Jacksonville Jaguars","14","25","19.8","3.6"
"24","Atlanta Falcons","17","29","23.4","4.1"
"25","Detroit Lions","14","31","22.6","6.3"
"26","Dallas Cowboys","13","25","21.1","4.1"
"27","San Francisco 49ers","19","30","24.1","3.9"
"28","Oakland Raiders","14","29","24.9","4.5"
"29","San Diego Chargers","19","31","27.4","3.7"
"30","Indianapolis Colts","27","32","29.4","1.6"
"31","Philadelphia Eagles","26","32","30.1","2.0"
"32","New Orleans Saints","28","32","31.0","1.4"
