"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","10","1.3","1.2","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","1","19","3.2","2.7","STEVENHAUSCHKA"
"3","Justin Tucker","1","21","4.7","3.2","JUSTINTUCKER"
"4","Matt Bryant","1","16","5.6","2.6","MATTBRYANT"
"5","Dan Bailey","2","16","5.9","2.7","DANBAILEY"
"6","Graham Gano","2","20","6.8","3.4","GRAHAMGANO"
"7","Chandler Catanzaro","2","17","7.4","2.6","CHANDLERCATANZARO"
"8","Sebastian Janikowski","1","22","8.5","4.0","SEBASTIANJANIKOWSKI"
"9","Cairo Santos","2","20","8.5","3.0","CAIROSANTOS"
"10","Brandon McManus","2","26","10.2","3.7","BRANDONMCMANUS"
"11","Mason Crosby","3","18","10.7","3.0","MASONCROSBY"
"12","Blair Walsh","2","19","11.4","3.1","BLAIRWALSH"
"13","Caleb Sturgis","6","21","12.9","2.9","CALEBSTURGIS"
"14","Mike Nugent","4","21","14.7","2.8","MIKENUGENT"
"15","Josh Lambo","5","24","14.6","3.1","JOSHLAMBO"
"16","Adam Vinatieri","2","22","16.7","3.3","ADAMVINATIERI"
"17","Dan Carpenter","8","24","16.8","3.1","DANCARPENTER"
"18","Robbie Gould","4","25","17.0","3.4","ROBBIEGOULD"
"19","Matt Prater","1","24","17.0","4.3","MATTPRATER"
"20","Greg Zuerlein","5","25","18.8","3.4","GREGZUERLEIN"
"21","Connor Barth","5","27","19.6","5.2","CONNORBARTH"
"22","Jason Myers","9","28","19.1","4.7","JASONMYERS"
"23","Andrew Franks","10","28","19.8","4.9","ANDREWFRANKS"
"24","Randy Bullock","13","27","19.7","3.7","RANDYBULLOCK"
"25","Nick Novak","3","28","21.2","5.9","NICKNOVAK"
"26","Dustin Hopkins","11","27","23.0","4.4","DUSTINHOPKINS"
"27","Ryan Succop","15","28","23.6","2.8","RYANSUCCOP"
"28","Phil Dawson","19","28","26.3","2.4","PHILDAWSON"
