"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","13","1.4","1.4","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","1","17","3.3","2.5","STEVENHAUSCHKA"
"3","Chandler Catanzaro","1","13","4.0","2.1","CHANDLERCATANZARO"
"4","Matt Bryant","1","17","4.6","2.4","MATTBRYANT"
"5","Adam Vinatieri","1","15","4.7","2.2","ADAMVINATIERI"
"6","Josh Brown","1","15","6.6","2.2","JOSHBROWN"
"7","Justin Tucker","2","22","7.3","3.6","JUSTINTUCKER"
"8","Josh Lambo","2","20","7.8","2.7","JOSHLAMBO"
"9","Dan Carpenter","4","23","10.7","3.5","DANCARPENTER"
"10","Blair Walsh","1","21","11.4","2.8","BLAIRWALSH"
"11","Dan Bailey","4","27","12.6","4.4","DANBAILEY"
"12","Graham Gano","1","25","12.6","3.5","GRAHAMGANO"
"13","Cairo Santos","6","28","13.9","4.0","CAIROSANTOS"
"14","Matt Prater","7","25","14.4","3.0","MATTPRATER"
"15","Nick Folk","6","26","15.6","3.4","NICKFOLK"
"16","Dustin Hopkins","4","27","16.2","4.0","DUSTINHOPKINS"
"17","Chris Boswell","5","26","16.3","3.9","CHRISBOSWELL"
"18","Travis Coons","10","28","18.3","4.0","TRAVISCOONS"
"19","Greg Zuerlein","2","28","17.3","4.7","GREGZUERLEIN"
"20","Kai Forbath","7","26","17.8","3.9","KAIFORBATH"
"21","Sebastian Janikowski","3","28","17.8","5.1","SEBASTIANJANIKOWSKI"
"22","Caleb Sturgis","9","26","17.3","4.8","CALEBSTURGIS"
"23","Phil Dawson","3","28","18.6","4.6","PHILDAWSON"
"24","Andrew Franks","6","25","17.6","5.0","ANDREWFRANKS"
"25","Nick Novak","7","27","20.1","5.3","NICKNOVAK"
"26","Zach Hocker","5","24","14.8","5.8","ZACHHOCKER"
"27","Ryan Succop","8","28","21.8","5.2","RYANSUCCOP"
"28","Jason Myers","14","28","22.2","4.2","JASONMYERS"
"29","Connor Barth","13","29","24.8","3.9","CONNORBARTH"
"30","Josh Scobee","13","28","21.3","6.2","JOSHSCOBEE"
