"Rank","Player","Best","Worst","Avg","Std"
"1","St. Louis Rams","1","4","1.4","0.8"
"2","Seattle Seahawks","1","16","2.6","1.9"
"3","Arizona Cardinals","1","11","3.0","1.6"
"4","Carolina Panthers","1","12","4.9","1.8"
"5","New York Jets","2","20","5.4","2.3"
"6","Minnesota Vikings","4","16","6.9","2.2"
"7","Atlanta Falcons","1","16","7.5","2.6"
"8","Green Bay Packers","2","17","8.6","2.4"
"9","New England Patriots","1","29","9.3","3.7"
"10","Denver Broncos","3","22","10.2","3.3"
"11","Kansas City Chiefs","4","19","11.6","2.9"
"12","Houston Texans","2","19","11.3","2.9"
"13","Tennessee Titans","6","27","13.7","3.1"
"14","New York Giants","6","22","14.3","3.4"
"15","Cincinnati Bengals","6","27","15.0","3.3"
"16","Dallas Cowboys","7","25","16.0","3.0"
"17","Detroit Lions","9","24","16.9","2.4"
"18","San Francisco 49ers","2","27","18.5","3.6"
"19","New Orleans Saints","10","28","19.1","3.9"
"20","Pittsburgh Steelers","6","27","19.2","3.5"
"21","Baltimore Ravens","9","28","19.1","5.1"
"22","Miami Dolphins","8","29","20.0","5.3"
"23","San Diego Chargers","13","28","21.1","2.9"
"24","Oakland Raiders","10","28","20.0","4.4"
"25","Chicago Bears","13","27","21.2","3.5"
"26","Indianapolis Colts","16","28","22.2","3.6"
"27","Cleveland Browns","5","28","23.2","5.3"
"28","Tampa Bay Buccaneers","16","28","24.2","3.6"
"29","Buffalo Bills","27","27","27.0","0.0"
"30","Philadelphia Eagles","28","28","28.0","0.0"
