"Rank","Player","Best","Worst","Avg","Std"
"1","Arizona Cardinals","1","11","2.3","2.3"
"2","New York Jets","1","8","3.0","1.9"
"3","Carolina Panthers","1","18","5.5","3.5"
"4","Kansas City Chiefs","1","18","5.5","3.6"
"5","Green Bay Packers","3","15","5.6","3.1"
"6","Seattle Seahawks","2","13","5.9","3.3"
"7","Cincinnati Bengals","1","13","6.4","3.5"
"8","New England Patriots","3","17","7.3","2.7"
"9","St. Louis Rams","5","28","10.3","4.4"
"10","Philadelphia Eagles","4","24","11.6","5.6"
"11","Denver Broncos","1","29","12.3","4.7"
"12","Baltimore Ravens","5","24","13.3","4.5"
"13","Houston Texans","9","24","14.7","3.5"
"14","Tampa Bay Buccaneers","8","25","15.2","3.8"
"15","Minnesota Vikings","10","30","16.7","4.3"
"16","New York Giants","6","20","15.6","3.0"
"17","Atlanta Falcons","6","26","18.5","4.2"
"18","Cleveland Browns","7","23","15.5","5.0"
"19","Miami Dolphins","12","25","18.4","3.1"
"20","Oakland Raiders","10","27","19.1","4.1"
"21","Buffalo Bills","12","20","15.3","2.3"
"22","Tennessee Titans","10","26","18.7","3.7"
"23","Detroit Lions","8","28","17.0","7.4"
"24","Pittsburgh Steelers","7","29","17.8","6.3"
"25","Dallas Cowboys","13","30","19.8","4.7"
"26","Jacksonville Jaguars","9","30","21.7","6.7"
"27","Indianapolis Colts","18","28","24.0","3.9"
"28","San Diego Chargers","14","29","25.4","4.8"
"29","Chicago Bears","20","32","27.0","4.6"
"30","San Francisco 49ers","8","32","26.4","7.9"
"31","Washington Redskins","21","31","26.7","3.9"
"32","New Orleans Saints","27","32","30.5","1.7"
