"Rank","Player","Best","Worst","Avg","Std"
"1","Cincinnati Bengals","1","18","2.2","2.4"
"2","Arizona Cardinals","1","22","2.7","2.9"
"3","New England Patriots","1","10","3.5","1.8"
"4","Denver Broncos","1","11","4.6","1.8"
"5","Carolina Panthers","1","16","5.2","2.6"
"6","Seattle Seahawks","1","21","6.9","3.2"
"7","Kansas City Chiefs","2","23","8.3","3.3"
"8","Houston Texans","3","25","9.3","4.0"
"9","Chicago Bears","2","27","10.4","4.0"
"10","New York Jets","2","24","11.6","3.6"
"11","Green Bay Packers","4","26","11.8","4.5"
"12","Buffalo Bills","3","24","12.7","3.3"
"13","Minnesota Vikings","4","28","13.7","3.9"
"14","Miami Dolphins","2","26","14.4","4.7"
"15","Tennessee Titans","2","27","13.8","4.5"
"16","Pittsburgh Steelers","3","30","16.2","4.0"
"17","Tampa Bay Buccaneers","7","27","16.6","3.6"
"18","St. Louis Rams","8","29","17.6","3.6"
"19","Baltimore Ravens","2","27","18.0","3.9"
"20","Washington Redskins","5","32","16.5","5.4"
"21","Jacksonville Jaguars","9","28","19.2","4.0"
"22","Dallas Cowboys","12","30","21.5","3.8"
"23","Detroit Lions","11","31","22.4","5.2"
"24","Atlanta Falcons","13","31","22.7","4.1"
"25","New York Giants","12","30","22.0","3.8"
"26","Cleveland Browns","8","32","25.5","5.4"
"27","Oakland Raiders","10","32","25.0","4.2"
"28","San Francisco 49ers","15","31","25.5","4.5"
"29","San Diego Chargers","5","31","25.4","5.3"
"30","Philadelphia Eagles","6","32","26.3","6.2"
"31","Indianapolis Colts","18","32","27.7","3.2"
"32","New Orleans Saints","10","32","30.7","3.8"
