"Rank","Player","Best","Worst","Avg","Std"
"1","St. Louis Rams","1","8","1.5","1.0"
"2","Seattle Seahawks","1","11","2.5","1.5"
"3","Arizona Cardinals","1","11","3.0","1.6"
"4","Carolina Panthers","1","12","4.7","1.7"
"5","New York Jets","2","25","5.6","2.6"
"6","Minnesota Vikings","4","16","6.9","2.2"
"7","Atlanta Falcons","2","16","7.6","2.5"
"8","Green Bay Packers","2","17","8.6","2.3"
"9","New England Patriots","3","29","9.2","3.6"
"10","Denver Broncos","1","22","10.0","3.2"
"11","Kansas City Chiefs","3","19","11.4","2.9"
"12","Houston Texans","2","19","11.4","2.9"
"13","Tennessee Titans","6","27","13.9","3.3"
"14","New York Giants","6","22","14.1","3.3"
"15","Cincinnati Bengals","2","27","15.0","3.7"
"16","Dallas Cowboys","8","25","16.3","2.8"
"17","Detroit Lions","9","24","17.0","2.4"
"18","San Francisco 49ers","2","28","18.5","3.5"
"19","New Orleans Saints","10","28","19.1","3.7"
"20","Pittsburgh Steelers","7","27","19.1","3.5"
"21","San Diego Chargers","13","28","20.8","3.1"
"22","Miami Dolphins","6","29","20.0","5.5"
"23","Baltimore Ravens","9","28","19.5","5.1"
"24","Oakland Raiders","10","28","20.1","4.5"
"25","Chicago Bears","13","27","21.2","3.5"
"26","Indianapolis Colts","16","28","22.1","3.5"
"27","Cleveland Browns","5","28","23.4","5.2"
"28","Tampa Bay Buccaneers","15","28","24.1","3.8"
"29","Buffalo Bills","27","27","27.0","0.0"
"30","Philadelphia Eagles","28","28","28.0","0.0"
