"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","10","1.4","1.8","STEPHENGOSTKOWSKI"
"2","Brandon McManus","1","11","3.2","2.2","BRANDONMCMANUS"
"3","Justin Tucker","1","6","3.0","1.3","JUSTINTUCKER"
"4","Mason Crosby","2","13","5.2","2.3","MASONCROSBY"
"5","Josh Brown","2","22","6.7","4.2","JOSHBROWN"
"6","Steven Hauschka","3","13","6.6","2.6","STEVENHAUSCHKA"
"7","Sebastian Janikowski","2","23","9.0","4.8","SEBASTIANJANIKOWSKI"
"8","Blair Walsh","4","20","9.6","3.8","BLAIRWALSH"
"9","Mike Nugent","3","15","9.6","2.8","MIKENUGENT"
"10","Graham Gano","6","21","10.9","3.2","GRAHAMGANO"
"11","Greg Zuerlein","3","17","11.0","3.0","GREGZUERLEIN"
"12","Dan Bailey","4","17","10.6","3.6","DANBAILEY"
"13","Caleb Sturgis","5","18","12.2","3.6","CALEBSTURGIS"
"14","Robbie Gould","5","27","14.6","5.2","ROBBIEGOULD"
"15","Chandler Catanzaro","4","19","15.2","3.5","CHANDLERCATANZARO"
"16","Dan Carpenter","7","25","16.4","3.3","DANCARPENTER"
"17","Chris Boswell","5","21","15.4","4.5","CHRISBOSWELL"
"18","Dustin Hopkins","8","23","16.5","3.1","DUSTINHOPKINS"
"19","Kai Forbath","6","22","16.1","4.3","KAIFORBATH"
"20","Connor Barth","3","24","16.2","6.1","CONNORBARTH"
"21","Nick Folk","5","28","15.3","6.8","NICKFOLK"
"22","Travis Coons","10","26","18.6","5.2","TRAVISCOONS"
"23","Andrew Franks","15","25","19.5","3.1","ANDREWFRANKS"
"24","Jason Myers","9","26","19.3","4.4","JASONMYERS"
"25","Cairo Santos","12","28","22.4","4.7","CAIROSANTOS"
"26","Matt Prater","14","24","21.2","3.2","MATTPRATER"
"27","Ryan Succop","18","28","22.3","2.5","RYANSUCCOP"
"28","Nick Novak","22","27","24.6","2.1","NICKNOVAK"
