"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"1","Devonta Freeman","RB1","10","1","2","1.3","0.5","DEVONTAFREEMAN"
"2","Todd Gurley","RB2","6","1","4","2.2","1.1","TODDGURLEY"
"3","Adrian Peterson","RB3","5","2","6","4.0","1.7","ADRIANPETERSON"
"4","Julio Jones","WR1","10","3","6","4.2","1.1","JULIOJONES"
"5","Rob Gronkowski","TE1","4","5","8","6.5","1.0","ROBGRONKOWSKI"
"6","Marshawn Lynch","RB4","9","5","14","8.0","2.9","MARSHAWNLYNCH"
"7","Antonio Brown","WR2","11","4","13","8.3","3.3","ANTONIOBROWN"
"8","DeAndre Hopkins","WR3","9","4","15","9.2","4.1","DEANDREHOPKINS"
"9","Odell Beckham","WR4","11","8","14","11.0","2.0","ODELLBECKHAM"
"10","Dion Lewis","RB5","4","3","33","12.7","10.2","DIONLEWIS"
"11","A.J. Green","WR5","7","10","21","14.2","3.6","AJGREEN"
"12","Lamar Miller","RB6","5","10","21","15.7","3.4","LAMARMILLER"
"13","Mark Ingram","RB7","11","7","44","15.8","12.7","MARKINGRAM"
"14","Christopher Ivory","RB8","5","11","24","15.8","4.4","CHRISIVORY"
"15","Latavius Murray","RB9","6","10","31","18.7","7.4","LATAVIUSMURRAY"
"16","Demaryius Thomas","WR6","7","14","27","20.5","4.3","DEMARYIUSTHOMAS"
"17","Alshon Jeffery","WR7","7","11","38","21.7","9.2","ALSHONJEFFERY"
"18","Julian Edelman","WR8","4","11","36","21.8","8.5","JULIANEDELMAN"
"19","Tom Brady","QB1","4","20","24","22.3","1.2","TOMBRADY"
"20","Justin Forsett","RB10","9","17","32","23.0","5.2","JUSTINFORSETT"
"21","Charcandrick West","RB11","9","15","37","23.5","7.1","CHARCANDRICKWEST"
"22","Calvin Johnson","WR9","9","17","32","23.5","5.0","CALVINJOHNSON"
"23","LeSean McCoy","RB12","8","11","36","25.2","9.0","LESEANMCCOY"
"24","Emmanuel Sanders","WR10","7","19","38","26.8","7.0","EMMANUELSANDERS"
"25","Randall Cobb","WR11","7","17","44","27.2","8.6","RANDALLCOBB"
"26","Larry Fitzgerald","WR12","9","16","38","27.7","8.1","LARRYFITZGERALD"
"27","Eddie Lacy","RB13","7","11","45","28.7","12.6","EDDIELACY"
"28","Doug Martin","RB14","6","14","56","28.7","14.2","DOUGMARTIN"
"29","Aaron Rodgers","QB2","7","26","37","28.8","3.9","AARONRODGERS"
"30","Matt Forte","RB15","7","3","77","29.7","23.3","MATTFORTE"
"31","Brandon Marshall","WR13","5","8","39","29.8","10.8","BRANDONMARSHALL"
"32","Frank Gore","RB16","10","19","46","30.8","9.3","FRANKGORE"
"33","Amari Cooper","WR14","6","21","47","33.7","9.8","AMARICOOPER"
"34","Allen Robinson","WR15","8","17","49","34.8","10.2","ALLENROBINSON"
"35","Greg Olsen","TE2","5","28","64","37.0","12.9","GREGOLSEN"
"36","Chris Johnson","RB17","9","7","93","37.7","28.0","CHRISJOHNSON"
"37","Dez Bryant","WR16","6","32","47","39.2","5.6","DEZBRYANT"
"38","Jeremy Hill","RB18","7","26","56","39.5","10.2","JEREMYHILL"
"39","Carson Palmer","QB3","9","30","53","41.0","10.1","CARSONPALMER"
"40","Jonathan Stewart","RB19","5","35","55","43.7","6.4","JONATHANSTEWART"
"41","DeMarco Murray","RB20","8","37","52","43.8","4.7","DEMARCOMURRAY"
"42","Mike Evans","WR17","6","34","57","44.3","7.4","MIKEEVANS"
"43","Danny Woodhead","RB21","10","37","54","44.5","6.0","DANNYWOODHEAD"
"44","T.J. Yeldon","RB22","8","40","52","45.0","3.7","TJYELDON"
"45","T.Y. Hilton","WR18","10","38","63","46.8","9.0","TYHILTON"
"46","Tyler Eifert","TE3","7","28","74","48.5","16.2","TYLEREIFERT"
"47","Stefon Diggs","WR19","5","33","59","49.3","9.3","STEFONDIGGS"
"48","Martavis Bryant","WR20","11","36","57","49.8","6.6","MARTAVISBRYANT"
"49","Jarvis Landry","WR21","5","41","62","51.2","6.7","JARVISLANDRY"
"50","Andy Dalton","QB4","7","38","61","53.2","7.5","ANDYDALTON"
"51","Eric Decker","WR22","5","43","62","56.8","6.9","ERICDECKER"
"52","Jeremy Maclin","WR23","9","47","75","57.7","9.6","JEREMYMACLIN"
"53","James Jones","WR24","7","49","66","58.7","6.7","JAMESJONES"
"54","Philip Rivers","QB5","10","42","80","59.2","11.7","PHILIPRIVERS"
"55","DeAngelo Williams","RB23","11","9","42","31.0","11.6","DEANGELOWILLIAMS"
"56","John Brown","WR25","9","48","73","60.0","8.7","JOHNBROWN"
"57","Brandin Cooks","WR26","11","40","72","60.2","9.8","BRANDINCOOKS"
"58","LeGarrette Blount","RB24","4","51","71","60.7","8.0","LEGARRETTEBLOUNT"
"59","Andrew Luck","QB6","10","49","81","61.7","9.9","ANDREWLUCK"
"60","Cam Newton","QB7","5","51","66","62.2","5.1","CAMNEWTON"
"61","Drew Brees","QB8","11","48","81","62.8","9.8","DREWBREES"
"62","Allen Hurns","WR27","8","39","97","64.0","18.4","ALLENHURNS"
"63","Donte Moncrief","WR28","10","56","78","64.5","7.4","DONTEMONCRIEF"
"64","Gary Barnidge","TE4","11","30","104","64.7","26.7","GARYBARNIDGE"
"65","Ben Roethlisberger","QB9","11","33","113","64.8","24.4","BENROETHLISBERGER"
"66","Giovani Bernard","RB25","7","30","68","48.0","14.5","GIOVANIBERNARD"
"67","C.J. Anderson","RB26","7","54","95","77.0","12.9","CJANDERSON"
