"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"1","DeAndre Hopkins","WR1","vs.  NO","1","17","6.3","2.6","DEANDREHOPKINS"
"2","Adrian Peterson","RB1","at  ATL","1","53","3.6","7.2","ADRIANPETERSON"
"3","Carson Palmer","QB1","at  SF","1","19","4.6","3.4","CARSONPALMER"
"4","Aaron Rodgers","QB2","vs.  CHI","1","10","2.8","2.0","AARONRODGERS"
"5","Cam Newton","QB3","at  DAL","1","10","4.7","2.0","CAMNEWTON"
"6","Todd Gurley","RB2","at  CIN","1","36","8.8","7.1","TODDGURLEY"
"7","Julio Jones","WR2","vs.  MIN","3","25","13.3","4.3","JULIOJONES"
"8","Tom Brady","QB4","at  DEN","3","18","9.0","3.5","TOMBRADY"
"9","Eli Manning","QB5","at  WAS","5","20","9.1","2.9","ELIMANNING"
"10","Drew Brees","QB6","at  HOU","1","29","10.8","4.8","DREWBREES"
"11","Odell Beckham","WR3","at  WAS","5","39","17.2","5.9","ODELLBECKHAM"
"12","Doug Martin","RB3","at  IND","2","51","16.2","11.8","DOUGMARTIN"
"13","Blake Bortles","QB7","vs.  SD","6","37","14.0","5.1","BLAKEBORTLES"
"14","Antonio Brown","WR4","at  SEA","4","43","20.4","6.8","ANTONIOBROWN"
"15","Russell Wilson","QB8","vs.  PIT","8","43","16.8","7.4","RUSSELLWILSON"
"16","Matthew Stafford","QB9","vs.  PHI","7","48","18.2","9.0","MATTHEWSTAFFORD"
"17","Philip Rivers","QB10","at  JAC","8","40","18.6","6.4","PHILIPRIVERS"
"18","DeMarco Murray","RB4","at  DET","2","70","22.5","15.0","DEMARCOMURRAY"
"19","Larry Fitzgerald","WR5","at  SF","6","46","25.9","6.7","LARRYFITZGERALD"
"20","Ben Roethlisberger","QB11","at  SEA","3","44","20.3","9.1","BENROETHLISBERGER"
"21","Derek Carr","QB12","at  TEN","11","38","21.3","5.4","DEREKCARR"
"22","Andy Dalton","QB13","vs.  STL","10","43","21.8","6.9","ANDYDALTON"
"23","Rob Gronkowski","TE1","at  DEN","6","92","27.9","16.8","ROBGRONKOWSKI"
"24","Matt Ryan","QB14","vs.  MIN","9","45","25.2","8.8","MATTRYAN"
"25","Brian Hoyer","QB15","vs.  NO","8","47","19.2","8.1","BRIANHOYER"
"26","Demaryius Thomas","WR6","vs.  NE","8","53","31.2","8.8","DEMARYIUSTHOMAS"
"27","Allen Robinson","WR7","vs.  SD","11","42","33.7","5.4","ALLENROBINSON"
"28","Calvin Johnson","WR8","vs.  PHI","17","59","33.8","8.1","CALVINJOHNSON"
"29","Darren McFadden","RB5","vs.  CAR","3","71","31.7","16.7","DARRENMCFADDEN"
"30","Mark Ingram","RB6","at  HOU","3","73","32.1","15.4","MARKINGRAM"
"31","Thomas Rawls","RB7","vs.  PIT","8","73","34.1","13.5","THOMASRAWLS"
"32","Mike Evans","WR9","at  IND","10","93","36.9","9.5","MIKEEVANS"
"33","Tony Romo","QB16","vs.  CAR","14","49","29.8","8.4","TONYROMO"
"34","Brandon Marshall","WR10","vs.  MIA","7","80","38.3","10.8","BRANDONMARSHALL"
"35","LeSean McCoy","RB8","at  KC","2","70","35.6","11.8","LESEANMCCOY"
"36","Marcus Mariota","QB17","vs.  OAK","16","56","30.8","8.8","MARCUSMARIOTA"
"37","Jonathan Stewart","RB9","at  DAL","9","76","37.8","16.8","JONATHANSTEWART"
"38","T.J. Yeldon","RB10","vs.  SD","1","94","38.0","16.5","TJYELDON"
"39","Jameis Winston","QB18","at  IND","13","55","34.3","8.4","JAMEISWINSTON"
"40","Dez Bryant","WR11","vs.  CAR","12","96","43.4","11.5","DEZBRYANT"
"41","Christopher Ivory","RB11","vs.  MIA","9","98","44.2","17.2","CHRISIVORY"
"42","A.J. Green","WR12","vs.  STL","19","86","47.5","10.7","AJGREEN"
"43","Amari Cooper","WR13","at  TEN","13","77","50.2","10.5","AMARICOOPER"
"44","Eric Decker","WR14","vs.  MIA","15","66","51.8","7.3","ERICDECKER"
"45","Greg Olsen","TE2","at  DAL","18","77","53.0","11.0","GREGOLSEN"
"46","Jay Cutler","QB19","at  GB","21","78","40.1","8.6","JAYCUTLER"
"47","Brandin Cooks","WR15","at  HOU","16","80","53.4","9.8","BRANDINCOOKS"
"48","Alshon Jeffery","WR16","at  GB","14","121","52.5","19.5","ALSHONJEFFERY"
"49","Randall Cobb","WR17","vs.  CHI","19","102","55.4","13.8","RANDALLCOBB"
