"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"1","Julio Jones","WR1","at  TB","2","9","3.7","2.3","JULIOJONES"
"2","Antonio Brown","WR2","vs.  IND","2","10","5.3","2.9","ANTONIOBROWN"
"3","Cam Newton","QB1","at  NO","4","12","5.6","2.7","CAMNEWTON"
"4","Tom Brady","QB2","vs.  PHI","4","13","7.4","2.6","TOMBRADY"
"5","Adrian Peterson","RB1","vs.  SEA","1","28","8.8","8.1","ADRIANPETERSON"
"6","Ben Roethlisberger","QB3","vs.  IND","4","12","9.6","2.5","BENROETHLISBERGER"
"7","DeAndre Hopkins","WR3","at  BUF","5","22","10.3","4.1","DEANDREHOPKINS"
"8","Aaron Rodgers","QB4","at  DET","7","18","12.7","2.4","AARONRODGERS"
"9","DeAngelo Williams","RB2","vs.  IND","1","76","12.8","17.9","DEANGELOWILLIAMS"
"10","Carson Palmer","QB5","at  STL","12","18","13.8","1.9","CARSONPALMER"
"11","Andy Dalton","QB6","at  CLE","12","21","14.9","2.4","ANDYDALTON"
"12","Brandon Marshall","WR4","at  NYG","5","32","15.2","9.0","BRANDONMARSHALL"
"13","LeSean McCoy","RB3","vs.  HOU","3","48","16.4","13.9","LESEANMCCOY"
"14","Odell Beckham","WR5","vs.  NYJ","9","22","16.5","4.9","ODELLBECKHAM"
"15","Alshon Jeffery","WR6","vs.  SF","5","48","17.7","10.7","ALSHONJEFFERY"
"16","Calvin Johnson","WR7","vs.  GB","10","44","17.8","8.2","CALVINJOHNSON"
"17","Matthew Stafford","QB7","vs.  GB","13","45","19.6","6.0","MATTHEWSTAFFORD"
"18","Larry Fitzgerald","WR8","at  STL","2","42","21.6","12.7","LARRYFITZGERALD"
"19","Jay Cutler","QB8","vs.  SF","18","37","22.1","5.4","JAYCUTLER"
"20","Drew Brees","QB9","vs.  CAR","16","36","23.7","5.3","DREWBREES"
"21","Todd Gurley","RB4","vs.  ARI","3","62","24.5","14.5","TODDGURLEY"
"22","Russell Wilson","QB10","at  MIN","16","38","24.6","5.3","RUSSELLWILSON"
"23","Devonta Freeman","RB5","at  TB","1","75","16.3","20.8","DEVONTAFREEMAN"
"24","Allen Robinson","WR9","at  TEN","5","42","26.4","8.7","ALLENROBINSON"
"25","A.J. Green","WR10","at  CLE","9","60","27.5","12.7","AJGREEN"
"26","Ryan Fitzpatrick","QB11","at  NYG","18","56","28.9","10.5","RYANFITZPATRICK"
"27","Ryan Tannehill","QB12","vs.  BAL","16","65","31.0","13.0","RYANTANNEHILL"
"28","Marcus Mariota","QB13","vs.  JAC","20","54","31.2","9.1","MARCUSMARIOTA"
"29","Demaryius Thomas","WR11","at  SD","9","46","31.5","8.9","DEMARYIUSTHOMAS"
"30","Eli Manning","QB14","vs.  NYJ","21","45","31.7","6.5","ELIMANNING"
"31","Jarvis Landry","WR12","vs.  BAL","8","60","33.2","10.7","JARVISLANDRY"
"32","Doug Martin","RB6","vs.  ATL","3","82","33.3","20.1","DOUGMARTIN"
"33","Jonathan Stewart","RB7","at  NO","1","92","33.6","21.2","JONATHANSTEWART"
"34","Martavis Bryant","WR13","vs.  IND","10","53","34.6","10.5","MARTAVISBRYANT"
