"Rank","Player","Best","Worst","Avg","Std"
"1","Denver Broncos","1","4","2.2","1.2"
"2","Arizona Cardinals","1","3","2.4","0.8"
"3","Seattle Seahawks","2","6","3.8","1.6"
"4","St. Louis Rams","1","11","5.0","3.3"
"5","New England Patriots","2","9","5.0","2.4"
"6","Carolina Panthers","1","12","6.6","3.5"
"7","Houston Texans","4","14","9.2","3.3"
"8","Buffalo Bills","5","16","9.8","3.9"
"9","Cincinnati Bengals","6","15","10.2","3.4"
"10","Kansas City Chiefs","5","16","10.4","4.8"
"11","Philadelphia Eagles","8","20","10.8","4.7"
"12","Green Bay Packers","9","18","12.4","3.1"
"13","New York Jets","10","25","13.8","5.7"
"14","Minnesota Vikings","8","22","15.8","4.7"
"15","Miami Dolphins","7","17","13.0","4.2"
"16","Baltimore Ravens","12","18","14.5","2.2"
"17","Pittsburgh Steelers","16","26","18.4","3.8"
"18","New York Giants","13","27","19.8","4.5"
"19","Atlanta Falcons","14","28","20.0","4.6"
"20","Cleveland Browns","15","21","18.3","2.4"
"21","Detroit Lions","13","27","19.5","5.0"
"22","Tennessee Titans","15","25","20.8","3.6"
"23","Tampa Bay Buccaneers","12","28","22.0","6.2"
"24","Dallas Cowboys","11","30","21.3","7.8"
"25","San Francisco 49ers","19","25","21.3","2.6"
"26","Indianapolis Colts","18","24","21.7","2.6"
"27","Washington Redskins","14","32","26.5","7.3"
"28","Jacksonville Jaguars","23","27","24.7","1.7"
"29","Chicago Bears","20","32","27.0","5.1"
"30","San Diego Chargers","24","31","28.3","3.1"
"31","Oakland Raiders","26","32","28.7","2.5"
"32","New Orleans Saints","29","31","30.0","0.8"
