"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","11","1.4","1.5","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","1","27","3.3","3.3","STEVENHAUSCHKA"
"3","Justin Tucker","1","13","3.8","1.8","JUSTINTUCKER"
"4","Chandler Catanzaro","2","16","5.2","2.3","CHANDLERCATANZARO"
"5","Matt Bryant","1","18","5.7","2.9","MATTBRYANT"
"6","Josh Brown","2","18","7.1","2.9","JOSHBROWN"
"7","Brandon McManus","1","20","7.0","4.2","BRANDONMCMANUS"
"8","Mason Crosby","2","17","8.9","2.8","MASONCROSBY"
"9","Cairo Santos","2","25","9.9","3.3","CAIROSANTOS"
"10","Josh Lambo","1","21","10.6","3.6","JOSHLAMBO"
"11","Graham Gano","3","22","11.7","3.8","GRAHAMGANO"
"12","Blair Walsh","3","25","12.5","3.2","BLAIRWALSH"
"13","Adam Vinatieri","3","26","13.1","4.8","ADAMVINATIERI"
"14","Nick Folk","2","22","13.0","3.1","NICKFOLK"
"15","Dan Bailey","5","27","16.0","4.7","DANBAILEY"
"16","Robbie Gould","5","26","15.9","3.7","ROBBIEGOULD"
"17","Greg Zuerlein","3","24","16.6","3.9","GREGZUERLEIN"
"18","Kai Forbath","5","26","16.3","4.4","KAIFORBATH"
"19","Matt Prater","8","26","18.0","3.4","MATTPRATER"
"20","Sebastian Janikowski","4","28","19.1","3.7","SEBASTIANJANIKOWSKI"
"21","Chris Boswell","5","24","16.0","4.5","CHRISBOSWELL"
"22","Mike Nugent","7","24","16.7","4.2","MIKENUGENT"
"23","Travis Coons","10","28","20.7","4.5","TRAVISCOONS"
"24","Andrew Franks","6","26","20.5","4.0","ANDREWFRANKS"
"25","Connor Barth","8","28","20.9","5.1","CONNORBARTH"
"26","Nick Novak","9","28","20.7","4.9","NICKNOVAK"
"27","Ryan Succop","6","28","22.0","4.7","RYANSUCCOP"
"28","Phil Dawson","14","28","23.0","4.3","PHILDAWSON"
