"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","15","1.4","1.9","STEPHENGOSTKOWSKI"
"2","Justin Tucker","1","13","3.2","1.8","JUSTINTUCKER"
"3","Brandon McManus","1","14","3.3","2.5","BRANDONMCMANUS"
"4","Mason Crosby","1","15","4.7","2.4","MASONCROSBY"
"5","Steven Hauschka","1","22","6.8","3.0","STEVENHAUSCHKA"
"6","Josh Brown","3","21","7.1","3.5","JOSHBROWN"
"7","Mike Nugent","2","20","9.2","3.3","MIKENUGENT"
"8","Blair Walsh","2","23","9.0","4.1","BLAIRWALSH"
"9","Sebastian Janikowski","3","26","9.6","4.1","SEBASTIANJANIKOWSKI"
"10","Caleb Sturgis","2","24","10.8","3.6","CALEBSTURGIS"
"11","Graham Gano","4","22","10.9","3.3","GRAHAMGANO"
"12","Dan Bailey","3","24","12.5","4.2","DANBAILEY"
"13","Greg Zuerlein","2","21","13.1","3.3","GREGZUERLEIN"
"14","Chandler Catanzaro","4","25","14.4","3.5","CHANDLERCATANZARO"
"15","Chris Boswell","4","21","14.5","3.5","CHRISBOSWELL"
"16","Kai Forbath","2","24","15.1","5.0","KAIFORBATH"
"17","Robbie Gould","4","28","15.5","4.6","ROBBIEGOULD"
"18","Connor Barth","3","25","16.2","4.8","CONNORBARTH"
"19","Dustin Hopkins","4","27","16.6","4.1","DUSTINHOPKINS"
"20","Dan Carpenter","8","25","18.6","2.9","DANCARPENTER"
"21","Jason Myers","5","26","17.9","5.0","JASONMYERS"
"22","Randy Bullock","9","26","17.5","4.3","RANDYBULLOCK"
"23","Cairo Santos","7","28","21.2","5.0","CAIROSANTOS"
"24","Matt Prater","9","28","21.0","4.2","MATTPRATER"
"25","Nick Novak","2","28","22.8","7.0","NICKNOVAK"
"26","Travis Coons","9","29","23.2","5.0","TRAVISCOONS"
"27","Andrew Franks","15","26","21.4","2.9","ANDREWFRANKS"
"28","Ryan Succop","18","29","24.6","2.8","RYANSUCCOP"
