"Rank","Player","Best","Worst","Avg","Std"
"1","Arizona Cardinals","1","9","1.5","1.3"
"2","New York Jets","1","22","4.2","3.6"
"3","Kansas City Chiefs","1","27","4.3","3.3"
"4","Cincinnati Bengals","1","22","4.8","2.9"
"5","Carolina Panthers","1","26","5.9","4.0"
"6","New England Patriots","1","20","6.8","2.5"
"7","Green Bay Packers","2","18","7.2","3.5"
"8","Seattle Seahawks","1","20","7.5","3.6"
"9","Denver Broncos","1","29","10.2","4.5"
"10","Philadelphia Eagles","3","25","11.8","4.6"
"11","St. Louis Rams","4","32","12.1","5.2"
"12","Baltimore Ravens","5","26","13.0","3.5"
"13","Houston Texans","5","28","14.2","3.8"
"14","Tampa Bay Buccaneers","8","26","15.4","3.4"
"15","Minnesota Vikings","6","28","15.6","3.7"
"16","Cleveland Browns","1","29","15.3","5.7"
"17","New York Giants","1","31","16.5","4.6"
"18","Atlanta Falcons","6","29","18.5","4.2"
"19","Miami Dolphins","9","28","18.9","3.5"
"20","Oakland Raiders","5","31","18.9","4.2"
"21","Detroit Lions","4","29","15.7","6.8"
"22","Buffalo Bills","5","28","17.8","4.8"
"23","Pittsburgh Steelers","6","31","19.1","6.4"
"24","Tennessee Titans","11","31","20.4","4.6"
"25","Jacksonville Jaguars","7","30","19.9","5.9"
"26","Dallas Cowboys","10","30","21.2","4.7"
"27","San Diego Chargers","7","30","25.2","4.8"
"28","Indianapolis Colts","18","31","25.4","3.3"
"29","Chicago Bears","15","32","28.1","3.7"
"30","Washington Redskins","18","32","28.5","3.3"
"31","San Francisco 49ers","16","32","29.3","3.6"
"32","New Orleans Saints","11","32","29.5","3.7"
