"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","6","1.6","1.3","STEPHENGOSTKOWSKI"
"2","Cairo Santos","1","7","2.9","1.5","CAIROSANTOS"
"3","Steven Hauschka","1","5","3.0","1.1","STEVENHAUSCHKA"
"4","Chandler Catanzaro","2","8","4.4","1.3","CHANDLERCATANZARO"
"5","Graham Gano","1","8","4.8","1.8","GRAHAMGANO"
"6","Josh Brown","1","18","8.1","3.7","JOSHBROWN"
"7","Mason Crosby","4","13","8.5","2.2","MASONCROSBY"
"8","Brandon McManus","4","18","9.3","2.8","BRANDONMCMANUS"
"9","Matt Prater","4","19","10.2","3.1","MATTPRATER"
"10","Blair Walsh","4","14","9.8","2.3","BLAIRWALSH"
"11","Chris Boswell","1","20","8.0","4.6","CHRISBOSWELL"
"12","Jason Myers","5","18","10.6","2.5","JASONMYERS"
"13","Dustin Hopkins","6","21","14.0","3.0","DUSTINHOPKINS"
"14","Dan Carpenter","7","24","14.3","3.6","DANCARPENTER"
"15","Mike Nugent","10","24","15.7","2.9","MIKENUGENT"
"16","Sebastian Janikowski","11","22","15.9","2.7","SEBASTIANJANIKOWSKI"
"17","Adam Vinatieri","9","20","15.7","3.1","ADAMVINATIERI"
"18","Connor Barth","12","22","16.5","2.3","CONNORBARTH"
"19","Justin Tucker","7","24","18.9","3.9","JUSTINTUCKER"
"20","Kai Forbath","5","30","17.9","5.7","KAIFORBATH"
"21","Nick Novak","11","28","21.0","6.3","NICKNOVAK"
"22","Andrew Franks","12","27","19.8","3.5","ANDREWFRANKS"
"23","Josh Lambo","15","31","21.2","4.3","JOSHLAMBO"
"24","Robbie Gould","15","28","20.6","3.4","ROBBIEGOULD"
"25","Randy Bullock","15","27","21.5","4.0","RANDYBULLOCK"
"26","Dan Bailey","14","25","21.1","3.1","DANBAILEY"
"27","Caleb Sturgis","17","28","22.1","3.5","CALEBSTURGIS"
"28","Greg Zuerlein","15","32","25.4","6.0","GREGZUERLEIN"
"29","Ryan Succop","15","31","26.3","5.1","RYANSUCCOP"
"30","Shayne Graham","16","30","25.5","4.6","SHAYNEGRAHAM"
"31","Phil Dawson","27","30","28.5","1.3","PHILDAWSON"
"32","Travis Coons","29","32","30.2","1.2","TRAVISCOONS"
