"Rank","Player","Best","Worst","Avg","Std"
"1","St. Louis Rams","1","8","1.5","1.0"
"2","Seattle Seahawks","1","11","2.4","1.6"
"3","Arizona Cardinals","1","9","3.1","1.4"
"4","Carolina Panthers","1","12","4.7","1.8"
"5","New York Jets","2","25","5.9","2.9"
"6","Minnesota Vikings","3","16","7.0","2.3"
"7","Atlanta Falcons","3","21","7.8","2.7"
"8","New England Patriots","3","19","8.8","2.8"
"9","Green Bay Packers","2","19","8.6","2.8"
"10","Denver Broncos","1","22","10.3","3.5"
"11","Kansas City Chiefs","3","21","11.0","3.2"
"12","Houston Texans","5","24","12.3","3.4"
"13","Tennessee Titans","5","26","14.0","3.4"
"14","New York Giants","6","26","14.0","3.5"
"15","Cincinnati Bengals","2","24","15.1","3.4"
"16","Dallas Cowboys","6","25","15.9","3.0"
"17","Detroit Lions","9","26","17.1","2.5"
"18","San Francisco 49ers","8","28","18.8","3.5"
"19","New Orleans Saints","10","28","18.9","3.9"
"20","Pittsburgh Steelers","7","28","18.8","3.7"
"21","Miami Dolphins","6","28","19.5","5.7"
"22","San Diego Chargers","9","28","20.5","3.9"
"23","Baltimore Ravens","9","27","19.0","4.9"
"24","Oakland Raiders","8","28","19.4","4.7"
"25","Chicago Bears","13","26","20.8","3.5"
"26","Indianapolis Colts","17","28","22.6","3.4"
"27","Cleveland Browns","5","28","22.6","5.8"
"28","Tampa Bay Buccaneers","15","28","23.8","4.0"
