"Rank","Player","Best","Worst","Avg","Std"
"1","St. Louis Rams","1","3","1.4","0.7"
"2","Seattle Seahawks","1","6","2.2","1.1"
"3","Arizona Cardinals","1","7","3.0","1.3"
"4","Carolina Panthers","2","9","4.7","1.4"
"5","New York Jets","2","14","6.0","2.8"
"6","Minnesota Vikings","5","11","7.1","1.5"
"7","Atlanta Falcons","4","11","7.5","2.1"
"8","New England Patriots","5","15","9.2","2.6"
"9","Kansas City Chiefs","4","18","10.9","3.3"
"10","Green Bay Packers","2","17","9.2","3.8"
"11","Denver Broncos","7","14","10.6","2.2"
"12","New York Giants","6","22","12.0","3.7"
"13","Houston Texans","7","18","12.9","3.3"
"14","Tennessee Titans","6","23","14.0","3.9"
"15","Cincinnati Bengals","8","21","14.5","3.5"
"16","Dallas Cowboys","8","26","16.4","3.6"
"17","New Orleans Saints","12","24","17.3","3.0"
"18","San Francisco 49ers","11","27","17.7","4.1"
"19","Detroit Lions","14","24","18.7","1.9"
"20","San Diego Chargers","13","25","19.6","2.6"
"21","Pittsburgh Steelers","8","26","16.9","4.5"
"22","Miami Dolphins","14","27","19.3","4.2"
"23","Oakland Raiders","15","28","20.6","4.1"
"24","Baltimore Ravens","11","25","18.0","5.0"
"25","Chicago Bears","16","24","20.1","2.8"
"26","Indianapolis Colts","17","28","21.5","3.9"
"27","Cleveland Browns","12","28","23.5","5.3"
"28","Tampa Bay Buccaneers","21","28","23.8","3.1"
